Title,Year,Duration,MPA,Rating,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,seasons,release_month,filming_country,continents,profit,roi,domestic_share,intl_gross_share
Studio 666,2022,1h 46m,R,5.6,,1540543,3018515.0,2513963,2022-02-25,Winter,2,USA,North America,,,83.2847608840771,16.715239115922895
Umma,2022,1h 23m,PG-13,4.7,,915290,2232593.0,2121025,2022-03-18,Spring,3,USA,North America,,,95.00276136313246,4.997238636867535
Skinamarink,2022,1h 40m,Not Rated,4.7,15000.0,818943,2116254.0,2052272,2023-02-02,Winter,2,CAN,North America,2101254.0,14008.359999999999,96.97663891007412,3.0233610899258783
Jeepers Creepers: Reborn,2022,1h 28m,R,2.6,,380299,6175213.0,2033057,2022-09-19,Fall,9,GBR,Europe,,,32.92286436111597,67.07713563888403
Watcher,2022,1h 36m,R,6.3,,826775,3199952.0,1961207,2022-06-03,Summer,6,ROU,Europe,,,61.288638079571186,38.71136192042881
The Mean One,2022,1h 33m,Not Rated,4.0,,218550,1029846.0,612260,2022-12-09,Winter,12,UNK,Unknown,,,59.451607327697545,40.54839267230246
Christmas Bloody Christmas,2022,1h 26m,Not Rated,5.1,,139932,251586.0,251586,2022-12-09,Winter,12,USA,North America,,,100.0,0.0
Resurrection,2022,1h 43m,R,5.9,,89054,161266.0,160866,2022-08-05,Summer,8,USA,North America,,,99.75196259595947,0.24803740404052932
Bunker,2022,1h 48m,R,4.0,,70793,103465.0,103465,2023-08-11,Summer,8,USA,North America,,,100.0,0.0
Abandoned,2022,1h 42m,PG-13,3.8,4500000.0,59761,96761.0,96761,2022-06-17,Summer,6,USA,North America,-4403239.0,-97.84975555555555,100.0,0.0
Deer Camp '86,2022,1h 25m,R,5.4,,34984,60140.0,58449,2024-12-12,Winter,12,USA,North America,,,97.18822746923844,2.8117725307615564
Moon Garden,2022,1h 37m,,6.0,,4517,57757.0,54013,2023-10-12,Fall,10,UNK,Unknown,,,93.51766885399172,6.482331146008276
Flux Gourmet,2022,1h 51m,Not Rated,5.8,,3780,80767.0,19222,2022-09-30,Fall,9,UNK,Unknown,,,23.799323981329007,76.20067601867099
Baby Ruby,2022,1h 33m,,4.7,,12439,16991.0,16991,2023-02-03,Winter,2,UNK,Unknown,,,100.0,0.0
Rounding,2022,1h 31m,,5.5,,4279,4745.0,4745,2025-02-14,Winter,2,USA,North America,,,100.0,0.0
Five Nights at Freddy's,2023,1h 49m,PG-13,5.4,20000000.0,80001720,291493620.0,137275620,2023-10-27,Fall,10,USA,North America,271493620.0,1357.4681,47.09386778345269,52.906132216547306
Scream VI,2023,2h 2m,R,6.4,35000000.0,44447270,166577232.0,108391107,2023-03-10,Spring,3,CAN,North America,131577232.0,375.93494857142855,65.06958105775223,34.93041894224776
The Nun II,2023,1h 50m,R,5.6,38000000.0,32603336,269667073.0,86267073,2023-09-08,Fall,9,FRA,Europe,231667073.0,609.6501921052632,31.99021372549996,68.00978627450004
Meg 2: The Trench,2023,1h 56m,PG-13,5.0,129000000.0,30002735,397800317.0,82600317,2023-08-04,Summer,8,THA,Asia,268800317.0,208.3723387596899,20.76426625874207,79.23573374125793
Insidious: The Red Door,2023,1h 47m,PG-13,5.5,16000000.0,33013036,189086877.0,82156962,2023-07-07,Summer,7,USA,North America,173086877.0,1081.79298125,43.44931985946333,56.55068014053667
Haunted Mansion,2023,2h 3m,PG-13,6.0,150000000.0,24082475,117449790.0,67653287,2023-07-28,Summer,7,USA,North America,-32550210.0,-21.70014,57.60187991821867,42.39812008178133
Evil Dead Rise,2023,1h 36m,R,6.5,12000000.0,24504315,147033054.0,67233054,2023-04-21,Spring,4,NZL,Oceania,135033054.0,1125.27545,45.72648950078939,54.27351049921061
The Exorcist: Believer,2023,1h 51m,R,4.8,30000000.0,26497600,136294607.0,65537395,2023-10-06,Fall,10,DOM,North America,106294607.0,354.3153566666667,48.08509774711776,51.91490225288224
Saw X,2023,1h 58m,R,6.6,13000000.0,18309301,112202480.0,53607898,2023-09-29,Fall,9,MEX,North America,99202480.0,763.096,47.77781917119835,52.22218082880165
The Boogeyman,2023,1h 38m,PG-13,5.9,35000000.0,12356486,67307243.0,43244282,2023-06-02,Summer,6,USA,North America,32307243.0,92.30640857142856,64.24907643297765,35.75092356702235
A Haunting in Venice,2023,1h 43m,PG-13,6.5,60000000.0,14279529,122290456.0,42471412,2023-09-15,Fall,9,ITA,Europe,62290456.0,103.81742666666666,34.729948181728915,65.27005181827109
Knock at the Cabin,2023,1h 40m,R,6.1,20000000.0,14127170,54760947.0,35397980,2023-02-03,Winter,2,USA,North America,34760947.0,173.804735,64.64092010680531,35.35907989319469
Thanksgiving,2023,1h 46m,R,6.2,15000000.0,10306272,46553280.0,31908884,2023-11-17,Fall,11,CAN,North America,31553280.0,210.3552,68.54271922408046,31.45728077591955
The Pope's Exorcist,2023,1h 43m,R,6.1,18000000.0,9006368,76987621.0,20009380,2023-04-14,Spring,4,IRL,Europe,58987621.0,327.70900555555556,25.990386168706266,74.00961383129373
Renfield,2023,1h 33m,R,6.4,65000000.0,8026475,26493921.0,17297895,2023-04-14,Spring,4,USA,North America,-38506079.0,-59.240121538461544,65.29005276342448,34.709947236575516
The Last Voyage of the Demeter,2023,1h 58m,R,6.1,45000000.0,6504950,21786275.0,13637180,2023-08-11,Summer,8,DEU,Europe,-23213725.0,-51.586055555555554,62.59528074441363,37.40471925558637
Late Night with the Devil,2023,1h 33m,R,7.0,,2834867,15469415.0,10001000,2024-03-22,Spring,3,AUS,Oceania,,,64.65014998951156,35.34985001048844
Dream Scenario,2023,1h 42m,R,6.8,,220035,12502808.0,5742193,2023-11-22,Fall,11,CAN,North America,,,45.92722690774744,54.07277309225256
Nefarious,2023,1h 37m,R,6.4,,1316266,6016438.0,5433685,2023-04-14,Spring,4,UNK,Unknown,,,90.31398644846004,9.686013551539965
Infinity Pool,2023,1h 57m,R,6.0,,2514364,5202301.0,5078400,2023-01-27,Winter,1,HRV,Europe,,,97.61834234505078,2.3816576549492234
It Lives Inside,2023,1h 39m,PG-13,5.2,,2607665,7370148.0,4675092,2023-09-22,Fall,9,CAN,North America,,,63.432810304487774,36.56718969551222
Strange Darling,2023,1h 37m,R,7.1,4000000.0,1142928,4853595.0,3083595,2024-08-23,Summer,8,USA,North America,853595.0,21.339875,63.53218593640384,36.46781406359616
Fear,2023,1h 38m,R,3.7,,1227545,2090261.0,2090261,2023-04-11,Spring,4,USA,North America,,,100.0,0.0
Winnie-the-Pooh: Blood and Honey,2023,1h 24m,Not Rated,2.9,100000.0,652482,7717044.0,2082898,2023-03-17,Spring,3,GBR,Europe,7617044.0,7617.044,26.99087889093285,73.00912110906715
It's a Wonderful Knife,2023,1h 27m,R,5.2,,598826,1302710.0,811818,2023-12-01,Winter,12,CAN,North America,,,62.31763017095132,37.682369829048675
Consecration,2023,1h 31m,R,5.2,,329951,2409963.0,538551,2023-02-10,Winter,2,UNK,Unknown,,,22.346857607357457,77.65314239264254
Malum,2023,1h 32m,18+,5.1,,221738,704776.0,221738,2023-03-31,Spring,3,USA,North America,,,31.462195080422717,68.53780491957728
Birth/Rebirth,2023,1h 38m,R,6.2,,45707,138617.0,138617,2023-09-05,Fall,9,UNK,Unknown,,,100.0,0.0
Zombie Town,2023,1h 32m,PG-13,3.8,,84016,130802.0,130802,2023-09-01,Fall,9,CAN,North America,,,100.0,0.0
The Angry Black Girl and Her Monster,2023,1h 31m,Not Rated,5.4,,48675,137984.0,123107,2023-06-23,Summer,6,USA,North America,,,89.21831516697588,10.78168483302412
Malibu Horror Story,2023,1h 23m,Not Rated,4.7,1000000.0,78234,118281.0,118281,2023-10-20,Fall,10,USA,North America,-881719.0,-88.17190000000001,100.0,0.0
Soul Mates,2023,1h 28m,R,4.9,,95507,95507.0,95507,2023-04-12,Spring,4,UNK,Unknown,,,100.0,0.0
Summoning Sylvia,2023,1h 14m,R,5.3,,37366,52663.0,52663,2023-03-31,Spring,3,USA,North America,,,100.0,0.0
The Activated Man,2023,1h 55m,R,7.4,,13182,28743.0,28743,2023-11-02,Fall,11,UNK,Unknown,,,100.0,0.0
Suitable Flesh,2023,1h 40m,,5.4,,11093,22751.0,18447,2023-10-27,Fall,10,USA,North America,,,81.08215023515449,18.917849764845503
Scream Therapy,2023,1h 18m,,7.4,,3035,10159.0,10159,2023-06-23,Summer,6,UNK,Unknown,,,100.0,0.0
Our Deadly Vows,2023,1h 26m,,3.5,,4504,7394.0,7394,2023-07-07,Summer,7,UNK,Unknown,,,100.0,0.0
AUM: The Cult at the End of the World,2023,1h 46m,,6.4,,4470,7017.0,7017,2023-01-20,Winter,1,UNK,Unknown,,,100.0,0.0
What You Wish For,2023,1h 41m,,6.7,,2587,59064.0,6279,2025-01-09,Winter,1,COL,South America,,,10.630841121495326,89.36915887850468
The Seeding,2023,1h 40m,TV-MA,5.0,,3022,4974.0,4974,2024-01-26,Winter,1,USA,North America,,,100.0,0.0
Deliver Us,2023,1h 43m,Unrated,4.8,,3255,375977.0,4883,2023-09-29,Fall,9,UNK,Unknown,,,1.2987496575588402,98.70125034244116
You're All Gonna Die,2023,1h 28m,,2.4,,1002,3800.0,3800,2024-11-20,Fall,11,UNK,Unknown,,,100.0,0.0
Beetlejuice Beetlejuice,2024,1h 45m,PG-13,6.7,100000000.0,111003345,451900435.0,294100435,2024-09-06,Fall,9,USA,North America,351900435.0,351.900435,65.0808036951768,34.91919630482321
A Quiet Place: Day One,2024,1h 39m,PG-13,6.3,67000000.0,52202495,261907653.0,139051884,2024-06-28,Summer,6,GBR,Europe,194907653.0,290.9069447761194,53.091951459700184,46.90804854029981
Alien: Romulus,2024,1h 59m,R,7.1,80000000.0,42003361,350865342.0,105313091,2024-08-16,Summer,8,HUN,Europe,270865342.0,338.5816775,30.015244708894617,69.98475529110539
Nosferatu,2024,2h 12m,R,7.3,50000000.0,21652560,180612427.0,95608235,2024-12-25,Winter,12,ROU,Europe,130612427.0,261.224854,52.93557956562977,47.06442043437023
Longlegs,2024,1h 41m,R,6.6,,22400119,126942386.0,74346140,2024-07-12,Summer,7,CAN,North America,,,58.56683676955623,41.43316323044377
Smile 2,2024,2h 7m,R,6.7,28000000.0,23021692,138128854.0,69012586,2024-10-18,Fall,10,USA,North America,110128854.0,393.3173357142857,49.96246910149562,50.03753089850438
Terrifier 3,2024,2h 5m,Not Rated,6.3,2000000.0,18928113,90322103.0,53981071,2024-10-11,Fall,10,UNK,Unknown,88322103.0,4416.10515,59.765073229085466,40.234926770914534
Trap,2024,1h 45m,PG-13,5.8,30000000.0,15454146,83677281.0,42777281,2024-08-02,Summer,8,CAN,North America,53677281.0,178.92427,51.1217387668225,48.8782612331775
Speak No Evil,2024,1h 50m,R,6.8,15000000.0,11397595,76756109.0,36931420,2024-09-13,Fall,9,HRV,Europe,61756109.0,411.70739333333336,48.115284217963676,51.88471578203632
The Strangers: Chapter 1,2024,1h 31m,R,4.6,8500000.0,11825058,48166448.0,35202562,2024-05-17,Spring,5,SVK,Europe,39666448.0,466.66409411764704,73.08523559802458,26.914764401975415
Night Swim,2024,1h 38m,PG-13,4.7,15000000.0,11797155,54768317.0,32494740,2024-01-05,Winter,1,USA,North America,39768317.0,265.12211333333335,59.3312735901671,40.66872640983289
Imaginary,2024,1h 44m,PG-13,4.7,13000000.0,9912713,43787034.0,28009161,2024-03-08,Spring,3,USA,North America,30787034.0,236.82333846153844,63.966792087356275,36.033207912643725
Heretic,2024,1h 51m,R,7.0,10000000.0,10829810,59257153.0,27986380,2024-11-08,Fall,11,CAN,North America,49257153.0,492.57153000000005,47.22869490540661,52.77130509459339
Abigail,2024,1h 49m,R,6.6,28000000.0,10297110,42791449.0,25867515,2024-04-19,Spring,4,IRL,Europe,14791449.0,52.82660357142858,60.450196486685925,39.549803513314075
The First Omen,2024,1h 59m,R,6.5,30000000.0,8353710,53845880.0,20092802,2024-04-05,Spring,4,ITA,Europe,23845880.0,79.48626666666667,37.31539348971546,62.68460651028454
The Watchers,2024,1h 42m,PG-13,5.7,,7003537,33371404.0,19071404,2024-06-07,Summer,6,IRL,Europe,,,57.14894105144632,42.85105894855368
Tarot,2024,1h 32m,PG-13,4.8,8250000.0,6503012,49256239.0,18771004,2024-05-03,Spring,5,SRB,Europe,41006239.0,497.0453212121212,38.1088860641593,61.89111393584069
Immaculate,2024,1h 29m,R,5.8,9000000.0,5338921,35340015.0,15671307,2024-03-22,Spring,3,ITA,Europe,26340015.0,292.66683333333333,44.34436997267828,55.65563002732172
MaXXXine,2024,1h 43m,R,6.3,1000000.0,6705038,22057160.0,15097632,2024-07-05,Summer,7,USA,North America,21057160.0,2105.716,68.44776027376145,31.552239726238557
Never Let Go,2024,1h 41m,R,5.4,25000000.0,4449065,16573225.0,10306106,2024-09-20,Fall,9,CAN,North America,-8426775.0,-33.707100000000004,62.18527775976009,37.81472224023991
Lisa Frankenstein,2024,1h 41m,PG-13,6.1,13000000.0,3695785,9927714.0,9774285,2024-02-09,Winter,2,USA,North America,-3072286.0,-23.63296923076923,98.45453847683365,1.5454615231663602
The Crow,2024,1h 51m,R,4.7,50000000.0,4644666,24109036.0,9275659,2024-08-23,Summer,8,CZE,Europe,-25890964.0,-51.781928,38.473786343012634,61.52621365698736
Presence,2024,1h 24m,R,6.1,2000000.0,3328004,10413774.0,6900044,2025-01-24,Winter,1,USA,North America,8413774.0,420.6887,66.2588222098924,33.7411777901076
Afraid,2024,1h 24m,PG-13,5.2,12000000.0,3665664,12977758.0,6725687,2024-08-30,Summer,8,USA,North America,977758.0,8.147983333333334,51.82472195890846,48.17527804109154
Cuckoo,2024,1h 42m,R,5.7,7000000.0,3030437,6680396.0,6217733,2024-08-09,Summer,8,DEU,Europe,-319604.0,-4.565771428571429,93.07431775002559,6.925682249974403
Kinds of Kindness,2024,2h 44m,R,6.5,15000000.0,377289,16398509.0,5038931,2024-06-28,Summer,6,USA,North America,1398509.0,9.323393333333334,30.727982647690716,69.27201735230929
I Saw the TV Glow,2024,1h 40m,PG-13,5.8,,119015,5396508.0,5017817,2024-05-17,Spring,5,USA,North America,,,92.98266582760556,7.0173341723944445
The Exorcism,2024,1h 35m,R,4.2,22000000.0,2457041,12610418.0,4530418,2024-06-21,Summer,6,USA,North America,-9389582.0,-42.67991818181818,35.92599388854517,64.07400611145484
Y2K,2024,1h 31m,R,4.8,15000000.0,2113923,4446596.0,4446596,2024-12-06,Winter,12,USA,North America,-10553404.0,-70.35602666666666,100.0,0.0
The Front Room,2024,1h 34m,R,4.6,,1585440,3165361.0,3092269,2024-09-06,Fall,9,USA,North America,,,97.69087949210217,2.3091205078978354
Werewolves,2024,1h 33m,R,4.4,,1052998,2120871.0,1903905,2024-12-06,Winter,12,PRI,North America,,,89.7699577202008,10.230042279799195
Sam and Colby: The Legends of the Paranormal,2024,1h 38m,Not Rated,4.8,,1755000,1755000.0,1755000,2024-10-02,Fall,10,USA,North America,,,100.0,0.0
Arcadian,2024,1h 32m,R,5.5,,504937,1235594.0,828919,2024-04-12,Spring,4,IRL,Europe,,,67.08668057630581,32.91331942369419
Your Monster,2024,1h 43m,R,6.4,,522958,809893.0,745652,2024-10-25,Fall,10,UNK,Unknown,,,92.06796453358653,7.932035466413464
Rumours,2024,1h 44m,R,5.0,,311781,695409.0,571909,2024-12-06,Winter,12,UNK,Unknown,,,82.2406670031593,17.75933299684071
Get Away,2024,1h 26m,R,5.3,,104976,179897.0,179897,2024-12-06,Winter,12,FIN,Europe,,,100.0,0.0
The Windigo,2024,1h 25m,,4.7,,5620,11737.0,11737,2024-01-09,Winter,1,USA,North America,,,100.0,0.0
Out Come the Wolves,2024,1h 26m,R,4.7,,7384,18750.0,9649,2024-09-05,Fall,9,CAN,North America,,,51.461333333333336,48.53866666666667
Little Bites,2024,1h 45m,R,4.6,,8057,9299.0,9299,2024-10-04,Fall,10,UNK,Unknown,,,100.0,0.0
Things Will Be Different,2024,1h 42m,,5.2,,3988,9495.0,7746,2024-10-04,Fall,10,USA,North America,,,81.57977883096366,18.420221169036335
The Monkey,2025,1h 38m,R,6.3,10000000.0,14014649,61919789.0,37973690,2025-02-21,Winter,2,CAN,North America,51919789.0,519.1978899999999,61.327227713905806,38.672772286094194
Heart Eyes,2025,1h 37m,R,6.1,18000000.0,8305156,32935391.0,30400072,2025-02-07,Winter,2,NZL,Oceania,14935391.0,82.97439444444444,92.30214391564381,7.697856084356188
Wolf Man,2025,1h 43m,R,5.6,25000000.0,10897495,34151548.0,20707280,2025-01-17,Winter,1,NZL,Oceania,9151548.0,36.606192,60.63350334807664,39.36649665192336
Ash,2025,1h 35m,R,5.9,,689144,689144.0,689144,2025-03-21,Spring,3,UNK,Unknown,,,100.0,0.0
Peter Pan's Neverland Nightmare,2025,1h 29m,Not Rated,5.9,,8418,309772.0,230515,2025-01-13,Winter,1,UNK,Unknown,,,74.41440801621837,25.58559198378162
Unholy Song,2025,,,8.0,,20345,27022.0,27022,2025-02-28,Winter,2,USA,North America,,,100.0,0.0
Borderline,2025,1h 34m,R,5.3,5000000.0,8254,13472.0,13472,2025-03-14,Spring,3,CAN,North America,-4986528.0,-99.73056,100.0,0.0
