Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Home Alone,1990,1h 43m,PG,7.7,693K,63.0,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",https://www.imdb.com/title/tt0099785/?ref_=sr_i_1,['John Hughes'],['Chris Columbus'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard', 'Roberts Blossom', ""Catherine O'Hara"", 'Angela Goethals', 'Devin Ratray', 'Gerry Bamman', 'Hillary Wolf']","$18,000,000 (estimated)","$17,081,997","$476,684,675","$285,761,243","November 16, 1990",['United States'],"['671 Lincoln Avenue, Winnetka, Illinois, USA (McCallister home)']","['Twentieth Century Fox', 'Hughes Entertainment']","Nominated for 2 Oscars, 12 wins & 7 nominations total","['High-Concept Comedy', 'Holiday Comedy', 'Holiday Family', 'Slapstick', 'Comedy', 'Family', 'Holiday']","['English', 'French']"
2. Ghost,1990,2h 6m,PG-13,7.1,247K,52.0,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",https://www.imdb.com/title/tt0099653/?ref_=sr_i_2,['Bruce Joel Rubin'],['Jerry Zucker'],"['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg', 'Tony Goldwyn', 'Stanley Lawrence', 'Christopher J. Keene', 'Susan Breslau', 'Martina Deignan', 'Rick Kleber', 'Macka Foley']","$22,000,000 (estimated)","$12,191,540","$505,703,557","$217,631,306","July 13, 1990",['United States'],"[""104 Prince Street, Soho, Manhattan, New York City, New York, USA (Molly and Sam's apartment)""]","['Paramount Pictures', 'Howard W. Koch Productions']","Won 2 Oscars, 18 wins & 25 nominations total","['Feel-Good Romance', 'Drama', 'Fantasy', 'Romance', 'Thriller']",['English']
3. Dances with Wolves,1990,3h 1m,PG-13,8.0,300K,72.0,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,https://www.imdb.com/title/tt0099348/?ref_=sr_i_3,['Michael Blake'],['Kevin Costner'],"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant', ""Floyd 'Red Crow' Westerman"", 'Tantoo Cardinal', 'Robert Pastorelli', 'Charles Rocket', 'Maury Chaykin', 'Jimmy Herman']","$22,000,000 (estimated)","$598,257","$424,208,848","$184,208,848","November 21, 1990","['United States', 'United Kingdom']","['Badlands National Park, South Dakota, USA (Fort Hays to Fort Sedgewick Wagon journey)']","['Tig Productions', 'Majestic Films International', 'Allied Filmmakers']","Won 7 Oscars, 55 wins & 40 nominations total","['Costume Drama', 'Epic', 'Period Drama', 'Western Epic', 'Adventure', 'Drama', 'Western']","['English', 'Sioux', 'Pawnee']"
4. Pretty Woman,1990,1h 59m,R,7.1,383K,51.0,"Edward, a rich entrepreneur, hires Vivian, a prostitute, to accompany him to a few social events. Trouble ensues when he falls in love with her and they try to bridge the gap between their worlds.",https://www.imdb.com/title/tt0100405/?ref_=sr_i_4,['J.F. Lawton'],['Garry Marshall'],"['Richard Gere', 'Julia Roberts', 'Jason Alexander', 'Laura San Giacomo', 'Ralph Bellamy', 'Alex Hyde-White', 'Amy Yasbeck', 'Elinor Donahue', 'Hector Elizondo', 'Judith Baldwin']","$14,000,000 (estimated)","$11,280,591","$463,406,268","$178,406,268","March 23, 1990",['United States'],"[""Las Palmas Hotel - 1738 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA (Vivian's hotel)""]","['Touchstone Pictures', 'Silver Screen Partners IV']","Nominated for 1 Oscar, 8 wins & 11 nominations total","['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Romance']",['English']
5. Teenage Mutant Ninja Turtles,1990,1h 33m,PG,6.8,108K,51.0,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,https://www.imdb.com/title/tt0100758/?ref_=sr_i_5,"['Kevin Eastman', 'Peter Laird', 'Bobby Herbeck']",['Steve Barron'],"['Judith Hoag', 'Elias Koteas', 'Josh Pais', 'David Forman', 'Brian Tochi', 'Leif Tilden', 'Corey Feldman', 'Michelan Sisti', 'Robbie Rist', 'Kevin Clash']","$13,500,000 (estimated)","$25,398,367","$202,084,756","$135,384,756","March 30, 1990","['Hong Kong', 'United States']","['Castle Hayne, North Carolina, USA']","['Golden Harvest Company', 'Limelight']","Awards, 3 wins & 3 nominations total","['Animal Adventure', 'Martial Arts', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","['English', 'French']"
6. The Hunt for Red October,1990,2h 15m,PG,7.5,222K,58.0,"In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?",https://www.imdb.com/title/tt0099810/?ref_=sr_i_6,"['Tom Clancy', 'Larry Ferguson', 'Donald E. Stewart']",['John McTiernan'],"['Sean Connery', 'Alec Baldwin', 'Scott Glenn', 'Sam Neill', 'James Earl Jones', 'Joss Ackland', 'Richard Jordan', 'Peter Firth', 'Tim Curry', 'Courtney B. Vance']","$30,000,000 (estimated)","$17,161,835","$200,512,643","$122,012,643","March 2, 1990",['United States'],"['Lake James, Burke County, North Carolina, USA (Final scene with Ryan and Ramius.)']","['Paramount Pictures', 'Mace Neufeld Productions', 'Nina Saxon Film Design']","Won 1 Oscar, 3 wins & 9 nominations total","['Political Thriller', 'Sea Adventure', 'Spy', 'Action', 'Adventure', 'Thriller']","['English', 'Russian']"
7. Total Recall,1990,1h 53m,R,7.5,366K,60.0,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",https://www.imdb.com/title/tt0100802/?ref_=sr_i_7,"['Philip K. Dick', 'Ronald Shusett', ""Dan O'Bannon""]",['Paul Verhoeven'],"['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside', 'Rachel Ticotin', 'Ronny Cox', 'Marshall Bell', 'Mel Johnson Jr.', 'Michael Champion', 'Roy Brocksmith', 'Ray Baker']","$65,000,000 (estimated)","$25,533,700","$261,317,921","$119,412,921","June 1, 1990","['United States', 'Mexico']","['Estudios Churubusco - C. Atletas 2, Country Club Churubusco, Coyoacán, Mexico City, Distrito Federal, Mexico (Studio, Mars Federal Colony and Pyramid mines)']","['Carolco Pictures', 'Estudios Churubusco Azteca S.A.']","Nominated for 2 Oscars, 7 wins & 16 nominations total","['Cyberpunk', 'One-Person Army Action', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']",['English']
8. Die Hard 2,1990,2h 4m,R,7.1,395K,67.0,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",https://www.imdb.com/title/tt0099423/?ref_=sr_i_8,"['Steven E. de Souza', 'Doug Richardson', 'Walter Wager']",['Renny Harlin'],"['Bruce Willis', 'William Atherton', 'Bonnie Bedelia', 'Reginald VelJohnson', 'Franco Nero', 'William Sadler', 'John Amos', 'Dennis Franz', 'Art Evans', 'Fred Thompson']","$70,000,000 (estimated)","$21,744,661","$240,031,274","$117,540,947","July 3, 1990",['United States'],"['Stapleton International Airport, Denver, Colorado, USA']","['Twentieth Century Fox', 'Gordon Company', 'Silver Pictures']","Awards, 1 win & 1 nomination total","['One-Person Army Action', 'Action', 'Holiday', 'Thriller']","['English', 'Spanish']"
9. Dick Tracy,1990,1h 45m,PG,6.2,68K,68.0,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,https://www.imdb.com/title/tt0099422/?ref_=sr_i_9,"['Chester Gould', 'Jim Cash', 'Jack Epps Jr.']",['Warren Beatty'],"['Warren Beatty', 'Madonna', 'Al Pacino', 'Charlie Korsmo', ""Michael Donovan O'Donnell"", 'Jim Wilkey', 'Stig Eldred', 'Neil Summers', 'Chuck Hicks', 'Lawrence Steven Meyers']","$47,000,000 (estimated)","$22,543,911","$162,738,726","$103,738,726","June 15, 1990",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA']","['Touchstone Pictures', 'Silver Screen Partners IV']","Won 3 Oscars, 9 wins & 37 nominations total","['Police Procedural', 'Action', 'Comedy', 'Crime', 'Music', 'Romance', 'Thriller']",['English']
10. Kindergarten Cop,1990,1h 51m,PG-13,6.3,168K,61.0,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",https://www.imdb.com/title/tt0099938/?ref_=sr_i_10,"['Murray Salem', 'Herschel Weingrod', 'Timothy Harris']",['Ivan Reitman'],"['Arnold Schwarzenegger', 'Penelope Ann Miller', 'Pamela Reed', 'Linda Hunt', 'Richard Tyson', 'Carroll Baker', 'Joseph Cousins', 'Christian Cousins', 'Cathy Moriarty', 'Park Overall']","$15,000,000 (estimated)","$7,918,560","$201,957,688","$91,457,688","December 21, 1990",['United States'],"['Astoria, Oregon, USA']","['Imagine Entertainment', 'Northern Lights Entertainment']","Awards, 4 wins & 1 nomination total","['Cop Drama', 'High-Concept Comedy', 'Action', 'Comedy', 'Crime']","['English', 'Spanish', 'German']"
