Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Snow White and the Seven Dwarfs,1937,1h 23m,Approved,7.6,224K,96.0,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",https://www.imdb.com/title/tt0029583/?ref_=sr_i_1,"['Jacob Grimm', 'Wilhelm Grimm', 'Ted Sears']","['William Cottrell', 'David Hand', 'Wilfred Jackson']","['Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne', 'Roy Atwell', 'Stuart Buchanan', 'Eddie Collins', 'Pinto Colvig', 'Marion Darlington', 'Billy Gilbert', 'Otis Harlan']","$1,499,000 (estimated)","$6,017,914","$184,960,747","$184,925,486","February 4, 1938",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA (Walt Disney Productions)']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Nominated for 1 Oscar, 13 wins & 6 nominations total","['Fairy Tale', 'Hand-Drawn Animation', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",['English']
2. Pépé le Moko,1937,1h 34m,Not Rated,7.7,8.3K,98.0,"A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.",https://www.imdb.com/title/tt0029453/?ref_=sr_i_2,"['Henri La Barthe', 'Julien Duvivier', 'Jacques Constant']",['Julien Duvivier'],"['Jean Gabin', 'Gabriel Gabrio', 'Saturnin Fabre', 'Fernand Charpin', 'Lucas Gridoux', 'Gilbert Gil', 'Marcel Dalio', 'Charles Granval', 'Gaston Modot', 'René Bergeron']","$60,000 (estimated)",,"$155,895","$155,895","March 3, 1941",['France'],"['Algiers, Algeria (exteriors, backgrounds)']",['Paris Film'],"Awards, 2 wins total","['Crime', 'Drama', 'Romance']","['French', 'Arabic', 'English']"
3. Stage Door,1937,1h 32m,Approved,7.7,9.3K,,"A chronicle of the ambitions, dreams, and disappointments of aspiring actresses who all live in the same boarding house.",https://www.imdb.com/title/tt0029604/?ref_=sr_i_3,"['Morrie Ryskind', 'Anthony Veiller', 'Edna Ferber']",['Gregory La Cava'],"['Katharine Hepburn', 'Ginger Rogers', 'Adolphe Menjou', 'Gail Patrick', 'Constance Collier', 'Andrea Leeds', 'Samuel S. Hinds', 'Lucille Ball', 'Franklin Pangborn', 'William Corson']","$952,000 (estimated)",,"$8,835",,"October 8, 1937",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],"Nominated for 4 Oscars, 5 wins & 5 nominations total","['Comedy', 'Drama', 'Romance']",['English']
4. Shall We Dance,1937,1h 49m,Approved,7.4,8.1K,,"A ballet dancer and a showgirl fake a marriage for publicity purposes, then fall in love.",https://www.imdb.com/title/tt0029546/?ref_=sr_i_4,"['Allan Scott', 'Ernest Pagano', 'P.J. Wolfson']",['Mark Sandrich'],"['Fred Astaire', 'Ginger Rogers', 'Edward Everett Horton', 'Eric Blore', 'Jerome Cowan', 'Ketti Gallian', 'William Brisbane', 'Ann Shoemaker', 'Harriet Hoctor', 'Norman Ainsley']","$991,000 (estimated)",,"$6,662",,"May 7, 1937",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],"Nominated for 1 Oscar, 3 wins & 4 nominations total","['Romantic Comedy', 'Comedy', 'Musical', 'Romance']","['English', 'French']"
5. The Great Garrick,1937,1h 29m,Approved,6.7,801,,A Paris troupe puts on outlandish performances for a celebrated 18th-century British actor in order to convince him of their talents. The arrival of a countess complicates the plot.,https://www.imdb.com/title/tt0028953/?ref_=sr_i_5,"['Ernest Vajda', 'Rowland Leigh']",['James Whale'],"['Brian Aherne', 'Olivia de Havilland', 'Edward Everett Horton', 'Melville Cooper', 'Lionel Atwill', 'Luis Alberni', 'Lana Turner', 'Marie Wilson', 'Linda Perry', 'Fritz Leiber']",,,,,"October 30, 1937",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Awards, 1 win total","['Comedy', 'Romance']","['English', 'French']"
6. Lost Horizon,1937,2h 12m,Approved,7.6,15K,,"When a revered diplomat's plane is diverted and crashes in the peaks of Tibet, he and the other survivors are guided to an isolated monastery at Shangri-La, where they wrestle with the invitation to stay.",https://www.imdb.com/title/tt0029162/?ref_=sr_i_6,"['Robert Riskin', 'James Hilton', 'Sidney Buchman']",['Frank Capra'],"['Ronald Colman', 'Jane Wyatt', 'Edward Everett Horton', 'John Howard', 'Thomas Mitchell', 'Margo', 'Isabel Jewell', 'H.B. Warner', 'Sam Jaffe', 'Norman Ainsley']","$4,000,000 (estimated)",,,,"September 1, 1937",['United States'],"['Ojai, California, USA']",['Columbia Pictures'],"Won 2 Oscars, 6 wins & 6 nominations total","['Adventure', 'Drama', 'Fantasy', 'Mystery']","['English', 'Mandarin']"
7. Hitting a New High,1937,1h 25m,Approved,4.9,362,,Lili Pons and Jack Oakie star as a nightclub singer with aspires to be an opera diva and the met star whom she chases all the way to a safari in Africa to make her dreams come true in this wacky musical comedy.,https://www.imdb.com/title/tt0029006/?ref_=sr_i_7,"['Robert Harari', 'Maxwell Shane', 'Gertrude Purcell']",['Raoul Walsh'],"['Lily Pons', 'Jack Oakie', 'John Howard', 'Eric Blore', 'Edward Everett Horton', 'Eduardo Ciannelli', 'Luis Alberni', 'Vinton Hayworth', 'Leonard Carey', 'Joe Bacon']","$727,000 (estimated)",,,,"December 24, 1937",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],"Nominated for 1 Oscar, 2 wins & 1 nomination total","['Comedy', 'Musical', 'Romance']","['English', 'French']"
8. A Star Is Born,1937,1h 51m,Approved,7.3,11K,77.0,"Young Esther Victoria Blodgett comes to Hollywood with dreams of stardom and achieves them only with the help of alcoholic leading man Norman Maine, whose best days are behind him.",https://www.imdb.com/title/tt0029606/?ref_=sr_i_8,"['Dorothy Parker', 'Alan Campbell', 'Robert Carson']","['William A. Wellman', 'Jack Conway', 'Victor Fleming']","['Janet Gaynor', 'Fredric March', 'Adolphe Menjou', 'May Robson', 'Andy Devine', 'Lionel Stander', 'Owen Moore', 'Peggy Wood', 'Elizabeth Jenns', 'Edgar Kennedy']","$1,173,639 (estimated)",,,,"April 27, 1937",['United States'],"['Janss Estate, Holmby Hills, Westwood, Los Angeles, California, USA (Photograph)']","['Selznick International Pictures', 'Entertain Me Productions']","Won 1 Oscar, 7 wins & 7 nominations total","['Tragic Romance', 'Drama', 'Romance']",['English']
9. A Day at the Races,1937,1h 51m,Approved,7.5,15K,,A veterinarian posing as a doctor teams with a singer and his friends as they struggle to save an upstate New York sanitarium with the help of a misfit racehorse.,https://www.imdb.com/title/tt0028772/?ref_=sr_i_9,"['Robert Pirosh', 'George Seaton', 'George Oppenheimer']",['Sam Wood'],"['Groucho Marx', 'Chico Marx', 'Harpo Marx', 'Allan Jones', ""Maureen O'Sullivan"", 'Margaret Dumont', 'Leonard Ceeley', 'Douglass Dumbrille', 'Esther Muir', 'Sig Ruman']","$2,016,000 (estimated)",,,,"June 11, 1937",['United States'],"['Santa Anita Park & Racetrack - 285 West Huntington Drive, Arcadia, California, USA']",['Metro-Goldwyn-Mayer (MGM)'],"Nominated for 1 Oscar, 1 win & 1 nomination total","['Farce', 'Comedy', 'Family', 'Musical', 'Sport']","['English', 'Italian']"
10. Topper,1937,1h 37m,Approved,7.2,8.7K,,"A fun-loving couple, finding that they died and are now ghosts, decide to shake up the stuffy lifestyle of a friend of theirs.",https://www.imdb.com/title/tt0029682/?ref_=sr_i_10,"['Jack Jevne', 'Eric Hatch', 'Eddie Moran']",['Norman Z. McLeod'],"['Cary Grant', 'Constance Bennett', 'Roland Young', 'Billie Burke', 'Alan Mowbray', 'Eugene Pallette', 'Arthur Lake', 'Hedda Hopper', 'Virginia Sale', 'Theodore von Eltz']","$500,000 (estimated)",,,,"July 16, 1937",['United States'],"['Bullocks Wilshire, 3050 Wilshire Blvd Los Angeles, California, USA (Seabreeze Hotel entrance)']","['Metro-Goldwyn-Mayer (MGM)', 'Hal Roach Studios']","Nominated for 2 Oscars, 1 win & 2 nominations total","['Screwball Comedy', 'Comedy', 'Fantasy', 'Romance']",['English']
