Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,991K,85.0,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",https://www.imdb.com/title/tt1201607/?ref_=sr_i_1,"['Steve Kloves', 'J.K. Rowling']",['David Yates'],"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon', 'Ralph Fiennes', 'Alan Rickman', 'Evanna Lynch', 'Domhnall Gleeson', 'Clémence Poésy', 'Warwick Davis']","$125,000,000 (estimated)","$169,189,427","$1,342,499,744","$381,447,587","July 15, 2011","['United Kingdom', 'United States']","['Freshwater West Beach, Castlemartin, Pembroke, Pembrokeshire, Wales, UK (Shell Cottage; exterior)']","['Warner Bros.', 'Heyday Films']","Nominated for 3 Oscars, 49 wins & 95 nominations total","['Dark Fantasy', 'Fantasy Epic', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['English', 'Latin']"
2. Transformers: Dark of the Moon,2011,2h 34m,PG-13,6.2,443K,42.0,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",https://www.imdb.com/title/tt1399103/?ref_=sr_i_2,['Ehren Kruger'],['Michael Bay'],"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Tyrese Gibson', 'Josh Duhamel', 'John Turturro', 'Patrick Dempsey', 'Frances McDormand', 'John Malkovich', 'Kevin Dunn', 'Julie White']","$195,000,000 (estimated)","$97,852,865","$1,123,794,079","$352,390,543","June 29, 2011","['United States', 'Hong Kong', 'Cambodia', 'United Kingdom']","['Milwaukee, Wisconsin, USA']","['Paramount Pictures', 'Hasbro', 'Di Bonaventura Pictures']","Nominated for 3 Oscars, 11 wins & 42 nominations total","['Alien Invasion', 'Car Action', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']","['English', 'Russian']"
3. The Twilight Saga: Breaking Dawn - Part 1,2011,1h 57m,PG-13,4.9,262K,45.0,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",https://www.imdb.com/title/tt1324999/?ref_=sr_i_3,"['Melissa Rosenberg', 'Stephenie Meyer']",['Bill Condon'],"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Gil Birmingham', 'Billy Burke', 'Sarah Clarke', 'Ty Olsson', 'Ashley Greene', 'Jackson Rathbone', 'Peter Facinelli']","$110,000,000 (estimated)","$138,122,261","$712,205,856","$281,287,133","November 18, 2011",['United States'],"['Baton Rouge, Louisiana, USA']","['Summit Entertainment', 'Sunswept Entertainment', 'TSBD Canada Productions']","Awards, 11 wins & 22 nominations total","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']","['English', 'Portuguese']"
4. The Hangover Part II,2011,1h 42m,R,6.5,553K,44.0,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding, but Stu's plan for subdued pre-wedding brunch goes seriously awry.",https://www.imdb.com/title/tt1411697/?ref_=sr_i_4,"['Craig Mazin', 'Scot Armstrong', 'Todd Phillips']",['Todd Phillips'],"['Bradley Cooper', 'Zach Galifianakis', 'Ed Helms', 'Justin Bartha', 'Ken Jeong', 'Paul Giamatti', 'Mike Tyson', 'Jeffrey Tambor', 'Mason Lee', 'Jamie Chung']","$80,000,000 (estimated)","$85,946,294","$586,764,305","$254,464,305","May 26, 2011",['United States'],"['Phulay Bay, Krabi, Thailand (Hotel)']","['Warner Bros.', 'Legendary Entertainment', 'Green Hat Films']","Awards, 5 wins & 18 nominations total","['Raunchy Comedy', 'Comedy']","['English', 'Thai']"
5. Pirates of the Caribbean: On Stranger Tides,2011,2h 16m,PG-13,6.6,583K,45.0,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",https://www.imdb.com/title/tt1298650/?ref_=sr_i_5,"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']",['Rob Marshall'],"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Geoffrey Rush', 'Kevin McNally', 'Sam Claflin', 'Astrid Bergès-Frisbey', 'Stephen Graham', 'Keith Richards', 'Richard Griffiths']","$250,000,000 (estimated)","$90,151,958","$1,046,721,266","$241,071,802","May 20, 2011","['United States', 'United Kingdom']","[""Kilauea Falls, Kilauea, Kaua'i, Hawaii, USA (on location)""]","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']","Awards, 3 wins & 31 nominations total","['Fantasy Epic', 'Quest', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'Fantasy']","['English', 'Spanish']"
6. Fast Five,2011,2h 10m,PG-13,7.3,419K,66.0,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,https://www.imdb.com/title/tt1596343/?ref_=sr_i_6,"['Chris Morgan', 'Gary Scott Thompson']",['Justin Lin'],"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris', 'Matt Schulze', 'Sung Kang', 'Gal Gadot', 'Tego Calderon']","$125,000,000 (estimated)","$86,198,765","$626,140,012","$209,837,675","April 29, 2011","['United States', 'Japan', 'Brazil']",['Puerto Rico'],"['Universal Pictures', 'Original Film', 'One Race Productions']","Awards, 9 wins & 21 nominations total","['Action Epic', 'Caper', 'Car Action', 'Action', 'Crime', 'Thriller']","['English', 'Portuguese', 'Spanish', 'Italian', 'French']"
7. Mission: Impossible - Ghost Protocol,2011,2h 12m,PG-13,7.4,541K,73.0,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",https://www.imdb.com/title/tt1229238/?ref_=sr_i_7,"['Bruce Geller', 'Josh Appelbaum', 'André Nemec']",['Brad Bird'],"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton', 'Michael Nyqvist', 'Vladimir Mashkov', 'Samuli Edelmann', 'Ivan Shvedoff', 'Anil Kapoor', 'Léa Seydoux']","$145,000,000 (estimated)","$12,785,204","$694,713,380","$209,397,903","December 21, 2011","['United States', 'United Arab Emirates', 'Russia', 'Canada', 'Czech Republic', 'India']","['Burj Khalifa, Dubai, United Arab Emirates']","['Paramount Pictures', 'Skydance Media', 'TC Productions']","Awards, 5 wins & 30 nominations total","['Globetrotting Adventure', 'Action', 'Adventure', 'Thriller']","['English', 'Russian', 'French', 'Arabic', 'Swedish']"
8. Cars 2,2011,1h 46m,G,6.2,234K,57.0,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,https://www.imdb.com/title/tt1216475/?ref_=sr_i_8,"['John Lasseter', 'Bradford Lewis', 'Dan Fogelman']","['John Lasseter', 'Bradford Lewis']","['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'Eddie Izzard', 'John Turturro', 'Brent Musburger', 'Joe Mantegna', 'Thomas Kretschmann', 'Peter Jacobson']","$200,000,000 (estimated)","$66,135,507","$559,853,036","$191,452,396","June 24, 2011","['United States', 'Japan']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","Awards, 1 win & 19 nominations total","['Car Action', 'Computer Animation', 'Motorsport', 'Spy', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['English', 'Japanese', 'Italian', 'French']"
9. Sherlock Holmes: A Game of Shadows,2011,2h 9m,PG-13,7.4,491K,48.0,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",https://www.imdb.com/title/tt1515091/?ref_=sr_i_9,"['Michele Mulroney', 'Kieran Mulroney', 'Arthur Conan Doyle']",['Guy Ritchie'],"['Robert Downey Jr.', 'Jude Law', 'Jared Harris', 'Rachel McAdams', 'Noomi Rapace', 'Stephen Fry', 'Paul Anderson', 'Kelly Reilly', 'Geraldine James', 'Eddie Marsan']","$125,000,000 (estimated)","$39,637,079","$543,848,418","$186,848,418","December 16, 2011",['United States'],"['Triengen, Kanton Luzern, Switzerland (train scenes)']","['Warner Bros.', 'Village Roadshow Pictures', 'Silver Pictures']","Awards, 3 wins & 10 nominations total","['Whodunnit', 'Action', 'Adventure', 'Mystery']","['English', 'French', 'Italian', 'German', 'Romany']"
10. Thor,2011,1h 55m,PG-13,7.0,928K,57.0,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",https://www.imdb.com/title/tt0800369/?ref_=sr_i_10,"['Ashley E. Miller', 'Zack Stentz', 'Don Payne']",['Kenneth Branagh'],"['Chris Hemsworth', 'Anthony Hopkins', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård', 'Kat Dennings', 'Clark Gregg', 'Colm Feore', 'Idris Elba', 'Ray Stevenson']","$150,000,000 (estimated)","$65,723,338","$449,326,618","$181,030,624","May 6, 2011",['United States'],"['Cerro Pelon Movie Ranch - 5547 Highway 41, Galisteo, New Mexico, USA (Puente Antiguo)']","['Paramount Pictures', 'Marvel Entertainment', 'Marvel Studios']","Awards, 5 wins & 30 nominations total","['Superhero', 'Supernatural Fantasy', 'Action', 'Fantasy']",['English']
