Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Pinocchio,1940,1h 28m,Approved,7.5,166K,99.0,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",https://www.imdb.com/title/tt0032910/?ref_=sr_i_1,"['Carlo Collodi', 'Ted Sears', 'Otto Englander']","['Norman Ferguson', 'T. Hee', 'Wilfred Jackson']","['Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Don Brodie', 'Stuart Buchanan', 'Walter Catlett', 'Marion Darlington', 'Frankie Darro', 'Virginia Davis', 'Cliff Edwards']","$2,600,000 (estimated)","$3,769,251","$121,892,045","$84,254,167","February 23, 1940",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA (Walt Disney Productions)']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Won 2 Oscars, 9 wins total","['Fairy Tale', 'Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",['English']
2. Fantasia,1940,2h 4m,G,7.7,107K,96.0,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.",https://www.imdb.com/title/tt0032455/?ref_=sr_i_2,"['Joe Grant', 'Dick Huemer', 'Lee Blair']","['James Algar', 'Samuel Armstrong', 'Ford Beebe Jr.']","['Leopold Stokowski', 'Deems Taylor', 'The Philadelphia Orchestra', 'Corey Burton', 'Walt Disney', 'Hugh Douglas', 'James MacDonald', 'Tim Matheson', 'Julietta Novis', 'Paul J. Smith']","$2,280,000 (estimated)","$980,798","$76,411,978","$76,408,097","September 19, 1941",['United States'],"['Stage 1, Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA (orchestra)']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Awards, 9 wins & 1 nomination total","['Classic Musical', 'Concert', 'Hand-Drawn Animation', 'Animation', 'Family', 'Fantasy', 'Music', 'Musical']",['English']
3. The Philadelphia Story,1940,1h 52m,Approved,7.8,76K,96.0,"After a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",https://www.imdb.com/title/tt0032904/?ref_=sr_i_3,"['Donald Ogden Stewart', 'Philip Barry', 'Waldo Salt']",['George Cukor'],"['Cary Grant', 'Katharine Hepburn', 'James Stewart', 'Ruth Hussey', 'John Howard', 'Roland Young', 'John Halliday', 'Mary Nash', 'Virginia Weidler', 'Henry Daniell']","$944,000 (estimated)","$258,994","$413,654","$404,524","January 17, 1941",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']","[""Loew's""]","Won 2 Oscars, 9 wins & 5 nominations total","['Farce', 'Screwball Comedy', 'Comedy', 'Romance']","['English', 'French']"
4. From Mayerling to Sarajevo,1940,1h 29m,,6.7,319,,"In the late 1800's, Franz Ferdinand, heir to the Austro-Hungarian empire, falls for Sophie Chotek, a Czech countess. He's already a problem to the Crown because of his political ideas; this love affair with someone not of royal blood breeches protocol. The Crown allows the union only after the couple agrees to a morganatic marriage. The emperor further neutralizes Franz by making him inspector general of the army, sending him afield for months at a time. In June of 1914, fearing for his safety, Sophie seeks permission to accompany Franz to Sarajevo; protocol dictates that no army troops attend Franz while she is present. An assassin strikes. Their deaths spark World War I.",https://www.imdb.com/title/tt0032384/?ref_=sr_i_4,"['Carl Zuckmayer', 'Marcelle Maurette', 'Curt Alexander']",['Max Ophüls'],"['Edwige Feuillère', 'John Lodge', 'Aimé Clariond', 'Jean Worms', 'Jean Debucourt', 'Raymond Aimos', 'Gabrielle Dorziat', 'Henri Bosc', 'Gaston Dubosc', 'Marcel André']",,"$5,247","$5,247","$5,247","October 29, 1940",['France'],,['B.U.P. Française'],,['Drama'],['French']
5. Rebecca,1940,2h 10m,Approved,8.1,154K,86.0,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,https://www.imdb.com/title/tt0032976/?ref_=sr_i_5,"['Daphne Du Maurier', 'Robert E. Sherwood', 'Joan Harrison']",['Alfred Hitchcock'],"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson', 'Nigel Bruce', 'Reginald Denny', 'C. Aubrey Smith', 'Gladys Cooper', 'Florence Bates', 'Melville Cooper']","$1,288,000 (estimated)",,"$113,328",,"April 12, 1940",['United States'],"['Big Sur, California, USA']",['Selznick International Pictures'],"Won 2 Oscars, 10 wins & 10 nominations total","['Dark Romance', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Romance', 'Thriller']","['English', 'French']"
6. Pride and Prejudice,1940,1h 58m,Approved,7.4,9.6K,84.0,"The arrival of wealthy bachelors in town causes an uproar when families with single daughters aggressively seek engagements, including the Bennet family, with five eligible daughters.",https://www.imdb.com/title/tt0032943/?ref_=sr_i_6,"['Aldous Huxley', 'Jane Murfin', 'Jane Austen']",['Robert Z. Leonard'],"['Greer Garson', 'Laurence Olivier', 'Mary Boland', 'Edna May Oliver', ""Maureen O'Sullivan"", 'Ann Rutherford', 'Frieda Inescort', 'Edmund Gwenn', 'Karen Morley', 'Heather Angel']",,,"$4,030,820",,"July 26, 1940",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']","[""Loew's""]","Won 1 Oscar, 4 wins total","['Comedy', 'Drama', 'Romance']",['English']
7. The Grapes of Wrath,1940,2h 9m,Approved,8.1,104K,96.0,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",https://www.imdb.com/title/tt0032551/?ref_=sr_i_7,"['Nunnally Johnson', 'John Steinbeck']",['John Ford'],"['Henry Fonda', 'Jane Darwell', 'John Carradine', 'Charley Grapewin', 'Dorris Bowdon', 'Russell Simpson', 'O.Z. Whitehead', 'John Qualen', 'Eddie Quillan', 'Zeffie Tilbury']","$800,000 (estimated)",,"$7,304",,"March 15, 1940",['United States'],"['Santa Rosa, New Mexico, USA (service station, diner, bridge, train sequence)']",['Twentieth Century Fox'],"Won 2 Oscars, 13 wins & 6 nominations total",['Drama'],['English']
8. The Great Dictator,1940,2h 5m,G,8.4,248K,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,https://www.imdb.com/title/tt0032553/?ref_=sr_i_8,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner', 'Henry Daniell', 'Billy Gilbert', 'Grace Hayle', 'Carter DeHaven', 'Maurice Moscovitch', 'Emma Dunn']","$2,000,000 (estimated)",,"$972,212",,"March 7, 1941",['United States'],"['Santa Monica Mountains, Los Angeles, California, USA (duck hunt - war sequences)']",['Charles Chaplin Productions'],"Nominated for 5 Oscars, 7 wins & 6 nominations total","['Parody', 'Satire', 'Slapstick', 'Comedy', 'Drama', 'War']","['English', 'Esperanto', 'Latin']"
9. The Fighting 69th,1940,1h 30m,Approved,6.6,2.1K,,"Although loudmouthed braggart Jerry Plunkett alienates his comrades and officers, Father Duffy, the regimental chaplain, has faith that he'll prove himself in the end.",https://www.imdb.com/title/tt0032467/?ref_=sr_i_9,"['Norman Reilly Raine', 'Fred Niblo Jr.', 'Dean Riesner']",['William Keighley'],"['James Cagney', ""Pat O'Brien"", 'George Brent', 'Jeffrey Lynn', 'Alan Hale', 'Frank McHugh', 'Dennis Morgan', 'Dick Foran', 'William Lundigan', ""Guinn 'Big Boy' Williams""]",,,,,"January 27, 1940",['United States'],"['Providencia Ranch, Hollywood Hills, Los Angeles, California, USA (Camp Miles replica)']",['Warner Bros.'],"Awards, 3 wins total","['Action', 'Adventure', 'Biography', 'Drama', 'History', 'War']","['English', 'Hebrew', 'Latin', 'Yiddish']"
10. His Girl Friday,1940,1h 32m,Approved,7.8,65K,,"A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from quitting and remarrying, using an exclusive interview with a death row convict as an enticement to buy himself some time to win her back.",https://www.imdb.com/title/tt0032599/?ref_=sr_i_10,"['Charles Lederer', 'Ben Hecht', 'Charles MacArthur']",['Howard Hawks'],"['Cary Grant', 'Rosalind Russell', 'Ralph Bellamy', 'Gene Lockhart', 'Porter Hall', 'Ernest Truex', 'Cliff Edwards', 'Clarence Kolb', 'Roscoe Karns', 'Frank Jenks']",,,$330,,"January 18, 1940",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA']",['Columbia Pictures'],"Awards, 5 wins & 1 nomination total","['Screwball Comedy', 'Workplace Drama', 'Comedy', 'Drama', 'Romance']","['English', 'French']"
