Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Toy Story 3,2010,1h 43m,G,8.3,926K,92.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",https://www.imdb.com/title/tt0435761/?ref_=sr_i_1,"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']",['Lee Unkrich'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty', 'Don Rickles', 'Michael Keaton', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'John Morris']","$200,000,000 (estimated)","$110,307,189","$1,067,316,101","$415,004,880","June 18, 2010",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","Won 2 Oscars, 63 wins & 96 nominations total","['Computer Animation', 'Supernatural Fantasy', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['English', 'Spanish']"
2. Alice in Wonderland,2010,1h 48m,PG,6.4,453K,53.0,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",https://www.imdb.com/title/tt1014759/?ref_=sr_i_2,"['Linda Woolverton', 'Lewis Carroll']",['Tim Burton'],"['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter', 'Anne Hathaway', 'Crispin Glover', 'Matt Lucas', 'Michael Sheen', 'Stephen Fry', 'Alan Rickman', 'Barbara Windsor']","$200,000,000 (estimated)","$116,101,023","$1,025,468,216","$334,191,110","March 5, 2010","['United States', 'Italy', 'Canada', 'Japan', 'United Kingdom']","['Antony House, Torpoint, Cornwall, England, UK (Ascot Manor)']","['Walt Disney Pictures', 'Roth Films', 'Team Todd']","Won 2 Oscars, 35 wins & 65 nominations total","['Dark Fantasy', 'Fairy Tale', 'Adventure', 'Family', 'Fantasy', 'Mystery']",['English']
3. Iron Man 2,2010,2h 4m,PG-13,6.9,898K,57.0,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",https://www.imdb.com/title/tt1228705/?ref_=sr_i_3,"['Justin Theroux', 'Stan Lee', 'Don Heck']",['Jon Favreau'],"['Robert Downey Jr.', 'Mickey Rourke', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Samuel L. Jackson', 'Clark Gregg', 'John Slattery', 'Garry Shandling']","$200,000,000 (estimated)","$128,122,480","$623,933,331","$312,433,331","May 7, 2010",['United States'],"['SpaceX - Rocket Road, Hawthorne, California, USA (Hammer Industries Factory)']","['Paramount Pictures', 'Marvel Entertainment', 'Marvel Studios']","Nominated for 1 Oscar, 7 wins & 45 nominations total","['Sci-Fi Epic', 'Superhero', 'Action', 'Sci-Fi']","['English', 'French', 'Russian']"
4. The Twilight Saga: Eclipse,2010,2h 4m,PG-13,5.1,269K,58.0,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",https://www.imdb.com/title/tt1325004/?ref_=sr_i_4,"['Melissa Rosenberg', 'Stephenie Meyer']",['David Slade'],"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Xavier Samuel', 'Billy Burke', 'Justin Chon', 'Anna Kendrick', 'Michael Welch', 'Christian Serratos', 'Jackson Rathbone']","$68,000,000 (estimated)","$64,832,191","$698,513,085","$300,531,751","June 30, 2010",['United States'],"['Belcarra Regional Park, Burrard Inlet, Vancouver, British Columbia, Canada (Forest scenes, Newborns walking out of water)']","['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films']","Awards, 23 wins & 35 nominations total","['Supernatural Fantasy', 'Teen Fantasy', 'Teen Romance', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']",['English']
5. Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,PG-13,7.7,627K,65.0,"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.",https://www.imdb.com/title/tt0926084/?ref_=sr_i_5,"['Steve Kloves', 'J.K. Rowling']",['David Yates'],"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Bill Nighy', 'Richard Griffiths', 'Harry Melling', 'Julie Walters', 'Bonnie Wright', 'Ian Kelly', 'Michelle Fairley']","$125,000,000 (estimated)","$125,017,372","$974,919,063","$296,374,621","November 19, 2010","['United Kingdom', 'United States']","[""Lavenham, Suffolk, England, UK (Godric's Hollow background)""]","['Warner Bros.', 'Heyday Films']","Nominated for 2 Oscars, 15 wins & 55 nominations total","['Dark Fantasy', 'Supernatural Fantasy', 'Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['English', 'Latin']"
6. Inception,2010,2h 28m,PG-13,8.8,2.7M,74.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://www.imdb.com/title/tt1375666/?ref_=sr_i_6,['Christopher Nolan'],['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe', 'Tom Hardy', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite']","$160,000,000 (estimated)","$62,785,337","$839,030,630","$292,587,330","July 16, 2010","['United States', 'United Kingdom']","['Fortress Mountain, Kananaskis Country, Alberta, Canada']","['Warner Bros.', 'Legendary Entertainment', 'Syncopy']","Won 4 Oscars, 159 wins & 220 nominations total","['Action Epic', 'Adventure Epic', 'Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['English', 'Japanese', 'French']"
7. Despicable Me,2010,1h 35m,PG,7.6,607K,72.0,"Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father.",https://www.imdb.com/title/tt1323594/?ref_=sr_i_7,"['Cinco Paul', 'Ken Daurio', 'Sergio Pablos']","['Pierre Coffin', 'Chris Renaud']","['Steve Carell', 'Jason Segel', 'Russell Brand', 'Julie Andrews', 'Will Arnett', 'Kristen Wiig', 'Miranda Cosgrove', 'Dana Gaier', 'Elsie Fisher', 'Pierre Coffin']","$69,000,000 (estimated)","$56,397,125","$544,174,973","$251,683,815","July 9, 2010","['United States', 'France']",,"['Universal Pictures', 'Illumination Entertainment']","Nominated for 1 BAFTA Award, 3 wins & 41 nominations total","['Computer Animation', 'Slapstick', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",['English']
8. Shrek Forever After,2010,1h 33m,PG,6.3,234K,58.0,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,https://www.imdb.com/title/tt0892791/?ref_=sr_i_8,"['Josh Klausner', 'Darren Lemke', 'William Steig']",['Mike Mitchell'],"['Mike Myers', 'Cameron Diaz', 'Eddie Murphy', 'Antonio Banderas', 'Julie Andrews', 'Jon Hamm', 'John Cleese', 'Walt Dohrn', 'Jane Lynch', 'Craig Robinson']","$165,000,000 (estimated)","$70,838,207","$752,600,867","$238,736,787","May 21, 2010","['United States', 'France']",,['DreamWorks Animation'],"Awards, 1 win & 13 nominations total","['Computer Animation', 'Fairy Tale', 'Parody', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",['English']
9. How to Train Your Dragon,2010,1h 38m,PG,8.1,837K,75.0,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",https://www.imdb.com/title/tt0892769/?ref_=sr_i_9,"['William Davies', 'Dean DeBlois', 'Chris Sanders']","['Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'T.J. Miller', 'Kristen Wiig', 'Robin Atkin Downes', 'Philip McGrade']","$165,000,000 (estimated)","$43,732,319","$494,879,860","$217,581,231","March 26, 2010","['United States', 'France', 'United Kingdom']",,"['DreamWorks Animation', 'Mad Hatter Entertainment', 'Vertigo Entertainment']","Nominated for 2 Oscars, 25 wins & 63 nominations total","['Computer Animation', 'Sword & Sorcery', 'Teen Fantasy', 'Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",['English']
10. Tangled,2010,1h 40m,PG,7.7,517K,71.0,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",https://www.imdb.com/title/tt0398286/?ref_=sr_i_10,"['Dan Fogelman', 'Jacob Grimm', 'Wilhelm Grimm']","['Nathan Greno', 'Byron Howard']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman', 'M.C. Gainey', 'Jeffrey Tambor', 'Brad Garrett', 'Paul F. Tompkins', 'Richard Kiel', 'Delaney Rose Stein']","$260,000,000 (estimated)","$48,767,052","$591,806,017","$200,821,936","November 24, 2010","['United States', 'Japan']","['Norden, Germany']","['Walt Disney Pictures', 'Walt Disney Animation Studios']","Nominated for 1 Oscar, 10 wins & 42 nominations total","['Computer Animation', 'Fairy Tale', 'Feel-Good Romance', 'Pop Musical', 'Teen Adventure', 'Teen Comedy', 'Teen Fantasy', 'Teen Romance', 'Adventure', 'Animation']","['English', 'German']"
