Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Lady and the Tramp,1955,1h 16m,G,7.3,155K,78.0,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,https://www.imdb.com/title/tt0048280/?ref_=sr_i_1,"['Ward Greene', 'Erdman Penner', 'Joe Rinaldi']","['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Barbara Luddy', 'Larry Roberts', 'Peggy Lee', 'Bill Thompson', 'Bill Baucom', 'Verna Felton', 'George Givot', 'Lee Millar', 'Stan Freberg', 'Alan Reed']","$4,000,000 (estimated)","$2,804,272","$93,934,179","$93,602,326","June 22, 1955",['United States'],"['Walt Disney Studios - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Nominated for 1 BAFTA Award, 3 wins & 2 nominations total","['Animal Adventure', 'Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical', 'Romance']",['English']
2. Kiss Me Deadly,1955,1h 46m,Approved,7.5,23K,,"A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit"".",https://www.imdb.com/title/tt0048261/?ref_=sr_i_2,"['Mickey Spillane', 'A.I. Bezzerides']",['Robert Aldrich'],"['Ralph Meeker', 'Albert Dekker', 'Paul Stewart', 'Juano Hernandez', 'Wesley Addy', 'Marian Carr', 'Marjorie Bennett', 'Mort Marshall', 'Fortunio Bonanova', 'Strother Martin']","$410,000 (estimated)",,"$952,000","$726,000","April 28, 1955",['United States'],"['Clay Street, Bunker Hill, Downtown, Los Angeles, California, USA (Mike parks his Corvette and takes the back steps up to the Hillcrest Hotel)']",['Parklane Pictures Inc.'],"Awards, 1 win & 1 nomination total","['Film Noir', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","['English', 'Italian', 'Spanish']"
3. Rififi,1955,1h 58m,Not Rated,8.1,38K,97.0,"Four men plan a technically perfect crime, but the human element intervenes...",https://www.imdb.com/title/tt0048021/?ref_=sr_i_3,"['Auguste Le Breton', 'Jules Dassin', 'René Wheeler']",['Jules Dassin'],"['Jean Servais', 'Carl Möhner', 'Robert Manuel', 'Janine Darcey', 'Pierre Grasset', 'Robert Hossein', 'Marcel Lupovici', 'Dominique Maurin', 'Magali Noël', 'Marie Sabouret']",,"$17,981","$521,342","$517,975","June 5, 1956",['France'],"[""2 Rue d'Annam, Paris 20, Paris, France (Jo's apartment)""]","['Pathé Consortium Cinéma', 'Indusfilms', 'Société Nouvelle Pathé Cinéma']","Awards, 6 wins & 1 nomination total","['Heist', 'Crime', 'Drama', 'Thriller']","['French', 'Italian']"
4. Rebel Without a Cause,1955,1h 51m,PG-13,7.6,100K,89.0,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",https://www.imdb.com/title/tt0048545/?ref_=sr_i_4,"['Stewart Stern', 'Irving Shulman', 'Nicholas Ray']",['Nicholas Ray'],"['James Dean', 'Natalie Wood', 'Sal Mineo', 'Jim Backus', 'Ann Doran', 'Corey Allen', 'William Hopper', 'Rochelle Hudson', 'Dennis Hopper', 'Edward Platt']","$1,500,000 (estimated)","$116,668","$217,945","$212,780","October 27, 1955",['United States'],"['Griffith Observatory, 2800 E Observatory Rd, Los Angeles, California, USA (planetarium and climactic shootout)']","['Warner Bros.', 'Nova Media']","Nominated for 3 Oscars, 4 wins & 8 nominations total","['Coming-of-Age', 'Teen Drama', 'Drama']",['English']
5. Pather Panchali,1955,2h 5m,Not Rated,8.2,40K,,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",https://www.imdb.com/title/tt0048473/?ref_=sr_i_5,"['Bibhutibhushan Bandyopadhyay', 'Satyajit Ray']",['Satyajit Ray'],"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi', 'Uma Das Gupta', 'Runki Banerjee', 'Reba Devi', 'Aparna Devi', 'Tulsi Chakraborty', 'Haren Banerjee']",,"$16,064","$135,342","$134,241","August 26, 1955",['India'],"['Boral, West Bengal, India (entire movie)']",['Government of West Bengal'],"Nominated for 1 BAFTA Award, 11 wins & 2 nominations total","['Coming-of-Age', 'Tragedy', 'Drama']",['Bengali']
6. Lola Montès,1955,1h 56m,Not Rated,7.2,6.3K,,"When she is reduced to appearing in a circus, a notorious beauty thinks back on her past loves.",https://www.imdb.com/title/tt0048308/?ref_=sr_i_6,"['Jacques Laurent', 'Max Ophüls', 'Annette Wademant']",['Max Ophüls'],"['Martine Carol', 'Peter Ustinov', 'Anton Walbrook', 'Henri Guisol', 'Lise Delamare', 'Paulette Dubost', 'Oskar Werner', 'Jean Galland', 'Will Quadflieg', 'Héléna Manson']","FRF650,000,000 (estimated)","$12,569","$303,175","$120,306","December 23, 1955","['France', 'West Germany']","['Hohentauern, Austria']","['Gamma Film', 'Florida Films', 'Union-Film']","Awards, 1 nomination total","['Epic', 'Political Drama', 'Romantic Epic', 'Tragic Romance', 'Biography', 'Drama', 'Romance']","['French', 'German', 'English']"
7. Le amiche,1955,1h 44m,Not Rated,7.1,3.6K,,A young woman returns to her hometown of Turin to set up a new fashion salon and gets involved with a troubled woman and her three wealthy friends.,https://www.imdb.com/title/tt0047821/?ref_=sr_i_7,"['Cesare Pavese', ""Suso Cecchi D'Amico"", 'Michelangelo Antonioni']",['Michelangelo Antonioni'],"['Eleonora Rossi Drago', 'Gabriele Ferzetti', 'Franco Fabrizi', 'Valentina Cortese', 'Yvonne Furneaux', 'Madeleine Fischer', 'Anna Maria Pancani', 'Luciano Volpato', 'Maria Gambarelli', 'Ettore Manni']",,"$10,092","$68,167","$68,167","February 8, 1957",['Italy'],"['Cinecittà Studios, Cinecittà, Rome, Lazio, Italy (Studio)']","['Titanus', 'Trionfalcine']","Awards, 6 wins & 1 nomination total","['Drama', 'Romance']",['Italian']
8. I Live in Fear,1955,1h 43m,,7.3,5.8K,,An aging Japanese industrialist becomes so fearful of nuclear war that it begins to take a toll on his life and family.,https://www.imdb.com/title/tt0048198/?ref_=sr_i_8,"['Shinobu Hashimoto', 'Fumio Hayasaka', 'Akira Kurosawa']",['Akira Kurosawa'],"['Toshirô Mifune', 'Takashi Shimura', 'Minoru Chiaki', 'Eiko Miyoshi', 'Kyôko Aoyama', 'Haruko Tôgô', 'Noriko Sengoku', 'Akemi Negishi', 'Hiroshi Tachikawa', 'Kichijirô Ueda']",,"$15,942","$47,023","$46,808","January 25, 1967",['Japan'],"['Toho Studios, Tokyo, Japan (Studio)']",['Toho'],"Awards, 1 nomination total","['Legal Drama', 'Drama']",['Japanese']
9. The Ladykillers,1955,1h 31m,Not Rated,7.6,33K,91.0,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,https://www.imdb.com/title/tt0048281/?ref_=sr_i_9,"['William Rose', ""Jimmy O'Connor""]",['Alexander Mackendrick'],"['Alec Guinness', 'Peter Sellers', 'Cecil Parker', 'Herbert Lom', 'Danny Green', 'Jack Warner', 'Katie Johnson', 'Philip Stainton', 'Frankie Howerd', 'Madge Brindley']",,"$5,038","$50,276","$23,213","February 3, 1956",['United Kingdom'],"[""Argyle Street, St. Pancras, London, England, UK (view down street from Mrs. Wilberforce's house)""]","['The Rank Organisation', 'Ealing Studios', 'Michael Balcon Productions']","Nominated for 1 Oscar, 2 wins & 5 nominations total","['Caper', 'Dark Comedy', 'Comedy', 'Crime']",['English']
10. The Night of the Hunter,1955,1h 32m,Approved,8.0,102K,97.0,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.",https://www.imdb.com/title/tt0048424/?ref_=sr_i_10,"['Davis Grubb', 'James Agee', 'Charles Laughton']",['Charles Laughton'],"['Robert Mitchum', 'Shelley Winters', 'Lillian Gish', 'James Gleason', 'Evelyn Varden', 'Peter Graves', 'Don Beddoe', 'Billy Chapin', 'Sally Jane Bruce', 'Gloria Castillo']","$795,000 (estimated)",,"$5,105",,"July 27, 1955",['United States'],"['Moundsville, West Virginia, USA']",['Paul Gregory Productions'],"Awards, 2 wins & 1 nomination total","['Film Noir', 'Psychological Drama', 'Psychological Thriller', 'Crime', 'Drama', 'Thriller']",['English']
