Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. 2001: A Space Odyssey,1968,2h 29m,G,8.3,749K,84.0,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",https://www.imdb.com/title/tt0062622/?ref_=sr_i_1,"['Stanley Kubrick', 'Arthur C. Clarke']",['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Douglas Rain', 'Frank W. Miller']","$12,000,000 (estimated)","$202,759","$66,810,089","$60,481,243","May 12, 1968","['United Kingdom', 'United States']","['Isle of Harris, Western Isles, Scotland, UK (alien planet surface)']","['Metro-Goldwyn-Mayer (MGM)', 'Stanley Kubrick Productions']","Won 1 Oscar, 18 wins & 14 nominations total","['Adventure Epic', 'Artificial Intelligence', 'Epic', 'Psychological Drama', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Sci-Fi']","['English', 'Russian', 'French']"
2. Funny Girl,1968,2h 31m,G,7.4,26K,88.0,"The life of Fanny Brice, famed comedienne and entertainer of the early 1900s: her rise to fame as a Ziegfeld Girl, her subsequent career, and her personal life, particularly her relationship with Nick Arnstein.",https://www.imdb.com/title/tt0062994/?ref_=sr_i_2,['Isobel Lennart'],['William Wyler'],"['Barbra Streisand', 'Omar Sharif', 'Kay Medford', 'Anne Francis', 'Walter Pidgeon', 'Lee Allen', 'Mae Questel', 'Gerald Mohr', 'Frank Faylen', 'Mittie Lawrence']","$14,100,000 (estimated)","$65,560","$52,225,786","$52,223,306","September 19, 1968",['United States'],"[""Jersey Central Railway Station, Jersey City, New Jersey, USA ('Don't Rain On My Parade' sequence)""]","['Columbia Pictures', 'Rastar Productions']","Won 1 Oscar, 8 wins & 16 nominations total","['Classic Musical', 'Slapstick', 'Biography', 'Comedy', 'Drama', 'Musical', 'Romance']",['English']
3. The Odd Couple,1968,1h 45m,G,7.6,39K,86.0,"A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day.",https://www.imdb.com/title/tt0063374/?ref_=sr_i_3,['Neil Simon'],['Gene Saks'],"['Jack Lemmon', 'Walter Matthau', 'John Fiedler', 'Herb Edelman', 'David Sheiner', 'Larry Haines', 'Monica Evans', 'Carole Shelley', 'Iris Adrian', 'Matty Alou']","$1,200,000 (estimated)",,"$44,527,234","$44,527,234","May 16, 1968",['United States'],"[""The Dorchester Apartments - 131 Riverside Drive at 85th Street, New York City, New York, USA (Oscar's apartment)""]",['Paramount Pictures'],"Nominated for 2 Oscars, 3 wins & 9 nominations total","['Buddy Comedy', 'Comedy']",['English']
4. Planet of the Apes,1968,1h 52m,G,8.0,204K,79.0,"After being kept in hypersleep during a long expedition into deep space, an astronaut crew crash-lands in the 40th century on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.",https://www.imdb.com/title/tt0063442/?ref_=sr_i_4,"['Michael Wilson', 'Rod Serling', 'Pierre Boulle']",['Franklin J. Schaffner'],"['Charlton Heston', 'Roddy McDowall', 'Kim Hunter', 'Maurice Evans', 'James Whitmore', 'James Daly', 'Linda Harrison', 'Robert Gunner', 'Lou Wagner', 'Woodrow Parfrey']","$5,800,000 (estimated)",,"$32,600,372","$32,589,624","April 3, 1968",['United States'],"['Lake Powell, Utah, USA']","['APJAC Productions', 'Twentieth Century Fox']","Nominated for 2 Oscars, 6 wins & 5 nominations total","['Dystopian Sci-Fi', 'Sci-Fi Epic', 'Space Sci-Fi', 'Time Travel', 'Adventure', 'Sci-Fi']",['English']
5. Hang 'Em High,1968,1h 54m,Approved,7.0,46K,62.0,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",https://www.imdb.com/title/tt0061747/?ref_=sr_i_5,"['Leonard Freeman', 'Mel Goldberg']",['Ted Post'],"['Clint Eastwood', 'Inger Stevens', 'Pat Hingle', 'Ed Begley', 'Ben Johnson', 'Charles McGraw', 'Ruth White', 'Bruce Dern', 'Alan Hale Jr.', 'Arlene Golonka']","$1,600,000 (estimated)",,"$11,000,000","$11,000,000","July 31, 1968",['United States'],"['Quartzsite, Arizona, USA']","['Leonard Freeman Production', 'The Malpaso Company']",,"['Legal Drama', 'One-Person Army Action', 'Drama', 'Western']",['English']
6. Chitty Chitty Bang Bang,1968,2h 24m,G,7.0,53K,64.0,"A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land.",https://www.imdb.com/title/tt0062803/?ref_=sr_i_6,"['Ian Fleming', 'Roald Dahl', 'Ken Hughes']",['Ken Hughes'],"['Dick Van Dyke', 'Sally Ann Howes', 'Lionel Jeffries', 'Benny Hill', 'Gert Fröbe', 'Anna Quayle', 'James Robertson Justice', 'Robert Helpmann', 'Heather Ripley', 'Adrian Hall']","$10,000,000 (estimated)",,"$7,500,578","$7,500,000","December 18, 1968",['United Kingdom'],"[""Neuschwanstein Castle, Hohenschwangau, Schwangau, Bavaria, Germany (Baron Bomburst's castle)""]","['Dramatic Features', 'Warfield']","Nominated for 1 Oscar, 4 nominations total","['Globetrotting Adventure', 'Adventure', 'Family', 'Fantasy', 'Musical']","['English', 'German', 'French', 'Latin']"
7. Where Eagles Dare,1968,2h 38m,M,7.6,65K,63.0,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",https://www.imdb.com/title/tt0065207/?ref_=sr_i_7,['Alistair MacLean'],['Brian G. Hutton'],"['Richard Burton', 'Clint Eastwood', 'Mary Ure', 'Patrick Wymark', 'Michael Hordern', 'Donald Houston', 'Peter Barkworth', 'William Squire', 'Robert Beatty', 'Brook Williams']","$7,700,000 (estimated)",,"$7,100,435","$7,100,000","March 12, 1969","['United States', 'United Kingdom']","['Burg Hohenwerfen, Burgstraße 2, 5450 Werfen, Austria (Schloss Adler, the mountaintop fortress)']","['Gershwin-Kastner Productions', 'Winkast Film Productions']","Awards, 1 win & 3 nominations total","['Spy', 'War Epic', 'Action', 'Adventure', 'War']","['English', 'German']"
8. Once Upon a Time in the West,1968,2h 46m,PG-13,8.5,366K,82.0,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,https://www.imdb.com/title/tt0064116/?ref_=sr_i_8,"['Sergio Donati', 'Sergio Leone', 'Dario Argento']",['Sergio Leone'],"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards', 'Gabriele Ferzetti', 'Paolo Stoppa', 'Woody Strode', 'Jack Elam', 'Keenan Wynn', 'Frank Wolff']","$5,000,000 (estimated)",,"$5,435,312","$5,321,508","July 4, 1969","['Italy', 'United States']","['Monument Valley, Arizona, USA']","['Rafran Cinematografica', 'San Marco', 'Paramount Pictures']","Awards, 6 wins & 5 nominations total","['Desert Adventure', 'Epic', 'Spaghetti Western', 'Western Epic', 'Drama', 'Western']","['Italian', 'English', 'Spanish']"
9. Coogan's Bluff,1968,1h 34m,Approved,6.4,20K,,Arizona Deputy Sheriff Coogan is sent to New York City to escort an escaped fugitive back for trial.,https://www.imdb.com/title/tt0062824/?ref_=sr_i_9,"['Herman Miller', 'Dean Riesner', 'Howard Rodman']",['Don Siegel'],"['Clint Eastwood', 'Lee J. Cobb', 'Susan Clark', 'Tisha Sterling', 'Don Stroud', 'Betty Field', 'Tom Tully', 'Melodie Johnson', 'James Edwards', 'Rudy Diaz']","$1,500,000 (estimated)",,"$3,110,000","$3,110,000","October 10, 1968",['United States'],"['The Cloisters Museum, West 193rd Street, Fort Tryon Park, Manhattan, New York City, New York, USA (motorcycle chase finale)']","['Universal Pictures', 'The Malpaso Company']",,"['Action', 'Crime', 'Thriller']",['English']
10. Yellow Submarine,1968,1h 25m,G,7.4,29K,79.0,The Beatles agree to accompany Captain Fred in his yellow submarine and go to Pepperland to free it from the music-hating Blue Meanies.,https://www.imdb.com/title/tt0063823/?ref_=sr_i_10,"['Lee Minoff', 'John Lennon', 'Paul McCartney']",['George Dunning'],"['Paul McCartney', 'George Harrison', 'Ringo Starr', 'John Lennon', 'The Beatles', 'Paul Angelis', 'John Clive', 'Dick Emery', 'Geoffrey Hughes', 'Lance Percival']","£250,000 (estimated)","$107,105","$1,273,261","$992,305","November 13, 1968","['United Kingdom', 'United States']","['Studios of TVC London, London, England, UK']","['Apple Corps', 'King Features Syndicate', 'TVC London']","Awards, 2 wins & 2 nominations total","['Adult Animation', 'Hand-Drawn Animation', 'Jukebox Musical', 'Rock Musical', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Musical']",['English']
