Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,2.1M,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com/title/tt0167260/?ref_=sr_i_1,"['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens']",['Peter Jackson'],"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom', 'Noel Appleby', 'Ali Astin', 'Sean Astin', 'David Aston', 'John Bach', 'Sean Bean']","$94,000,000 (estimated)","$72,629,713","$1,138,283,522","$381,878,219","December 17, 2003","['New Zealand', 'United States']","['Hinuera Valley, Matamata, Waikato, New Zealand (Hobbiton)']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","Won 11 Oscars, 215 wins & 124 nominations total","['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure', 'Drama']","['English', 'Quenya', 'Old English', 'Sindarin']"
2. Finding Nemo,2003,1h 40m,G,8.2,1.2M,90.0,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://www.imdb.com/title/tt0266543/?ref_=sr_i_2,"['Andrew Stanton', 'Bob Peterson', 'David Reynolds']","['Andrew Stanton', 'Lee Unkrich']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Brad Garrett', 'Allison Janney', 'Austin Pendleton', 'Stephen Root', 'Vicki Lewis', 'Joe Ranft']","$94,000,000 (estimated)","$70,251,710","$941,637,960","$380,843,261","May 30, 2003","['United States', 'Japan']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","Won 1 Oscar, 49 wins & 63 nominations total","['Animal Adventure', 'Buddy Comedy', 'Computer Animation', 'Quest', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family']","['English', 'Japanese', 'Russian']"
3. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,1.3M,63.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",https://www.imdb.com/title/tt0325980/?ref_=sr_i_3,"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']",['Gore Verbinski'],"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', ""Damian O'Hare"", 'Giles New']","$140,000,000 (estimated)","$46,630,690","$654,264,546","$305,413,918","July 9, 2003",['United States'],"['Samana, Dominican Republic']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']","Nominated for 5 Oscars, 38 wins & 104 nominations total","['Sea Adventure', 'Supernatural Fantasy', 'Swashbuckler', 'Sword & Sandal', 'Action', 'Adventure', 'Fantasy']",['English']
4. The Matrix Reloaded,2003,2h 18m,R,7.2,649K,62.0,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",https://www.imdb.com/title/tt0234215/?ref_=sr_i_4,"['Lilly Wachowski', 'Lana Wachowski']","['Lana Wachowski', 'Lilly Wachowski']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Ray Anthony', 'Christine Anu', 'Andy Arness', 'Alima Ashton-Sheibu', 'Helmut Bakaitis', 'Steve Bastoni']","$150,000,000 (estimated)","$91,774,413","$741,847,937","$281,576,461","May 15, 2003",['United States'],"['Nimitz Freeway, Oakland, California, USA']","['Warner Bros.', 'Village Roadshow Pictures', 'NPV Entertainment']","Awards, 8 wins & 34 nominations total","['Cyberpunk', 'Dystopian Sci-Fi', 'Gun Fu', 'Martial Arts', 'Action', 'Sci-Fi']","['English', 'French', 'Italian']"
5. Bruce Almighty,2003,1h 41m,PG-13,6.8,450K,46.0,A whiny news reporter is given the chance to step into God's shoes.,https://www.imdb.com/title/tt0315327/?ref_=sr_i_5,"['Steve Koren', ""Mark O'Keefe"", 'Steve Oedekerk']",['Tom Shadyac'],"['Jim Carrey', 'Jennifer Aniston', 'Morgan Freeman', 'Philip Baker Hall', 'Catherine Bell', 'Lisa Ann Walter', 'Steve Carell', 'Nora Dunn', 'Eddie Jemison', 'Paul Satterfield']","$81,000,000 (estimated)","$67,953,330","$484,592,874","$242,829,261","May 23, 2003",['United States'],"['Buffalo, New York, USA (establishing shots, aerial shots and visual effects plates)']","['Spyglass Entertainment', 'Universal Pictures', 'Shady Acres Entertainment']","Awards, 7 wins & 9 nominations total","['High-Concept Comedy', 'Quirky Comedy', 'Slapstick', 'Supernatural Fantasy', 'Comedy', 'Fantasy']","['English', 'Spanish']"
6. X2: X-Men United,2003,2h 14m,PG-13,7.4,595K,68.0,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",https://www.imdb.com/title/tt0290334/?ref_=sr_i_6,"['Zak Penn', 'David Hayter', 'Bryan Singer']",['Bryan Singer'],"['Patrick Stewart', 'Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Famke Janssen', 'James Marsden', 'Anna Paquin', 'Rebecca Romijn', 'Brian Cox', 'Alan Cumming']","$110,000,000 (estimated)","$85,558,731","$407,711,549","$214,949,694","May 2, 2003","['Canada', 'United States']","['Kananaskis Country, Alberta, Canada']","['Twentieth Century Fox', 'Marvel Enterprises', ""Donners' Company""]","Awards, 6 wins & 41 nominations total","['Superhero', 'Action', 'Sci-Fi', 'Thriller']","['English', 'German', 'Italian', 'Spanish']"
7. Elf,2003,1h 37m,PG,7.1,329K,66.0,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",https://www.imdb.com/title/tt0319343/?ref_=sr_i_7,['David Berenbaum'],['Jon Favreau'],"['Will Ferrell', 'James Caan', 'Bob Newhart', 'Zooey Deschanel', 'Edward Asner', 'Mary Steenburgen', 'Daniel Tay', 'Faizon Love', 'Peter Dinklage', 'Amy Sedaris']","$33,000,000 (estimated)","$32,100,000","$230,266,511","$178,053,220","November 7, 2003",['United States'],"['Vancouver, British Columbia, Canada']","['New Line Cinema', 'Guy Walks into a Bar Productions', 'Gold/Miller Productions']","Awards, 2 wins & 8 nominations total","['Holiday Comedy', 'Holiday Family', 'Holiday Romance', 'Quirky Comedy', 'Urban Adventure', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Holiday']",['English']
8. Terminator 3: Rise of the Machines,2003,1h 49m,R,6.3,427K,66.0,John Connor must face a female Terminatrix with power over all the machines. But a new Terminator unit a T-850 sent back through time will guide him through the coming battle.,https://www.imdb.com/title/tt0181852/?ref_=sr_i_8,"['John Brancato', 'Michael Ferris', 'Tedi Sarafian']",['Jonathan Mostow'],"['Arnold Schwarzenegger', 'Nick Stahl', 'Kristanna Loken', 'Claire Danes', 'David Andrews', 'Mark Famiglietti', 'Earl Boen', 'Moira Sinise', 'Chopper Bernet', 'Christopher Lawford']","$200,000,000 (estimated)","$44,041,440","$433,371,112","$150,371,112","July 2, 2003","['United Kingdom', 'Germany', 'United States']","['33488 Crown Valley Roadd, Acton, California, USA ([43:03]Terminator takes snacks and they refuel the truck)']","['Intermedia Films', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'C-2 Pictures']","Awards, 3 wins & 24 nominations total","['Dystopian Sci-Fi', 'Time Travel', 'Action', 'Sci-Fi']",['English']
9. The Matrix Revolutions,2003,2h 9m,R,6.7,559K,47.0,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,https://www.imdb.com/title/tt0242653/?ref_=sr_i_9,"['Lilly Wachowski', 'Lana Wachowski']","['Lana Wachowski', 'Lilly Wachowski']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Mary Alice', 'Tanveer K. Atwal', 'Helmut Bakaitis', 'Kate Beahan', 'Francine Bell', 'Monica Bellucci']","$150,000,000 (estimated)","$48,475,154","$427,344,325","$139,313,948","November 5, 2003","['United States', 'Australia']","['St James Underground Station, Hyde Park, Sydney, New South Wales, Australia (Trainman chase)']","['Warner Bros.', 'Village Roadshow Pictures', 'NPV Entertainment']","Awards, 5 wins & 36 nominations total","['Cyberpunk', 'Gun Fu', 'Martial Arts', 'Sci-Fi Epic', 'Superhero', 'Action', 'Sci-Fi']","['English', 'French']"
10. Cheaper by the Dozen,2003,1h 38m,PG,5.9,112K,46.0,"With his wife on a book tour, Tom Baker finds his life turned upside down when he agrees to care for his twelve children while simultaneously also coaching his new football team.",https://www.imdb.com/title/tt0349205/?ref_=sr_i_10,"['Frank B. Gilbreth Jr.', 'Ernestine Gilbreth Carey', 'Craig Titley']",['Shawn Levy'],"['Steve Martin', 'Bonnie Hunt', 'Hilary Duff', 'Piper Perabo', 'Tom Welling', 'Kevin G. Schmidt', 'Alyson Stoner', 'Jacob Smith', 'Liliana Mumy', 'Morgan York']","$40,000,000 (estimated)","$27,557,647","$190,538,630","$138,614,544","December 25, 2003",['United States'],"['357 S. Lorraine Blvd., Los Angeles, California, USA']","['Twentieth Century Fox', 'Robert Simonds Productions']","Awards, 2 wins & 7 nominations total","['Comedy', 'Family']",['English']
11. Bad Boys II,2003,2h 27m,R,6.6,280K,38.0,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,https://www.imdb.com/title/tt0172156/?ref_=sr_i_11,"['George Gallo', 'Marianne Wibberley', 'Cormac Wibberley']",['Michael Bay'],"['Will Smith', 'Martin Lawrence', 'Gabrielle Union', 'Jordi Mollà', 'Peter Stormare', 'Theresa Randle', 'Joe Pantoliano', 'Michael Shannon', 'Jon Seda', 'Yul Vazquez']","$130,000,000 (estimated)","$46,522,560","$273,340,010","$138,608,444","July 18, 2003",['United States'],['Puerto Rico'],"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']","Awards, 5 wins & 13 nominations total","['Buddy Cop', 'Cop Drama', 'Action', 'Comedy', 'Crime', 'Thriller']","['English', 'Spanish', 'Russian']"
12. Anger Management,2003,1h 46m,PG-13,6.3,234K,52.0,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",https://www.imdb.com/title/tt0305224/?ref_=sr_i_12,['David Dorfman'],['Peter Segal'],"['Jack Nicholson', 'Adam Sandler', 'Marisa Tomei', 'Luis Guzmán', 'Allen Covert', 'Lynne Thigpen', 'Kurt Fuller', 'Jonathan Loughran', 'Krista Allen', 'January Jones']","$75,000,000 (estimated)","$42,220,847","$195,745,823","$135,645,823","April 11, 2003",['United States'],"['Yankee Stadium - E. 161st Street & River Avenue, Bronx, New York City, New York, USA']","['Revolution Studios', 'Happy Madison Productions', 'Anger Management LLC']","Awards, 2 wins & 4 nominations total","['Buddy Comedy', 'Dark Comedy', 'Comedy']",['English']
13. Bringing Down the House,2003,1h 45m,PG-13,5.6,40K,39.0,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",https://www.imdb.com/title/tt0305669/?ref_=sr_i_13,['Jason Filardi'],['Adam Shankman'],"['Steve Martin', 'Queen Latifah', 'Eugene Levy', 'Joan Plowright', 'Jean Smart', 'Kimberly J. Brown', 'Angus T. Jones', 'Missi Pyle', 'Michael Rosenbaum', 'Betty White']","$33,000,000 (estimated)","$31,101,026","$164,729,679","$132,716,677","March 7, 2003",['United States'],"['166 S McCadden Pl., Hancock Park, Los Angeles, California, USA']","['Touchstone Pictures', 'Hyde Park Films', 'Mandeville Films']","Awards, 4 wins & 13 nominations total",['Comedy'],['English']
14. Hulk,2003,2h 18m,PG-13,5.6,285K,54.0,"Bruce Banner, a genetics researcher with a tragic past, suffers a lab accident that makes him transform into a raging, giant green monster when angered, making him a target of forces seeking to abuse his power.",https://www.imdb.com/title/tt0286716/?ref_=sr_i_14,"['Stan Lee', 'Jack Kirby', 'James Schamus']",['Ang Lee'],"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott', 'Josh Lucas', 'Nick Nolte', 'Paul Kersey', 'Cara Buono', 'Todd Tesen', 'Kevin Rankin', 'Celia Weston']","$137,000,000 (estimated)","$62,128,420","$245,285,165","$132,177,234","June 20, 2003",['United States'],"['Victorville, California, USA']","['Universal Pictures', 'Marvel Enterprises', 'Valhalla Motion Pictures']","Awards, 3 wins & 14 nominations total","['Kaiju', 'One-Person Army Action', 'Superhero', 'Action', 'Sci-Fi']","['English', 'Spanish']"
15. 2 Fast 2 Furious,2003,1h 47m,PG-13,5.9,309K,38.0,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,https://www.imdb.com/title/tt0322259/?ref_=sr_i_15,"['Gary Scott Thompson', 'Michael Brandt', 'Derek Haas']",['John Singleton'],"['Paul Walker', 'Tyrese Gibson', 'Cole Hauser', 'Eva Mendes', 'Ludacris', 'Thom Barry', 'James Remar', 'Devon Aoki', 'Amaury Nolasco', 'Michael Ealy']","$76,000,000 (estimated)","$50,472,480","$236,353,236","$127,154,901","June 6, 2003","['United States', 'Germany']","['Weston, Florida, USA']","['Universal Pictures', 'Original Film', 'Mikona Productions GmbH & Co. KG']","Awards, 4 wins & 13 nominations total","['Car Action', 'Action', 'Crime', 'Thriller']","['English', 'Spanish']"
16. Something's Gotta Give,2003,2h 8m,PG-13,6.7,133K,66.0,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,https://www.imdb.com/title/tt0337741/?ref_=sr_i_16,['Nancy Meyers'],['Nancy Meyers'],"['Jack Nicholson', 'Diane Keaton', 'Keanu Reeves', 'Amanda Peet', 'Frances McDormand', 'Jon Favreau', 'Paul Michael Glaser', 'Rachel Ticotin', 'Paige Butcher', 'Tanya Sweet']","$80,000,000 (estimated)","$16,064,723","$265,328,738","$124,728,738","December 12, 2003",['United States'],"['The Hamptons, Long Island, New York, USA']","['Columbia Pictures', 'Warner Bros.', 'Waverly Films']","Nominated for 1 Oscar, 8 wins & 13 nominations total","['Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['English', 'French']"
17. Seabiscuit,2003,2h 20m,PG-13,7.3,78K,72.0,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,https://www.imdb.com/title/tt0329575/?ref_=sr_i_17,"['Laura Hillenbrand', 'Gary Ross']",['Gary Ross'],"['Tobey Maguire', 'Jeff Bridges', 'Elizabeth Banks', 'Chris Cooper', 'David McCullough', ""Paul Vincent O'Connor"", 'Michael Ensign', 'James Keane', 'Valerie Mahaffey', 'David Doty']","$87,000,000 (estimated)","$20,854,735","$148,336,445","$120,277,854","July 25, 2003",['United States'],"['Hemet, California, USA (Hemet Stock Farm)']","['Universal Pictures', 'Dreamworks Pictures', 'Spyglass Entertainment']","Nominated for 7 Oscars, 6 wins & 44 nominations total","['Period Drama', 'Drama', 'History', 'Sport']",['English']
18. S.W.A.T.,2003,1h 57m,PG-13,6.1,157K,45.0,"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.",https://www.imdb.com/title/tt0257076/?ref_=sr_i_18,"['Robert Hamner', 'Ron Mita', 'Jim McClain']",['Clark Johnson'],"['Samuel L. Jackson', 'Colin Farrell', 'Michelle Rodriguez', 'LL Cool J', 'Josh Charles', 'Jeremy Renner', 'Brian Van Holt', 'Olivier Martinez', 'Reg E. Cathey', 'Larry Poindexter']","$80,000,000 (estimated)","$37,062,535","$207,725,639","$116,934,650","August 8, 2003",['United States'],"['Los Angeles River Basin - Between 1st & 4th Street Bridges, Downtown, Los Angeles, California, USA']","['Columbia Pictures', 'Original Film', 'Camelot Pictures']","Awards, 5 wins & 5 nominations total","['Action', 'Adventure', 'Crime', 'Thriller']","['English', 'Spanish', 'French']"
19. Spy Kids 3: Game Over,2003,1h 24m,PG,4.4,69K,57.0,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",https://www.imdb.com/title/tt0338459/?ref_=sr_i_19,['Robert Rodriguez'],['Robert Rodriguez'],"['Daryl Sabara', 'Alexa PenaVega', 'Antonio Banderas', 'Carla Gugino', 'Ricardo Montalban', 'Holland Taylor', 'Sylvester Stallone', 'Mike Judge', 'Salma Hayek', ""Matt O'Leary""]","$38,000,000 (estimated)","$32,500,000","$197,101,678","$111,761,982","July 25, 2003",['United States'],"['Master Blaster, Schlitterbahn Waterpark Resort - 400 N Liberty Avenue, New Braunfels, Comal County, Texas, USA (opening sequence at Agua Park with Juni Cortez and Waterpark Girl)']","['Dimension Films', 'Los Hooligans Productions', 'Troublemaker Studios']","Awards, 3 wins & 5 nominations total","['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",['English']
