Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Greatest Show on Earth,1952,2h 32m,Approved,6.5,17K,76.0,"The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.",https://www.imdb.com/title/tt0044672/?ref_=sr_i_1,"['Fredric M. Frank', 'Barré Lyndon', 'Theodore St. John']",['Cecil B. DeMille'],"['James Stewart', 'Charlton Heston', 'Betty Hutton', 'Cornel Wilde', 'Dorothy Lamour', 'Gloria Grahame', 'Henry Wilcoxon', 'Lyle Bettger', 'Lawrence Tierney', 'Emmett Kelly']","$4,000,000 (estimated)",,"$36,000,000","$36,000,000",May 1952,['United States'],"['Sarasota, Florida, USA']",['Paramount Pictures'],"Won 2 Oscars, 13 wins & 5 nominations total","['Drama', 'Family', 'Romance']","['English', 'Russian']"
2. Singin' in the Rain,1952,1h 43m,G,8.3,271K,99.0,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,https://www.imdb.com/title/tt0045152/?ref_=sr_i_2,"['Betty Comden', 'Adolph Green']","['Stanley Donen', 'Gene Kelly']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen', 'Millard Mitchell', 'Cyd Charisse', 'Douglas Fowley', 'Rita Moreno', 'Dawn Addams', 'John Albright']","$2,540,800 (estimated)","$13,643","$2,094,272","$1,884,537","April 10, 1952",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (New York City Streets)']","[""Loew's""]","Nominated for 2 Oscars, 11 wins & 11 nominations total","['Classic Musical', 'Feel-Good Romance', 'Jukebox Musical', 'Romantic Comedy', 'Satire', 'Comedy', 'Musical', 'Romance']",['English']
3. Umberto D.,1952,1h 29m,Not Rated,8.2,29K,92.0,An elderly man and his dog struggle to survive on his government pension in Rome.,https://www.imdb.com/title/tt0045274/?ref_=sr_i_3,['Cesare Zavattini'],['Vittorio De Sica'],"['Carlo Battisti', 'Maria Pia Casilio', 'Lina Gennari', 'Ileana Simova', 'Elena Rea', 'Memmo Carotenuto', 'Alberto Albani Barbieri', 'Pasquale Campagnola', 'Riccardo Ferri', 'Lamberto Maggiorani']",,,"$72,433","$71,816","November 7, 1955",['Italy'],"['The Pantheon, Piazza della Rotonda, Rome, Lazio, Italy']","['Dear Film', 'Rizzoli Film', 'Produzione Films Vittorio De Sica']","Nominated for 1 Oscar, 3 wins & 3 nominations total","['Tragedy', 'Drama']",['Italian']
4. Ikiru,1952,2h 23m,Not Rated,8.3,95K,92.0,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,https://www.imdb.com/title/tt0044741/?ref_=sr_i_4,"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']",['Akira Kurosawa'],"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka', 'Minoru Chiaki', 'Miki Odagiri', 'Bokuzen Hidari', 'Minosuke Yamada', 'Kamatari Fujiwara', 'Makoto Kobori']",,"$2,149","$113,821","$60,239","March 25, 1956",['Japan'],"['Tokyo, Japan']",['Toho'],"Nominated for 1 BAFTA Award, 6 wins & 2 nominations total","['Psychological Drama', 'Tragedy', 'Drama']","['Japanese', 'Latin', 'English', 'French']"
5. The White Sheik,1952,1h 23m,Not Rated,7.2,7.2K,,"During a day of their honeymoon, newlyweds are separated by the city's lust and the desires it produces.",https://www.imdb.com/title/tt0044000/?ref_=sr_i_5,"['Michelangelo Antonioni', 'Federico Fellini', 'Tullio Pinelli']",['Federico Fellini'],"['Alberto Sordi', 'Giulietta Masina', 'Brunella Bovo', 'Leopoldo Trieste', 'Ernesto Almirante', 'Lilia Landi', 'Fanny Marchiò', 'Gina Mascetti', 'Jole Silvani', 'Enzo Maggio']",,"$5,562","$70,699","$50,850","April 25, 1956",['Italy'],"['FERT Studios, Turin, Piedmont, Italy (Studio)']","['OFI', 'P.D.C.']","Awards, 1 nomination total","['Comedy', 'Drama', 'Romance']",['Italian']
6. Fanfan la Tulipe,1952,1h 42m,Not Rated,7.1,3.6K,69.0,Swashbuckling adventures of young army recruit Fanfan la Tulipe during the reign of King Louis XV in 18th Century France.,https://www.imdb.com/title/tt0044602/?ref_=sr_i_6,"['René Wheeler', 'René Fallet', 'Christian-Jaque']",['Christian-Jaque'],"['Gérard Philipe', 'Gina Lollobrigida', 'Marcel Herrand', 'Olivier Hussenot', 'Henri Rollan', 'Nerio Bernardi', 'Jean-Marc Tennberg', 'Geneviève Page', 'Sylvie Pelayo', 'Lolita De Silva']",,"$6,070","$30,590","$30,590","May 4, 1953","['France', 'Italy']","['Cinecittà Studios, Cinecittà, Rome, Lazio, Italy (Studio)']","['Filmsonor', 'Les Films Ariane', 'Amato Produzione']","Awards, 2 wins & 1 nomination total","['Costume Drama', 'Period Drama', 'Swashbuckler', 'Adventure', 'Comedy', 'Romance', 'War']",['French']
7. Sudden Fear,1952,1h 50m,Approved,7.5,8K,,"After an ambitious actor insinuates himself into the life of a wealthy middle-aged playwright and marries her, he plots with his mistress to murder her.",https://www.imdb.com/title/tt0045205/?ref_=sr_i_7,"['Lenore J. Coffee', 'Robert Smith', 'Edna Sherry']",['David Miller'],"['Joan Crawford', 'Jack Palance', 'Gloria Grahame', 'Bruce Bennett', 'Virginia Huston', 'Mike Connors', 'Rodney Bell', 'Lulu Mae Bohrman', 'George Chan', 'Estelle Etterre']","$720,000 (estimated)","$11,126","$24,759","$24,476","August 15, 1952",['United States'],"[""2800 Scott Street, San Francisco, California, USA (Myra's residence)""]",['Joseph Kaufman Productions'],"Nominated for 4 Oscars, 2 wins & 6 nominations total","['Film Noir', 'Psychological Thriller', 'Thriller']",['English']
8. Forbidden Games,1952,1h 26m,Not Rated,8.0,14K,,"A young French girl orphaned in a German air attack is befriended by the son of a poor farmer, and together they try to come to terms with the realities of death.",https://www.imdb.com/title/tt0043686/?ref_=sr_i_8,"['François Boyer', 'Jean Aurenche', 'Pierre Bost']",['René Clément'],"['Georges Poujouly', 'Brigitte Fossey', 'Amédée', 'Laurence Badie', 'Madeleine Barbulée', 'Suzanne Courtal', 'Lucien Hubert', 'Jacques Marin', 'Marcel Mérovée', 'Violette Monnier']",,"$4,316","$19,889","$19,889","December 8, 1952",['France'],"['Studios de la Victorine - 16 avenue Edouard Grinda, Nice, Alpes-Maritimes, France (Studio)']","['Silver Films', 'Filmax']","Nominated for 1 Oscar, 8 wins & 2 nominations total","['Drama', 'War']",['French']
9. The Quiet Man,1952,2h 9m,Approved,7.7,44K,85.0,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",https://www.imdb.com/title/tt0045061/?ref_=sr_i_9,"['Frank S. Nugent', 'Maurice Walsh', 'John Ford']",['John Ford'],"['John Wayne', ""Maureen O'Hara"", 'Barry Fitzgerald', 'Ward Bond', 'Victor McLaglen', 'Mildred Natwick', 'Francis Ford', 'Eileen Crowe', 'May Craig', 'Arthur Shields']","$1,750,000 (estimated)",,,,"September 14, 1952",['United States'],"['Cong, County Mayo, Ireland (Inisfree)']",['Argosy Pictures'],"Won 2 Oscars, 15 wins & 10 nominations total","['Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['English', 'Irish Gaelic']"
10. High Noon,1952,1h 25m,PG,7.9,113K,89.0,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.",https://www.imdb.com/title/tt0044706/?ref_=sr_i_10,"['Carl Foreman', 'John W. Cunningham']",['Fred Zinnemann'],"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Otto Kruger', 'Lon Chaney Jr.', 'Harry Morgan', 'Ian MacDonald', 'Eve McVeagh']","$730,000 (estimated)",,$217,,"July 30, 1952",['United States'],"['Railtown 1897 State Historic Park - Jamestown, California, USA']",['Stanley Kramer Productions'],"Won 4 Oscars, 18 wins & 12 nominations total","['Classical Western', 'Drama', 'Thriller', 'Western']","['English', 'Spanish']"
