Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Third Man,1949,1h 44m,Approved,8.1,189K,97.0,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",https://www.imdb.com/title/tt0041959/?ref_=sr_i_1,"['Graham Greene', 'Orson Welles', 'Alexander Korda']",['Carol Reed'],"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard', 'Paul Hörbiger', 'Ernst Deutsch', 'Erich Ponto', 'Siegfried Breuer', 'Hedwig Bleibtreu', 'Bernard Lee']",,"$13,576","$1,406,393","$1,067,364","February 1, 1950",['United Kingdom'],"['8 Schreyvogelgasse, Vienna, Austria (doorway where Harry Lime first appears)']",['London Film Productions'],"Won 1 Oscar, 6 wins & 4 nominations total","['Film Noir', 'Hard-boiled Detective', 'Whodunnit', 'Drama', 'Mystery', 'Thriller']","['English', 'German', 'Russian', 'French']"
2. Stray Dog,1949,2h 2m,Not Rated,7.8,20K,,"During a sweltering summer, a rookie homicide detective seeks advice from a seasoned colleague while trying to track down his stolen Colt pistol.",https://www.imdb.com/title/tt0041699/?ref_=sr_i_2,"['Ryûzô Kikushima', 'Akira Kurosawa']",['Akira Kurosawa'],"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Awaji', 'Eiko Miyoshi', 'Noriko Sengoku', 'Noriko Honma', 'Reikichi Kawamura', 'Eijirô Tôno', 'Yasushi Nagata', 'Isao Kimura']",,"$15,942","$47,023","$46,808","August 31, 1963",['Japan'],"['Tokyo, Japan (multiple locations)']","['Film Art Association', 'Shintoho Film Distribution Committee', 'Toho']","Awards, 4 wins total","['Crime', 'Drama', 'Mystery', 'Thriller']","['Japanese', 'French']"
3. Kind Hearts and Coronets,1949,1h 46m,Approved,8.0,41K,,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,https://www.imdb.com/title/tt0041546/?ref_=sr_i_3,"['Roy Horniman', 'Robert Hamer', 'John Dighton']",['Robert Hamer'],"['Dennis Price', 'Alec Guinness', 'Valerie Hobson', 'Joan Greenwood', 'Audrey Fildes', 'Miles Malleson', 'Clive Morton', 'John Penrose', 'Cecil Ramage', 'Hugh Griffith']",,"$8,004","$146,400","$35,948",March 1950,['United Kingdom'],"[""Leeds Castle, Maidstone, Kent, England, UK (Chalfont - D'Ascoyne family castle)""]","['Ealing Studios', 'Michael Balcon Productions']","Nominated for 1 BAFTA Award, 5 wins & 3 nominations total","['Dark Comedy', 'Satire', 'Comedy', 'Crime']","['English', 'Italian']"
4. The Small Back Room,1949,1h 46m,Approved,7.1,3.5K,,"As the Germans drop explosive booby-traps on Britain in 1943, the embittered expert who'll have to disarm them fights a private battle with alcohol.",https://www.imdb.com/title/tt0041886/?ref_=sr_i_4,"['Nigel Balchin', 'Michael Powell', 'Emeric Pressburger']","['Michael Powell', 'Emeric Pressburger']","['David Farrar', 'Jack Hawkins', 'Kathleen Byron', 'Leslie Banks', 'Cyril Cusack', 'Robert Morley', 'Emrys Jones', 'Renée Asherson', 'Walter Fitzgerald', 'Anthony Bushell']","£232,972 (estimated)","$6,561","$25,091","$25,091","February 23, 1952",['United Kingdom'],"[""Stonehenge, Salisbury Plain, Wiltshire, England, UK (Testing of the Reeve's Gun)""]","['The Archers', 'London Film Productions']","Nominated for 1 BAFTA Award, 1 nomination total","['Drama', 'Romance', 'Thriller', 'War']",['English']
5. Late Spring,1949,1h 50m,Not Rated,8.2,20K,93.0,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father.",https://www.imdb.com/title/tt0041154/?ref_=sr_i_5,"['Kazuo Hirotsu', 'Kôgo Noda', 'Yasujirô Ozu']",['Yasujirô Ozu'],"['Chishû Ryû', 'Setsuko Hara', 'Yumeji Tsukioka', 'Haruko Sugimura', 'Hôhi Aoki', 'Jun Usami', 'Kuniko Miyake', 'Masao Mishima', 'Yoshiko Tsubouchi', 'Yôko Katsuragi']",,"$6,456","$19,681","$13,254","July 21, 1972",['Japan'],"['Kyoto, Japan']",['Shochiku'],"Awards, 5 wins total","['Comedy', 'Drama']",['Japanese']
6. Rendezvous in July,1949,1h 52m,,7.0,475,,Hopes and love and ambitions and friendship in a group of young jazz-loving Parisians.,https://www.imdb.com/title/tt0041800/?ref_=sr_i_6,"['Jacques Becker', 'Maurice Griffe', 'Sacha Guitry']",['Jacques Becker'],"['Daniel Gélin', 'Brigitte Auber', 'Nicole Courcel', 'Pierre Trabaud', 'Maurice Ronet', 'Philippe Mareuil', 'Henri Belly', 'Jacques Fabbri', 'Michel Barbey', 'Francis Maziére']",,"$6,080","$11,321","$11,321","December 6, 1949",['France'],"['Place de la Concorde, Paris 8, Paris, France']","['Union Générale Cinématographique (UGC)', 'Société Nouvelle des Établissements Gaumont (SNEG)']","Awards, 2 wins & 1 nomination total","['Comedy', 'Drama']",['French']
7. The Fighting Kentuckian,1949,1h 40m,Approved,6.4,3.7K,,"In 1818 Alabama, French settlers are pitted against greedy land-grabber Blake Randolph but Kentucky militiaman John Breen, who's smitten with French gal Fleurette De Marchand, comes to the settlers' aid.",https://www.imdb.com/title/tt0041361/?ref_=sr_i_7,['George Waggner'],['George Waggner'],"['John Wayne', 'Vera Ralston', 'Philip Dorn', 'Oliver Hardy', 'Marie Windsor', 'John Howard', 'Hugo Haas', 'Grant Withers', 'Odette Myrtil', 'Paul Fix']",,,,"$1,550,000","September 15, 1949",['United States'],"['Agoura, California, USA']",['John Wayne Productions'],,"['Classical Western', 'Adventure', 'Drama', 'Romance', 'War', 'Western']",['English']
8. She Wore a Yellow Ribbon,1949,1h 44m,Approved,7.2,20K,87.0,"Captain Nathan Brittles, on the eve of retirement, takes out a last patrol to stop an impending massive Indian attack. Encumbered by women who must be evacuated, Brittles finds his mission imperiled.",https://www.imdb.com/title/tt0041866/?ref_=sr_i_8,"['James Warner Bellah', 'Frank S. Nugent', 'Laurence Stallings']",['John Ford'],"['John Wayne', 'Joanne Dru', 'John Agar', 'Ben Johnson', 'Harry Carey Jr.', 'Victor McLaglen', 'Mildred Natwick', ""George O'Brien"", 'Arthur Shields', 'Michael Dugan']","$1,600,000 (estimated)",,"$5,919",,"October 22, 1949",['United States'],"['Monument Valley, Arizona, USA']",['Argosy Pictures'],"Won 1 Oscar, 2 wins & 1 nomination total","['Classical Western', 'Western']","['English', 'Spanish']"
9. Samson and Delilah,1949,2h 14m,Approved,6.8,9.3K,,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret.",https://www.imdb.com/title/tt0041838/?ref_=sr_i_9,"['Jesse Lasky Jr.', 'Fredric M. Frank', 'Harold Lamb']",['Cecil B. DeMille'],"['Hedy Lamarr', 'Victor Mature', 'George Sanders', 'Angela Lansbury', 'Henry Wilcoxon', 'Olive Deering', 'Fay Holden', 'Julia Faye', 'Russ Tamblyn', 'William Farnum']","$3,000,000 (estimated)",,,,"September 21, 1950",['United States'],"['Bou-Saada, Algiers, Algeria']",['Paramount Pictures'],"Won 2 Oscars, 7 wins & 5 nominations total","['Drama', 'Family', 'History', 'Romance']",['English']
10. Twelve O'Clock High,1949,2h 12m,Approved,7.7,16K,,A tough-as-nails general takes over a B-17 bomber unit suffering from low morale and whips them into fighting shape.,https://www.imdb.com/title/tt0041996/?ref_=sr_i_10,"['Sy Bartlett', 'Beirne Lay Jr.', 'Henry King']",['Henry King'],"['Gregory Peck', 'Hugh Marlowe', 'Gary Merrill', 'Millard Mitchell', 'Dean Jagger', 'Robert Arthur', 'Paul Stewart', 'John Kellogg', 'Robert Patten', 'Lee MacGregor']",,,,,"February 13, 1950",['United States'],"['Ozark Army Airfield, Ozark, Alabama, USA']",['Twentieth Century Fox'],"Won 2 Oscars, 9 wins & 5 nominations total","['Drama', 'War']",['English']
