Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Bells of St. Mary's,1945,2h 6m,Approved,7.2,9.9K,,"At a big city Catholic school, Father O'Malley and Sister Benedict indulge in friendly rivalry, and succeed in extending the school through the gift of a building.",https://www.imdb.com/title/tt0037536/?ref_=sr_i_1,"['Dudley Nichols', 'Leo McCarey']",['Leo McCarey'],"['Bing Crosby', 'Ingrid Bergman', 'Henry Travers', 'William Gargan', 'Ruth Donnelly', 'Joan Carroll', 'Martha Sleeper', 'Rhys Williams', 'Richard Tyler', ""Una O'Connor""]",,,"$21,337,978","$21,333,333","February 21, 1946",['United States'],"['Tucson Mountains, Arizona, USA']",['Rainbow Productions'],"Won 1 Oscar, 8 wins & 8 nominations total",['Drama'],"['English', 'Latin', 'Swedish']"
2. Children of Paradise,1945,3h 9m,Not Rated,8.3,22K,96.0,The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.,https://www.imdb.com/title/tt0037674/?ref_=sr_i_2,['Jacques Prévert'],['Marcel Carné'],"['Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur', 'Pierre Renoir', 'María Casares', 'Gaston Modot', 'Fabien Loris', 'Marcel Pérès', 'Palau', 'Etienne Decroux']","FRF58,000,000 (estimated)","$10,741","$44,906","$36,986","November 15, 1946",['France'],"['Rue de Ménilmontant, Paris 20, Paris, France']",['Société Nouvelle Pathé Cinéma'],"Nominated for 1 Oscar, 2 wins & 1 nomination total","['Epic', 'Period Drama', 'Romantic Epic', 'Drama', 'Romance']",['French']
3. Detour,1945,1h 6m,Approved,7.3,21K,,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",https://www.imdb.com/title/tt0037638/?ref_=sr_i_3,"['Martin Goldsmith', 'Martin Mooney']",['Edgar G. Ulmer'],"['Tom Neal', 'Ann Savage', 'Claudia Drake', 'Edmund MacDonald', 'Tim Ryan', 'Esther Howard', 'Pat Gleason', 'Don Brodie', 'Roger Clark', 'Eddie Hall']","$30,000 (estimated)","$5,127","$16,172","$16,172","January 25, 1946",['United States'],"[""Virginia Street, Reno, Nevada, USA (In rear projection shot in opening scene, the Reno Arch is seen through the car's rear window.)""]",['Producers Releasing Corporation (PRC)'],"Awards, 1 win total","['Film Noir', 'Crime', 'Drama']",['English']
4. The Picture of Dorian Gray,1945,1h 50m,Approved,7.5,15K,65.0,"Londoner Dorian Gray stays young, but his portrait ages.",https://www.imdb.com/title/tt0037988/?ref_=sr_i_4,"['Albert Lewin', 'Oscar Wilde']",['Albert Lewin'],"['George Sanders', 'Hurd Hatfield', 'Donna Reed', 'Angela Lansbury', 'Peter Lawford', 'Lowell Gilmore', 'Richard Fraser', 'Douglas Walton', 'Morton Lowry', 'Miles Mander']","$3,500,000 (estimated)",,,,"March 3, 1945",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],"Won 1 Oscar, 3 wins & 4 nominations total","['Period Drama', 'Supernatural Horror', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']",['English']
5. Mildred Pierce,1945,1h 51m,Approved,7.9,30K,88.0,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,https://www.imdb.com/title/tt0037913/?ref_=sr_i_5,"['Ranald MacDougall', 'James M. Cain', 'William Faulkner']",['Michael Curtiz'],"['Joan Crawford', 'Jack Carson', 'Zachary Scott', 'Eve Arden', 'Ann Blyth', 'Bruce Bennett', 'Lee Patrick', 'Moroni Olsen', 'Veda Ann Borg', 'Jo Ann Marlowe']","$1,453,000 (estimated)",,"$11,751",,"October 20, 1945",['United States'],"['26652 Latigo Shore Drive, Malibu, California, USA (Location)']",['Warner Bros.'],"Won 1 Oscar, 3 wins & 7 nominations total","['Film Noir', 'Crime', 'Drama', 'Mystery', 'Romance']","['English', 'French']"
6. Spellbound,1945,1h 51m,Approved,7.5,54K,78.0,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,https://www.imdb.com/title/tt0038109/?ref_=sr_i_6,"['Ben Hecht', 'John Palmer', 'Hilary St George Saunders']",['Alfred Hitchcock'],"['Ingrid Bergman', 'Gregory Peck', 'Michael Chekhov', 'Leo G. Carroll', 'Rhonda Fleming', 'John Emery', 'Norman Lloyd', 'Bill Goodwin', 'Steven Geray', 'Donald Curtis']","$1,696,377 (estimated)",,"$19,000",,"December 28, 1945",['United States'],"['Penn Station, Manhattan, New York City, New York, USA (establishing shot of the first train station)']","['Selznick International Pictures', 'Vanguard Films']","Won 1 Oscar, 8 wins & 7 nominations total","['Film Noir', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Mystery', 'Romance', 'Thriller']",['English']
7. Brief Encounter,1945,1h 26m,Approved,8.0,46K,92.0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",https://www.imdb.com/title/tt0037558/?ref_=sr_i_7,"['Noël Coward', 'Anthony Havelock-Allan', 'David Lean']",['David Lean'],"['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Joyce Carey', 'Cyril Raymond', 'Everley Gregg', 'Marjorie Mars', 'Margaret Barton', 'Wilfred Babbage', 'Alfie Bass']","£170,000 (estimated)",,"$119,400",,"August 24, 1946",['United Kingdom'],"['Carnforth Station, Carnforth, Lancashire, England, UK (exterior of Milford Junction Station)']",['Cineguild'],"Nominated for 3 Oscars, 4 wins & 3 nominations total","['Tragic Romance', 'Drama', 'Romance']","['English', 'French']"
8. The Lost Weekend,1945,1h 41m,Approved,7.9,42K,,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,https://www.imdb.com/title/tt0037884/?ref_=sr_i_8,"['Charles R. Jackson', 'Charles Brackett', 'Billy Wilder']",['Billy Wilder'],"['Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva', 'Doris Dowling', 'Frank Faylen', 'Mary Young', 'Anita Sharp-Bolster', 'Lilian Fontaine', 'Frank Orth']","$1,250,000 (estimated)",,$681,,January 1946,['United States'],"['Bellevue Hospital - 462 First Avenue, Manhattan, New York City, New York, USA']",['Paramount Pictures'],"Won 4 Oscars, 18 wins & 3 nominations total","['Film Noir', 'Drama']",['English']
"9. Rome, Open City",1945,1h 43m,Not Rated,8.0,32K,,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",https://www.imdb.com/title/tt0038890/?ref_=sr_i_9,"['Sergio Amidei', 'Federico Fellini', 'Roberto Rossellini']",['Roberto Rossellini'],"['Anna Magnani', 'Aldo Fabrizi', 'Marcello Pagliero', 'Vito Annichiarico', 'Nando Bruno', 'Harry Feist', 'Maria Michi', 'Francesco Grandjacquet', 'Eduardo Passarelli', 'Giovanna Galletti']",,,"$24,113",,"October 8, 1945",['Italy'],"[""Parrocchia di Sant'Elena, Via Casilina 205, Rome, Lazio, Italy (Don Pietro's church)""]",['Excelsa Film'],"Nominated for 1 Oscar, 6 wins & 1 nomination total","['Drama', 'Thriller', 'War']","['Italian', 'German', 'Latin']"
10. And Then There Were None,1945,1h 37m,Approved,7.4,17K,,"Seven guests, a newly hired secretary and two staff are gathered at a manor house on an isolated island by an unknown absentee host and are killed off one-by-one. They work together to determine who the killer is before it's too late.",https://www.imdb.com/title/tt0037515/?ref_=sr_i_10,"['Agatha Christie', 'Dudley Nichols']",['René Clair'],"['Barry Fitzgerald', 'Walter Huston', 'Louis Hayward', 'Roland Young', 'June Duprez', 'Mischa Auer', 'C. Aubrey Smith', 'Judith Anderson', 'Richard Haydn', 'Queenie Leonard']",,,,,"October 31, 1945",['United States'],"['Santa Catalina Island, Channel Islands, California, USA']",['Rene Clair Productions'],"Awards, 1 win total","['Dark Comedy', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English']
