Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,7.6,874K,68.0,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.",https://www.imdb.com/title/tt0121766/?ref_=sr_i_1,['George Lucas'],['George Lucas'],"['Hayden Christensen', 'Natalie Portman', 'Ewan McGregor', 'Samuel L. Jackson', 'Ian McDiarmid', 'Jimmy Smits', 'Frank Oz', 'Anthony Daniels', 'Christopher Lee', 'Keisha Castle-Hughes']","$113,000,000 (estimated)","$108,435,841","$850,035,635","$380,270,577","May 19, 2005","['United States', 'Italy', 'Switzerland', 'Thailand', 'United Kingdom']","['Mount Etna, Catania, Sicily, Italy (Mustafar; second unit)']","['Lucasfilm', 'Mestiere Cinema', 'Pandora Films']","Nominated for 1 Oscar, 29 wins & 64 nominations total","['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Tragedy', 'Action', 'Adventure']",['English']
"2. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2h 23m,PG,6.9,442K,75.0,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.",https://www.imdb.com/title/tt0363771/?ref_=sr_i_2,"['Ann Peacock', 'Andrew Adamson', 'Christopher Markus']",['Andrew Adamson'],"['Tilda Swinton', 'Georgie Henley', 'William Moseley', 'Skandar Keynes', 'Anna Popplewell', 'James McAvoy', 'Jim Broadbent', 'Kiran Shah', 'James Cosmo', 'Judy McIntosh']","$180,000,000 (estimated)","$65,556,312","$745,013,115","$291,710,957","December 9, 2005","['United Kingdom', 'United States']","['Adrspach National Park, Trutnov, Czech Republic (winter forest scenes)']","['Walt Disney Pictures', 'Walden Media']","Won 1 Oscar, 18 wins & 46 nominations total","['Fantasy Epic', 'Supernatural Fantasy', 'Sword & Sorcery', 'Teen Adventure', 'Adventure', 'Family', 'Fantasy']","['English', 'German', 'Brazilian Sign Language']"
3. Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,7.7,713K,81.0,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",https://www.imdb.com/title/tt0330373/?ref_=sr_i_3,"['Steve Kloves', 'J.K. Rowling']",['Mike Newell'],"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes', 'Timothy Spall', 'David Tennant', 'Mark Williams', 'James Phelps', 'Oliver Phelps', 'Bonnie Wright']","$150,000,000 (estimated)","$102,685,961","$897,468,207","$290,469,928","November 18, 2005","['United Kingdom', 'United States']","['Glenfinnan Viaduct, Fort William, Highland, Scotland, UK (Hogwarts Express)']","['Warner Bros.', 'Heyday Films', 'Patalex Productions']","Nominated for 1 Oscar, 13 wins & 48 nominations total","['Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['English', 'French', 'Latin']"
4. War of the Worlds,2005,1h 57m,PG-13,6.5,488K,73.0,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,https://www.imdb.com/title/tt0407304/?ref_=sr_i_4,"['Josh Friedman', 'David Koepp', 'H.G. Wells']",['Steven Spielberg'],"['Tom Cruise', 'Dakota Fanning', 'Tim Robbins', 'Miranda Otto', 'Justin Chatwin', 'Rick Gonzalez', 'Yul Vazquez', 'Lenny Venito', 'Lisa Ann Walter', 'Ann Robinson']","$132,000,000 (estimated)","$64,878,725","$603,873,504","$234,280,354","June 29, 2005",['United States'],"[""JF Kennedy Blvd., Bayonne, New Jersey, USA (Ray's house - soundstage)""]","['Paramount Pictures', 'Dreamworks Pictures', 'Amblin Entertainment']","Nominated for 3 Oscars, 16 wins & 49 nominations total","['Action Epic', 'Adventure Epic', 'Alien Invasion', 'Disaster', 'Sci-Fi Epic', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['English']
5. King Kong,2005,3h 7m,PG-13,7.2,458K,81.0,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",https://www.imdb.com/title/tt0360717/?ref_=sr_i_5,"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",['Peter Jackson'],"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks', 'Andy Serkis', 'Evan Parke', 'Jamie Bell', 'Lobo Chan', 'John Sumner']","$207,000,000 (estimated)","$50,130,145","$556,906,378","$218,080,025","December 14, 2005","['United States', 'New Zealand', 'Germany']","['Shelly Bay, Wellington, New Zealand (Skull Island)']","['Universal Pictures', 'WingNut Films', 'Big Primate Pictures']","Won 3 Oscars, 46 wins & 104 nominations total","['Adventure Epic', 'Dark Romance', 'Dinosaur Adventure', 'Globetrotting Adventure', 'Jungle Adventure', 'Period Drama', 'Tragedy', 'Urban Adventure', 'Action', 'Adventure']",['English']
6. Wedding Crashers,2005,1h 59m,R,7.0,386K,64.0,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",https://www.imdb.com/title/tt0396269/?ref_=sr_i_6,"['Steve Faber', 'Bob Fisher']",['David Dobkin'],"['Owen Wilson', 'Vince Vaughn', 'Rachel McAdams', 'Christopher Walken', 'Isla Fisher', 'Jane Seymour', 'Ellen Albertini Dow', ""Keir O'Donnell"", 'Bradley Cooper', 'Ron Canada']","$40,000,000 (estimated)","$32,200,000","$288,485,135","$209,273,411","July 15, 2005",['United States'],"['Assateague Island National Seashore, Maryland, USA (beach scene)']","['New Line Cinema', 'Tapestry Films', 'Avery Pix']","Awards, 11 wins & 11 nominations total","['Farce', 'Raunchy Comedy', 'Romantic Comedy', 'Comedy', 'Romance']",['English']
7. Batman Begins,2005,2h 20m,PG-13,8.2,1.6M,70.0,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",https://www.imdb.com/title/tt0372784/?ref_=sr_i_7,"['Bob Kane', 'David S. Goyer', 'Christopher Nolan']",['Christopher Nolan'],"['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Linus Roache']","$150,000,000 (estimated)","$48,745,440","$375,406,308","$206,863,479","June 15, 2005","['United States', 'United Kingdom']","['Skaftafell, Iceland']","['Warner Bros.', 'Syncopy', 'DC Comics']","Nominated for 1 Oscar, 15 wins & 79 nominations total","['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Drama']","['English', 'Mandarin']"
8. Charlie and the Chocolate Factory,2005,1h 55m,PG,6.7,548K,72.0,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",https://www.imdb.com/title/tt0367594/?ref_=sr_i_8,"['Roald Dahl', 'John August']",['Tim Burton'],"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor', 'Missi Pyle', 'James Fox', 'Deep Roy', 'Christopher Lee', 'Adam Godley']","$150,000,000 (estimated)","$56,178,450","$474,968,763","$206,459,076","July 15, 2005","['United Kingdom', 'United States']","['York, North Yorkshire, England, UK (on location)']","['Warner Bros.', 'Village Roadshow Pictures', 'The Zanuck Company']","Nominated for 1 Oscar, 15 wins & 52 nominations total","['Dark Comedy', 'Supernatural Fantasy', 'Teen Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",['English']
9. Madagascar,2005,1h 26m,PG,6.9,456K,57.0,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",https://www.imdb.com/title/tt0351283/?ref_=sr_i_9,"['Mark Burton', 'Billy Frolick', 'Eric Darnell']","['Eric Darnell', 'Tom McGrath']","['Chris Rock', 'Ben Stiller', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric The Entertainer', 'Andy Richter', 'Tom McGrath', 'Christopher Knights', 'Chris Miller']","$75,000,000 (estimated)","$47,224,594","$542,064,525","$193,595,521","June 24, 2005","['United States', 'Canada', 'United Kingdom']","['Glendale, California, USA (principal animation)']","['DreamWorks Animation', 'Pacific Data Images (PDI)']","Awards, 4 wins & 32 nominations total","['Animal Adventure', 'Computer Animation', 'Jungle Adventure', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']","['English', 'Portuguese', 'Spanish', 'German', 'French', 'American Sign Language']"
10. Mr. & Mrs. Smith,2005,2h,PG-13,6.5,564K,55.0,"A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other.",https://www.imdb.com/title/tt0356910/?ref_=sr_i_10,['Simon Kinberg'],['Doug Liman'],"['Brad Pitt', 'Angelina Jolie', 'Adam Brody', 'Vince Vaughn', 'Kerry Washington', 'Keith David', 'Chris Weitz', 'Rachael Huntley', 'Michelle Monaghan', 'Stephanie March']","$110,000,000 (estimated)","$50,342,878","$487,287,646","$186,336,279","June 10, 2005",['United States'],"['1565 San Pasqual Street, Pasadena, California, USA (exteriors: Smith residence)']","['New Regency Productions', 'Summit Entertainment', 'Weed Road Pictures']","Awards, 9 wins & 18 nominations total","['High-Concept Comedy', 'Action', 'Comedy', 'Crime', 'Thriller']","['English', 'Spanish', 'French']"
