Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Dark Knight,2008,2h 32m,PG-13,9.0,3M,84.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/?ref_=sr_i_1,"['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']",['Christopher Nolan'],"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman', 'Morgan Freeman', 'Monique Gabriela Curnen', 'Ron Dean', 'Cillian Murphy']","$185,000,000 (estimated)","$158,411,483","$1,009,057,329","$534,987,076","July 18, 2008","['United States', 'United Kingdom']","['Chicago, Illinois, USA']","['Warner Bros.', 'Legendary Entertainment', 'Syncopy']","Won 2 Oscars, 164 wins & 165 nominations total","['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']","['English', 'Mandarin']"
2. Iron Man,2008,2h 6m,PG-13,7.9,1.2M,79.0,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",https://www.imdb.com/title/tt0371746/?ref_=sr_i_2,"['Mark Fergus', 'Hawk Ostby', 'Art Marcum']",['Jon Favreau'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges', 'Leslie Bibb', 'Shaun Toub', 'Faran Tahir', 'Clark Gregg', 'Bill Smitrovich', 'Sayed Badreya']","$140,000,000 (estimated)","$98,618,668","$585,796,247","$319,034,126","May 2, 2008","['United States', 'Canada']","['Alabama Hills, Lone Pine, California, USA (Afghanistan)']","['Paramount Pictures', 'Marvel Entertainment', 'Marvel Studios']","Nominated for 2 Oscars, 24 wins & 73 nominations total","['Sci-Fi Epic', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']","['English', 'Persian', 'Urdu', 'Arabic', 'Kurdish', 'Hindi', 'Hungarian']"
3. Indiana Jones and the Kingdom of the Crystal Skull,2008,2h 2m,PG-13,6.2,502K,65.0,"Set in 1957, it pits Indiana Jones against Soviet KGB agents led by Irina Spalko searching for a telepathic crystal skull located in Peru.",https://www.imdb.com/title/tt0367882/?ref_=sr_i_3,"['David Koepp', 'George Lucas', 'Jeff Nathanson']",['Steven Spielberg'],"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Karen Allen', 'Ray Winstone', 'John Hurt', 'Jim Broadbent', 'Igor Zhizhikin', 'Dimitri Diatchenko', 'Ilia Volok']","$185,000,000 (estimated)","$100,137,835","$786,636,033","$317,101,119","May 22, 2008",['United States'],"['Iguazú Waterfalls, Misiones, Argentina']","['Paramount Pictures', 'Lucasfilm', 'The Kennedy/Marshall Company']","Nominated for 1 BAFTA Award, 10 wins & 42 nominations total","['Adventure Epic', 'Globetrotting Adventure', 'Action', 'Adventure']","['English', 'German', 'Russian']"
4. Hancock,2008,1h 32m,R,6.4,526K,49.0,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,https://www.imdb.com/title/tt0448157/?ref_=sr_i_4,"['Vy Vincent Ngo', 'Vince Gilligan']",['Peter Berg'],"['Will Smith', 'Charlize Theron', 'Jason Bateman', 'Jae Head', 'Eddie Marsan', 'David Mattey', 'Maetrix Fitten', 'Thomas Lennon', 'Johnny Galecki', 'Hayley Marie Norman']","$150,000,000 (estimated)","$62,603,879","$629,443,428","$227,946,274","July 2, 2008",['United States'],"['City Bank Plaza - 505 S Flower St, Los Angeles, California, USA (Bank Robbery Scene)']","['Columbia Pictures', 'Relativity Media', 'Blue Light']","Awards, 4 wins & 14 nominations total","['Superhero', 'Action', 'Comedy', 'Drama', 'Fantasy']","['English', 'Japanese', 'Vietnamese']"
5. WALL·E,2008,1h 38m,G,8.4,1.3M,95.0,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://www.imdb.com/title/tt0910970/?ref_=sr_i_5,"['Andrew Stanton', 'Pete Docter', 'Jim Reardon']",['Andrew Stanton'],"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'MacInTalk', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver', 'Karleen Griffin', 'Kim Kopf']","$180,000,000 (estimated)","$63,087,526","$527,403,656","$223,808,164","June 27, 2008","['United States', 'Japan']","['Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']","Won 1 Oscar, 96 wins & 95 nominations total","['Adventure Epic', 'Artificial Intelligence', 'Computer Animation', 'Dystopian Sci-Fi', 'Space Sci-Fi', 'Adventure', 'Animation', 'Family', 'Sci-Fi']",['English']
6. Kung Fu Panda,2008,1h 32m,PG,7.6,547K,74.0,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",https://www.imdb.com/title/tt0441773/?ref_=sr_i_6,"['Jonathan Aibel', 'Glenn Berger', 'Ethan Reiff']","['Mark Osborne', 'John Stevenson']","['Jack Black', 'Ian McShane', 'Angelina Jolie', 'Dustin Hoffman', 'Jackie Chan', 'Seth Rogen', 'Lucy Liu', 'David Cross', 'Randall Duk Kim', 'James Hong']","$130,000,000 (estimated)","$60,239,130","$632,384,787","$216,064,546","June 6, 2008",['United States'],"['Glendale, California, USA']","['DreamWorks Animation', 'Dragon Warrior Media']","Nominated for 1 Oscar, 15 wins & 39 nominations total","['Animal Adventure', 'Computer Animation', 'Kung Fu', 'Martial Arts', 'Wuxia', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",['English']
7. Twilight,2008,2h 2m,PG-13,5.3,504K,56.0,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",https://www.imdb.com/title/tt1099212/?ref_=sr_i_7,"['Melissa Rosenberg', 'Stephenie Meyer']",['Catherine Hardwicke'],"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Sarah Clarke', 'Matthew Bushell', 'Gil Birmingham', 'Taylor Lautner', 'Gregory Tyree Boyce', 'Justin Chon', 'Michael Welch']","$37,000,000 (estimated)","$69,637,740","$408,513,574","$193,962,473","November 21, 2008","['United States', 'United Kingdom']","['218 Rim Drive, Washougal, Columbia River Gorge, Washington, USA (Edward and Bella tree scene)']","['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films']","Awards, 34 wins & 16 nominations total","['Dark Fantasy', 'Teen Drama', 'Teen Fantasy', 'Teen Romance', 'Drama', 'Fantasy', 'Romance']",['English']
8. Madagascar: Escape 2 Africa,2008,1h 29m,PG,6.6,258K,61.0,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve in Kenya, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",https://www.imdb.com/title/tt0479952/?ref_=sr_i_8,"['Etan Cohen', 'Eric Darnell', 'Tom McGrath']","['Eric Darnell', 'Tom McGrath']","['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric The Entertainer', 'Andy Richter', 'Bernie Mac', 'Alec Baldwin', 'Sherri Shepherd']","$150,000,000 (estimated)","$63,106,589","$603,900,354","$180,010,950","November 7, 2008","['United States', 'United Kingdom']","['Glendale, California, USA (principal animation)']","['DreamWorks Animation', 'Pacific Data Images (PDI)']","Awards, 4 wins & 11 nominations total","['Animal Adventure', 'Computer Animation', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']",['English']
9. Quantum of Solace,2008,1h 46m,PG-13,6.5,482K,58.0,James Bond tries to stop an organisation from eliminating a country's most valuable resource.,https://www.imdb.com/title/tt0830515/?ref_=sr_i_9,"['Paul Haggis', 'Neal Purvis', 'Robert Wade']",['Marc Forster'],"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench', 'Giancarlo Giannini', 'Gemma Arterton', 'Jeffrey Wright', 'David Harbour', 'Jesper Christensen', 'Anatole Taubman']","$200,000,000 (estimated)","$67,528,882","$589,593,688","$168,368,427","November 14, 2008","['United Kingdom', 'United States', 'Italy']","['Strada Regionale 249, Navene, Lake Garda, Italy (Opening car chase)']","['Metro-Goldwyn-Mayer (MGM)', 'Columbia Pictures', 'Eon Productions']","Nominated for 2 BAFTA Awards, 4 wins & 32 nominations total","['Spy', 'Action', 'Adventure', 'Mystery', 'Thriller']","['English', 'Spanish', 'Italian', 'French', 'Swiss German', 'German']"
10. Horton Hears a Who!,2008,1h 26m,G,6.8,154K,71.0,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,https://www.imdb.com/title/tt0451079/?ref_=sr_i_10,"['Cinco Paul', 'Ken Daurio', 'Dr. Seuss']","['Jimmy Hayward', 'Steve Martino']","['Jim Carrey', 'Steve Carell', 'Carol Burnett', 'Will Arnett', 'Seth Rogen', 'Dan Fogler', 'Isla Fisher', 'Jonah Hill', 'Amy Poehler', 'Jaime Pressly']","$85,000,000 (estimated)","$45,012,998","$298,572,799","$154,529,439","March 14, 2008","['United States', 'United Kingdom']","['Greenwich, Connecticut, USA (principal animation)']","['Twentieth Century Fox Animation', 'Blue Sky Studios', 'Dr. Seuss Enterprises']","Awards, 1 win & 18 nominations total","['Computer Animation', 'Jungle Adventure', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music']",['English']
