Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. American Sniper,2014,2h 13m,R,7.3,548K,73.0,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",https://www.imdb.com/title/tt2179136/?ref_=sr_i_1,"['Jason Hall', 'Chris Kyle', 'Scott McEwen']",['Clint Eastwood'],"['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner', 'Cole Konis', 'Ben Reed', 'Elise Robertson', 'Luke Sunshine', 'Troy Vincent', 'Brandon Salgado Telis', ""Keir O'Donnell""]","$58,800,000 (estimated)","$633,456","$547,659,020","$350,159,020","January 16, 2015",['United States'],"['Northridge, Los Angeles, California, USA']","['Warner Bros.', 'Village Roadshow Pictures', 'RatPac-Dune Entertainment']","Won 1 Oscar, 24 wins & 43 nominations total","['Docudrama', 'Action', 'Biography', 'Drama', 'War']","['English', 'Arabic']"
2. The Hunger Games: Mockingjay - Part 1,2014,2h 3m,PG-13,6.6,521K,64.0,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",https://www.imdb.com/title/tt1951265/?ref_=sr_i_2,"['Peter Craig', 'Danny Strong', 'Suzanne Collins']",['Francis Lawrence'],"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Donald Sutherland', 'Philip Seymour Hoffman', 'Julianne Moore', 'Willow Shields', 'Sam Claflin', 'Elizabeth Banks']","$125,000,000 (estimated)","$121,897,634","$759,159,711","$337,135,885","November 21, 2014","['United States', 'Canada', 'France']","['Thomaston, Georgia, USA (District 12)']","['Lionsgate', 'Color Force', 'French Tax Credit']","Awards, 21 wins & 32 nominations total","['Dystopian Sci-Fi', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",['English']
3. Guardians of the Galaxy,2014,2h 1m,PG-13,8.0,1.3M,76.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,https://www.imdb.com/title/tt2015381/?ref_=sr_i_3,"['James Gunn', 'Nicole Perlman', 'Dan Abnett']",['James Gunn'],"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldaña', 'Dave Bautista', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly']","$170,000,000 (estimated)","$94,320,883","$773,350,376","$333,718,600","August 1, 2014","['United States', 'United Kingdom']","['Longcross Studios, Chobham Lane, Longcross, Chertsey, Surrey, England, UK (Studio)']","['Marvel Studios', 'Longcross Studios', 'Moving Pictures Company']","Nominated for 2 Oscars, 52 wins & 103 nominations total","['Quest', 'Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']",['English']
4. Captain America: The Winter Soldier,2014,2h 16m,PG-13,7.7,929K,70.0,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",https://www.imdb.com/title/tt1843866/?ref_=sr_i_4,"['Christopher Markus', 'Stephen McFeely', 'Joe Simon']","['Anthony Russo', 'Joe Russo']","['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Maximiliano Hernández', 'Emily VanCamp']","$170,000,000 (estimated)","$95,023,721","$714,421,503","$259,766,572","April 4, 2014",['United States'],"['West 3rd and Lakeside Avenue, Cleveland, Ohio, USA (Fight scene on street with Captain America and Winter Soldier)']",['Marvel Studios'],"Nominated for 1 Oscar, 5 wins & 52 nominations total","['Conspiracy Thriller', 'Political Thriller', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['English', 'French']"
5. The Lego Movie,2014,1h 40m,PG,7.7,400K,83.0,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",https://www.imdb.com/title/tt1490017/?ref_=sr_i_5,"['Phil Lord', 'Christopher Miller', 'Dan Hageman']","['Phil Lord', 'Christopher Miller']","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett', 'Craig Berry', 'Alison Brie', 'David Burrows', 'Anthony Daniels', 'Charlie Day', 'Amanda Farinos']","$60,000,000 (estimated)","$69,050,279","$470,759,687","$257,966,122","February 7, 2014","['United States', 'Denmark', 'Australia', 'Norway']","['Disney Studios, Moore Park, Sydney, New South Wales, Australia']","['Warner Bros.', 'Village Roadshow Pictures', 'RatPac-Dune Entertainment']","Nominated for 1 Oscar, 72 wins & 67 nominations total","['Computer Animation', 'Dystopian Sci-Fi', 'Globetrotting Adventure', 'Quest', 'Quirky Comedy', 'Satire', 'Slapstick', 'Stop Motion Animation', 'Action', 'Adventure']","['English', 'Turkish']"
6. The Hobbit: The Battle of the Five Armies,2014,2h 24m,R,7.4,594K,59.0,Bilbo Baggins and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,https://www.imdb.com/title/tt2310332/?ref_=sr_i_6,"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",['Peter Jackson'],"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Cate Blanchett', 'Ken Stott', 'Graham McTavish', 'William Kircher', 'James Nesbitt', 'Stephen Hunter', ""Dean O'Gorman""]","$250,000,000 (estimated)","$54,724,334","$962,253,946","$255,138,261","December 17, 2014","['New Zealand', 'United States']","['Hobbiton - 501 Buckland Road, Matamata, New Zealand']","['New Line Cinema', 'Metro-Goldwyn-Mayer (MGM)', 'WingNut Films']","Nominated for 1 Oscar, 8 wins & 56 nominations total","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Adventure', 'Fantasy']",['English']
7. Transformers: Age of Extinction,2014,2h 45m,PG-13,5.6,340K,32.0,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",https://www.imdb.com/title/tt2109248/?ref_=sr_i_7,['Ehren Kruger'],['Michael Bay'],"['Mark Wahlberg', 'Nicola Peltz Beckham', 'Jack Reynor', 'Stanley Tucci', 'Kelsey Grammer', 'Titus Welliver', 'Sophia Myles', 'Bingbing Li', 'T.J. Miller', 'James Bachman']","$210,000,000 (estimated)","$100,038,390","$1,105,261,713","$245,439,076","June 27, 2014","['United States', 'China', 'Hong Kong']","['Detroit, Michigan, USA']","['Paramount Pictures', 'Hasbro', 'Di Bonaventura Pictures']","Awards, 5 wins & 23 nominations total","['Action', 'Adventure', 'Sci-Fi']","['English', 'Chinese']"
8. Maleficent,2014,1h 37m,PG,6.9,412K,56.0,"A vengeful fairy is driven to curse an infant princess, only to discover that the child could be the one person who can restore peace to their troubled land.",https://www.imdb.com/title/tt1587310/?ref_=sr_i_8,"['Linda Woolverton', 'Charles Perrault', 'Milt Banta']",['Robert Stromberg'],"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Lesley Manville', 'Imelda Staunton', 'Juno Temple', 'Sam Riley', 'Brenton Thwaites', 'Kenneth Cranham', 'Sarah Flind']","$180,000,000 (estimated)","$69,431,298","$759,853,685","$241,410,378","May 30, 2014","['United States', 'Canada', 'United Kingdom']","['Ashridge Estate, Moneybury Hill, Ringshall, Berkhamsted, Hertfordshire, England, UK (enchanted forest)']","['Walt Disney Pictures', 'Roth Films', 'Jolie Pas']","Nominated for 1 Oscar, 12 wins & 44 nominations total","['Dark Fantasy', 'Fairy Tale', 'Sword & Sorcery', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']",['English']
9. X-Men: Days of Future Past,2014,2h 12m,PG-13,7.9,767K,75.0,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,https://www.imdb.com/title/tt1877832/?ref_=sr_i_9,"['Simon Kinberg', 'Jane Goldman', 'Matthew Vaughn']",['Bryan Singer'],"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Halle Berry', 'Nicholas Hoult', 'Anna Paquin', 'Elliot Page']","$200,000,000 (estimated)","$90,823,660","$746,045,700","$233,921,534","May 23, 2014","['United Kingdom', 'United States', 'Canada']","['Vaudreuil-Dorion, Québec, Canada']","['Twentieth Century Fox', 'Marvel Entertainment', 'TSG Entertainment']","Nominated for 1 Oscar, 16 wins & 48 nominations total","['Superhero', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['English', 'Vietnamese', 'French']"
10. Big Hero 6,2014,1h 42m,PG,7.8,525K,74.0,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",https://www.imdb.com/title/tt2245084/?ref_=sr_i_10,"['Jordan Roberts', 'Robert L. Baird', 'Daniel Gerson']","['Don Hall', 'Chris Williams']","['Ryan Potter', 'Scott Adsit', 'Jamie Chung', 'T.J. Miller', 'Daniel Henney', 'Damon Wayans Jr.', 'Genesis Rodriguez', 'James Cromwell', 'Alan Tudyk', 'Maya Rudolph']","$165,000,000 (estimated)","$56,215,889","$657,870,525","$222,527,828","November 7, 2014",['United States'],"['Walt Disney Animation Studios - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Walt Disney Animation Studios']","Won 1 Oscar, 17 wins & 58 nominations total","['Artificial Intelligence', 'Computer Animation', 'Quest', 'Superhero', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",['English']
