Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Sergeant York,1941,2h 14m,Approved,7.7,20K,,"A Tennessee farmer and marksman is drafted in World War I, and struggles with his pacifist inclinations before becoming one of the most celebrated war heroes.",https://www.imdb.com/title/tt0034167/?ref_=sr_i_1,"['Abem Finkel', 'Harry Chandlee', 'Howard Koch']",['Howard Hawks'],"['Gary Cooper', 'Walter Brennan', 'Joan Leslie', 'George Tobias', 'Stanley Ridges', 'Margaret Wycherly', 'Ward Bond', 'Noah Beery Jr.', 'June Lockhart', 'Dickie Moore']","$1,400,000 (estimated)",,"$16,364,924","$16,361,885","September 27, 1941",['United States'],"['Tennessee, USA']",['Warner Bros.'],"Won 2 Oscars, 8 wins & 10 nominations total","['Biography', 'Drama', 'History', 'Romance', 'War']","['English', 'French', 'German']"
2. Citizen Kane,1941,1h 59m,PG,8.3,479K,100.0,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",https://www.imdb.com/title/tt0033467/?ref_=sr_i_2,"['Herman J. Mankiewicz', 'Orson Welles', 'John Houseman']",['Orson Welles'],"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead', 'Ruth Warrick', 'Ray Collins', 'Erskine Sanford', 'Everett Sloane', 'William Alland', 'Paul Stewart']","$839,727 (estimated)",,"$1,707,754","$1,627,530","September 5, 1941",['United States'],"['Busch Gardens - S. Grove Avenue, Pasadena, California, USA (Xanadu Grounds, demolished)']","['RKO Radio Pictures', 'Mercury Productions']","Won 1 Oscar, 16 wins & 13 nominations total","['Epic', 'Period Drama', 'Tragedy', 'Drama', 'Mystery']","['English', 'Italian']"
3. Darshan,1941,,,7.4,12,,,https://www.imdb.com/title/tt0033516/?ref_=sr_i_3,['G. Mohanial Dave'],['Chimanlal Luhar'],"['Prem Adib', 'Jyoti', 'Bhudo Advani', 'Shaker', 'Mira', 'M. Nazir', 'Amirbai Karnataki', 'Baby Kaushalya', 'Madhusudan', 'C. Pande']",,"$3,360","$240,819","$66,032",1941,['India'],,['Prakash Pictures'],,[],['Hindi']
4. The Maltese Falcon,1941,1h 40m,Approved,7.9,170K,97.0,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",https://www.imdb.com/title/tt0033870/?ref_=sr_i_4,"['John Huston', 'Dashiell Hammett']",['John Huston'],"['Humphrey Bogart', 'Mary Astor', 'Gladys George', 'Peter Lorre', 'Barton MacLane', 'Lee Patrick', 'Sydney Greenstreet', 'Ward Bond', 'Jerome Cowan', 'Elisha Cook Jr.']","$375,000 (estimated)",,"$40,055","$18,180","October 18, 1941",['United States'],"['Bush Street, San Francisco, California, USA (death of Miles Archer)']",['Warner Bros.'],"Nominated for 3 Oscars, 8 wins & 4 nominations total","['Film Noir', 'Hard-boiled Detective', 'Crime', 'Drama', 'Mystery', 'Romance']",['English']
5. Suspicion,1941,1h 39m,Approved,7.3,44K,83.0,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",https://www.imdb.com/title/tt0034248/?ref_=sr_i_5,"['Samson Raphaelson', 'Joan Harrison', 'Alma Reville']",['Alfred Hitchcock'],"['Cary Grant', 'Joan Fontaine', 'Cedric Hardwicke', 'Nigel Bruce', 'May Whitty', 'Isabel Jeans', 'Heather Angel', 'Auriol Lee', 'Reginald Sheffield', 'Leo G. Carroll']","$1,103,000 (estimated)",,$19,,"November 14, 1941",['United States'],"['Big Sur, California, USA (""Tangmere-by-the-sea"" coast sea-cliff scenes)']",['RKO Radio Pictures'],"Won 1 Oscar, 7 wins & 2 nominations total","['Film Noir', 'Drama', 'Mystery', 'Thriller']",['English']
6. The Lady Eve,1941,1h 34m,Approved,7.7,24K,96.0,"A trio of classy card sharks targets a socially awkward brewery heir, until one of them falls in love with him.",https://www.imdb.com/title/tt0033804/?ref_=sr_i_6,"['Monckton Hoffe', 'Preston Sturges']",['Preston Sturges'],"['Barbara Stanwyck', 'Henry Fonda', 'Charles Coburn', 'Eugene Pallette', 'William Demarest', 'Eric Blore', 'Melville Cooper', ""Martha O'Driscoll"", 'Janet Beecher', 'Robert Greig']",,,"$14,110",,"March 21, 1941",['United States'],"['Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue, Arcadia, California, USA']",['Paramount Pictures'],"Nominated for 1 Oscar, 5 wins & 1 nomination total","['Screwball Comedy', 'Slapstick', 'Comedy', 'Romance']",['English']
7. The Gay Falcon,1941,1h 7m,Approved,6.5,1.3K,,The Falcon investigates jewel thieves who are working with hard up socialites to defraud insurance companies. First of the Falcon series.,https://www.imdb.com/title/tt0033650/?ref_=sr_i_7,"['Lynn Root', 'Frank Fenton', 'Michael Arlen']",['Irving Reis'],"['George Sanders', 'Wendy Barrie', 'Allen Jenkins', 'Ann Hunter', 'Gladys Cooper', 'Edward Brophy', 'Arthur Shields', ""Damian O'Flynn"", 'Turhan Bey', 'Eddie Dunn']",,,,,"October 24, 1941",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],,"['Film Noir', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Romance']",['English']
8. Dumbo,1941,1h 4m,G,7.2,146K,96.0,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",https://www.imdb.com/title/tt0033563/?ref_=sr_i_8,"['Joe Grant', 'Dick Huemer', 'Otto Englander']","['Samuel Armstrong', 'Norman Ferguson', 'Wilfred Jackson']","['Sterling Holloway', 'Edward Brophy', 'James Baskett', 'Herman Bing', 'Billy Bletcher', 'Jim Carmichael', 'Hall Johnson Choir', 'Cliff Edwards', 'Verna Felton', 'Stan Freberg']","$950,000 (estimated)",,"$3,890",,"October 31, 1941",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA (Studio)']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Won 1 Oscar, 6 wins & 1 nomination total","['Animal Adventure', 'Hand-Drawn Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']",['English']
9. How Green Was My Valley,1941,1h 58m,Approved,7.7,28K,88.0,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",https://www.imdb.com/title/tt0033729/?ref_=sr_i_9,"['Philip Dunne', 'Richard Llewellyn', 'Jacques Monteux']",['John Ford'],"['Walter Pidgeon', ""Maureen O'Hara"", 'Anna Lee', 'Donald Crisp', 'Roddy McDowall', 'John Loder', 'Sara Allgood', 'Barry Fitzgerald', 'Patric Knowles', 'Welsh Singers']","$1,250,000 (estimated)",,$865,,"January 29, 1942",['United States'],"['Santa Monica Mountains, Los Angeles, California, USA']",['Twentieth Century Fox'],"Won 5 Oscars, 19 wins & 6 nominations total","['Drama', 'Family']","['English', 'Welsh']"
10. Ball of Fire,1941,1h 51m,Approved,7.7,15K,78.0,A group of professors working on a new encyclopedia while living in a Manhattan mansion take in a mouthy nightclub singer who is wanted by the police to help bring down her mob boss lover.,https://www.imdb.com/title/tt0033373/?ref_=sr_i_10,"['Charles Brackett', 'Billy Wilder', 'Thomas Monroe']",['Howard Hawks'],"['Gary Cooper', 'Barbara Stanwyck', 'Oscar Homolka', 'Henry Travers', 'S.Z. Sakall', 'Tully Marshall', 'Leonid Kinskey', 'Richard Haydn', 'Aubrey Mather', 'Allen Jenkins']",,,,,"January 9, 1942",['United States'],"['Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA (Studio)']",['Samuel Goldwyn Productions'],"Nominated for 4 Oscars, 4 wins & 4 nominations total","['Farce', 'Screwball Comedy', 'Comedy', 'Romance']",['English']
