Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Ben-Hur,1959,3h 32m,G,8.1,262K,90.0,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",https://www.imdb.com/title/tt0052618/?ref_=sr_i_1,"['Lew Wallace', 'Karl Tunberg', 'Gore Vidal']",['William Wyler'],"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet', 'Hugh Griffith', 'Martha Scott', ""Cathy O'Donnell"", 'Sam Jaffe', 'Finlay Currie', 'Frank Thring']","$15,000,000 (estimated)","$241,792","$74,439,376","$74,432,704","November 18, 1959",['United States'],"['Corner of Via di Salone and Via delle Case Rosse, Salone Caves, Rome, Lazio, Italy (Valley of the Lepers)']",['Metro-Goldwyn-Mayer (MGM)'],"Won 11 Oscars, 29 wins & 13 nominations total","['Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Adventure', 'Drama']",['English']
2. Sleeping Beauty,1959,1h 15m,G,7.2,166K,85.0,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",https://www.imdb.com/title/tt0053285/?ref_=sr_i_2,"['Erdman Penner', 'Charles Perrault', 'Joe Rinaldi']","['Les Clark', 'Clyde Geronimi', 'Eric Larson']","['Mary Costa', 'Bill Shirley', 'Eleanor Audley', 'Verna Felton', 'Barbara Luddy', 'Barbara Jo Allen', 'Taylor Holmes', 'Bill Thompson', 'Bob Amsberry', 'Billy Bletcher']","$6,000,000 (estimated)",,"$51,600,485","$51,600,000","January 29, 1959",['United States'],"['Loire Valley, Loire, France']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Nominated for 1 Oscar, 3 wins & 5 nominations total","['Fairy Tale', 'Hand-Drawn Animation', 'Sword & Sorcery', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",['English']
3. The World of Apu,1959,1h 45m,Not Rated,8.4,18K,,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,https://www.imdb.com/title/tt0052572/?ref_=sr_i_3,"['Bibhutibhushan Bandyopadhyay', 'Satyajit Ray']",['Satyajit Ray'],"['Soumitra Chatterjee', 'Sharmila Tagore', 'Alok Chakravarty', 'Swapan Mukherjee', 'Tushar Bandyopadhyay', 'Gupi Banerjee', 'Panchanan Bhattacharya', 'Shanti Bhattacherjee', 'Jiten Bhons', 'Abhijit Chatterjee']",,"$16,064","$134,241","$134,241","October 4, 1960",['India'],['India'],['Satyajit Ray Productions'],"Nominated for 1 BAFTA Award, 4 wins & 2 nominations total","['Tragedy', 'Drama']",['Bengali']
4. Hiroshima Mon Amour,1959,1h 30m,Not Rated,7.8,38K,,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,https://www.imdb.com/title/tt0052893/?ref_=sr_i_4,['Marguerite Duras'],['Alain Resnais'],"['Emmanuelle Riva', 'Eiji Okada', 'Stella Dassas', 'Pierre Barbaud', 'Bernard Fresson', 'Moira Lister']",,"$18,494","$139,947","$96,439","May 16, 1960","['France', 'Japan']","['Nevers, Nièvre, France (street scenes, river banks)']","['Argos Films', 'Como Films', 'Daiei Studios']","Nominated for 1 Oscar, 7 wins & 7 nominations total","['Psychological Drama', 'Tragic Romance', 'Drama', 'Romance']","['French', 'Japanese', 'English']"
5. North by Northwest,1959,2h 16m,Approved,8.3,359K,98.0,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",https://www.imdb.com/title/tt0053125/?ref_=sr_i_5,['Ernest Lehman'],['Alfred Hitchcock'],"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Leo G. Carroll', 'Josephine Hutchinson', 'Philip Ober', 'Martin Landau', 'Adam Williams', 'Edward Platt']","$3,101,000 (estimated)",,"$192,323","$66,728","December 18, 1959",['United States'],"['Southern Pacific Railroad Tunnel between Santa Susana & Chatsworth, California, USA (closing train shot)']",['Metro-Goldwyn-Mayer (MGM)'],"Nominated for 3 Oscars, 9 wins & 7 nominations total","['Spy', 'Adventure', 'Drama', 'Mystery', 'Thriller']","['English', 'French']"
6. The Law,1959,1h 54m,Not Rated,6.7,913,,"Illicit passions pervade an Italian town, where men gather nightly for the cynical ""game of the law.""",https://www.imdb.com/title/tt0051852/?ref_=sr_i_6,"['Roger Vailland', 'Jules Dassin', 'Françoise Giroud']",['Jules Dassin'],"['Gina Lollobrigida', 'Pierre Brasseur', 'Marcello Mastroianni', 'Melina Mercouri', 'Yves Montand', 'Raf Mattioli', 'Vittorio Caprioli', 'Lidia Alfonsi', 'Gianrico Tedeschi', 'Nino Vingelli']","FRF450,000,000 (estimated)",,"$17,351","$17,351","January 25, 1959","['Italy', 'France']","['Carpino, Foggia, Apulia, Italy (Exterior)']","['Le Groupe des Quatre', 'Cité Films', 'Titanus']","Awards, 2 wins & 1 nomination total","['Comedy', 'Crime', 'Drama']",['Italian']
7. The Indian Tomb,1959,1h 42m,,6.6,3.1K,,"A German architect runs away with the maharajah of Eschnapur's fiancee but is caught and thrown in the dungeon, while his relatives arrive from Europe looking for him and the maharajah's brother is scheming to usurp the throne.",https://www.imdb.com/title/tt0052924/?ref_=sr_i_7,"['Werner Jörg Lüddecke', 'Thea von Harbou', 'Richard Eichberg']",['Fritz Lang'],"['Debra Paget', 'Paul Hubschmid', 'Walther Reyer', 'Claus Holm', 'Sabine Bethmann', 'René Deltgen', 'Valéry Inkijinoff', 'Jochen Brockmann', 'Richard Lauffen', 'Jochen Blume']","DEM20,000,000 (estimated)","$4,401","$4,673","$4,673",October 1960,"['West Germany', 'France', 'Italy']","[""City Palace, Udaipur, Rajasthan, India (Chandra's palace)""]","['Central Cinema Company Film (CCC)', 'Rizzoli Film', 'Regina Production']",,"['Costume Drama', 'Period Drama', 'Adventure', 'Drama', 'Romance']",['German']
8. The Tiger of Eschnapur,1959,1h 41m,,6.6,3.4K,,"In Eschnapur, a local Maharajah and a German architect fall in-love with the same temple dancer.",https://www.imdb.com/title/tt0052295/?ref_=sr_i_8,"['Werner Jörg Lüddecke', 'Thea von Harbou', 'Richard Eichberg']",['Fritz Lang'],"['Debra Paget', 'Paul Hubschmid', 'Walther Reyer', 'Claus Holm', 'Sabine Bethmann', 'Luciana Paluzzi', 'René Deltgen', 'Valéry Inkijinoff', 'Jochen Brockmann', 'Richard Lauffen']","DEM4,000,000 (estimated)","$4,401","$4,673","$4,673",October 1960,"['West Germany', 'France', 'Italy']","['CCC-Atelier, Spandau, Berlin, Germany']","['Central Cinema Company Film (CCC)', 'Rizzoli Film', 'Regina Production']","Awards, 1 nomination total","['Adventure', 'Drama', 'Romance', 'Thriller']",['German']
9. The 400 Blows,1959,1h 39m,Not Rated,8.0,131K,,"A young boy, left without attention, delves into a life of petty crime.",https://www.imdb.com/title/tt0053198/?ref_=sr_i_9,"['François Truffaut', 'Marcel Moussy']",['François Truffaut'],"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier', 'Guy Decomble', 'Georges Flamant', 'Patrick Auffay', 'Daniel Couturier', 'François Nocher', 'Richard Kanayan', 'Renaud Fontanarosa']",,"$11,206","$195,667",$509,"November 16, 1959",['France'],"['Pigalle, Paris 9, Paris, France (location)']","['Les Films du Carrosse', 'Sédif Productions']","Nominated for 1 Oscar, 8 wins & 5 nominations total","['Coming-of-Age', 'Teen Drama', 'Tragedy', 'Crime', 'Drama']","['French', 'English']"
10. Darby O'Gill and the Little People,1959,1h 33m,G,7.1,9.8K,80.0,A wily old codger matches wits with the King of the Leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.,https://www.imdb.com/title/tt0052722/?ref_=sr_i_10,"['Lawrence Edward Watkin', 'H.T. Kavanagh']",['Robert Stevenson'],"['Albert Sharpe', 'Janet Munro', 'Sean Connery', ""Jimmy O'Dea"", 'Kieron Moore', 'Estelle Winwood', 'Walter Fitzgerald', ""Denis O'Dea"", 'J.G. Devlin', 'Jack MacGowran']",,,,,"June 22, 1960",['United States'],"['Albertson Ranch, Triunfo, California, USA']",['Walt Disney Productions'],"Awards, 1 win total","['Adventure', 'Family', 'Fantasy', 'Romance']","['English', 'Irish Gaelic']"
