Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Vertigo,1958,2h 8m,PG,8.3,443K,100.0,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",https://www.imdb.com/title/tt0052357/?ref_=sr_i_1,"['Alec Coppel', 'Samuel A. Taylor', 'Pierre Boileau']",['Alfred Hitchcock'],"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones', 'Raymond Bailey', 'Ellen Corby', 'Konstantin Shayne', 'Lee Patrick', 'David Ahdar']","$2,479,000 (estimated)","$252,880","$7,968,347","$7,863,310","May 28, 1958",['United States'],"[""Fort Point, Presidio, Golden Gate National Recreation Area, San Francisco, California, USA (Madeleine's jump into the bay)""]",['Alfred J. Hitchcock Productions'],"Nominated for 2 Oscars, 9 wins & 7 nominations total","['Psychological Thriller', 'Tragedy', 'Mystery', 'Romance', 'Thriller']",['English']
2. Touch of Evil,1958,1h 35m,PG-13,7.9,112K,99.0,"A Mexican official and his American wife are targeted in a Texas border town by the crime family he's trying to put behind bars for drug trafficking, as his concern grows over the tactics of the local detective whose cooperation he needs.",https://www.imdb.com/title/tt0052311/?ref_=sr_i_2,"['Orson Welles', 'Whit Masterson', 'Franklin Coen']",['Orson Welles'],"['Charlton Heston', 'Orson Welles', 'Janet Leigh', 'Joseph Calleia', 'Akim Tamiroff', 'Joanna Moore', 'Ray Collins', 'Dennis Weaver', 'Valentin de Vargas', 'Mort Mills']","$829,000 (estimated)","$70,725","$2,285,063","$2,247,465","April 23, 1958",['United States'],"['El Rancho Courson Motel, SW corner of E Barrel Springs Rd and Courson Ranch Road, Palmdale, California, USA (Mirador Motel - now site of a residential cul-de-sac)']",['Universal International Pictures (UI)'],"Awards, 7 wins & 1 nomination total","['Film Noir', 'Crime', 'Drama', 'Thriller']","['English', 'Spanish']"
3. South Pacific,1958,2h 37m,Approved,6.8,10K,,"On a South Pacific island during World War II, love blooms between a young nurse and a secretive Frenchman who's being courted for a dangerous military mission.",https://www.imdb.com/title/tt0052225/?ref_=sr_i_3,"['Paul Osborn', 'Richard Rodgers', 'Oscar Hammerstein II']",['Joshua Logan'],"['Rossano Brazzi', 'Mitzi Gaynor', 'John Kerr', 'Ray Walston', 'Juanita Hall', 'France Nuyen', 'Russ Brown', 'Jack Mullaney', 'Ken Clark', 'Floyd Simmons']","$6,000,000 (estimated)","$258,350","$476,564","$458,000","April 14, 1958",['United States'],"[""Kaua'i, Hawaii, USA""]",['Rodgers & Hammerstein Productions'],"Won 1 Oscar, 1 win & 10 nominations total","['Drama', 'Musical', 'Romance', 'War']","['English', 'French']"
4. Elevator to the Gallows,1958,1h 31m,Not Rated,7.9,30K,94.0,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.",https://www.imdb.com/title/tt0051378/?ref_=sr_i_4,"['Roger Nimier', 'Louis Malle', 'Noël Calef']",['Louis Malle'],"['Jeanne Moreau', 'Maurice Ronet', 'Georges Poujouly', 'Yori Bertin', 'Jean Wall', 'Elga Andersen', 'Sylviane Aisenstein', 'Micheline Bona', 'Gisèle Grandpré', 'Jacqueline Staup']",,"$7,354","$431,784","$374,671","February 1, 1958",['France'],"['26 Rue de Courcelles, Paris 8, Paris, France (Tavernier climbing on the upper terrace)']",['Nouvelles Éditions de Films (NEF)'],"Awards, 1 win total","['Crime', 'Drama', 'Thriller']","['French', 'German']"
5. The Hidden Fortress,1958,2h 6m,Not Rated,8.0,44K,89.0,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",https://www.imdb.com/title/tt0051808/?ref_=sr_i_5,"['Ryûzô Kikushima', 'Hideo Oguni', 'Shinobu Hashimoto']",['Akira Kurosawa'],"['Toshirô Mifune', 'Misa Uehara', 'Minoru Chiaki', 'Kamatari Fujiwara', 'Susumu Fujita', 'Takashi Shimura', 'Eiko Miyoshi', 'Toshiko Higuchi', 'Yû Fujiki', 'Yoshio Tsuchiya']",,"$15,942","$57,691","$46,808","October 6, 1960",['Japan'],"['Harima, Hyogo, Japan']",['Toho'],"Awards, 4 wins & 1 nomination total","['Action Epic', 'Adventure Epic', 'Quest', 'Adventure', 'Drama']",['Japanese']
6. Inspector Maigret,1958,1h 59m,,7.2,2.3K,,"In the Marais district in central Paris, somebody is going round murdering young women. Maigret is called to investigate.",https://www.imdb.com/title/tt0050669/?ref_=sr_i_6,"['Georges Simenon', 'Jean Delannoy', 'Rodolphe-Maurice Arlaud']",['Jean Delannoy'],"['Jean Gabin', 'Annie Girardot', 'Olivier Hussenot', 'Jeanne Boitel', 'Lucienne Bogaert', 'Jean Debucourt', 'Guy Decomble', 'Paulette Dubost', 'Jacques Hilling', 'Hubert de Lapparent']",,"$2,556","$8,528","$8,528","January 29, 1958","['France', 'Italy']","['Place-des-Vosges, Paris 4, Paris, France (place where the serial killer operates)']","['Intermondia Films', 'Jolly Film']","Nominated for 3 BAFTA Awards, 1 win & 3 nominations total","['Crime', 'Drama', 'Mystery', 'Thriller']",['French']
7. The Big Country,1958,2h 46m,Approved,7.9,22K,61.0,"A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.",https://www.imdb.com/title/tt0051411/?ref_=sr_i_7,"['James R. Webb', 'Sy Bartlett', 'Robert Wilder']",['William Wyler'],"['Gregory Peck', 'Jean Simmons', 'Carroll Baker', 'Charlton Heston', 'Burl Ives', 'Charles Bickford', 'Alfonso Bedoya', 'Chuck Connors', 'Chuck Hayward', 'Buff Brady']",,,,,October 1958,['United States'],"['Canyon de Chelly National Monument, Arizona, USA']","['Anthony Productions', 'Worldwide Productions']","Won 1 Oscar, 3 wins & 5 nominations total","['Classical Western', 'Epic', 'Western Epic', 'Drama', 'Romance', 'Western']","['English', 'Spanish']"
"8. Hell, Heaven or Hoboken",1958,1h 41m,,6.9,1.7K,,"During World War II, a British actor impersonates Field Marshal Montgomery in order to confuse German intelligence.",https://www.imdb.com/title/tt0051759/?ref_=sr_i_8,"['Bryan Forbes', 'M.E. Clifton James']",['John Guillermin'],"['M.E. Clifton James', 'John Mills', 'Cecil Parker', 'Patrick Allen', 'Patrick Holt', 'Leslie Phillips', 'Michael Hordern', 'Marius Goring', 'Barbara Hicks', 'Duncan Lamont']",,,,,"February 6, 1959",['United Kingdom'],"['Liverpool Street Station, Liverpool Street, Broadgate, London, England, UK (exterior scenes)']","['Associated British Picture Corporation (ABPC)', 'Walton Studios']","Awards, 1 nomination total","['Drama', 'History', 'War']","['English', 'German', 'Polish']"
9. The Vikings,1958,1h 56m,Approved,7.0,16K,,A slave and a Viking prince fight for the love of a captive princess.,https://www.imdb.com/title/tt0052365/?ref_=sr_i_9,"['Calder Willingham', 'Dale Wasserman', 'Edison Marshall']",['Richard Fleischer'],"['Kirk Douglas', 'Tony Curtis', 'Ernest Borgnine', 'Janet Leigh', 'James Donald', 'Alexander Knox', 'Maxine Audley', 'Frank Thring', 'Eileen Way', 'Edric Connor']","$3,500,000 (estimated)",,"$37,559",,"June 28, 1958",['United States'],"['Hardanger, Norway']","['Brynaprod', 'Brynaprod', 'Curtleigh Productions']","Awards, 2 wins & 2 nominations total","['Swashbuckler', 'Action', 'Adventure', 'History']",['English']
10. Separate Tables,1958,1h 40m,Approved,7.4,9K,68.0,"The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables.""",https://www.imdb.com/title/tt0052182/?ref_=sr_i_10,"['Terence Rattigan', 'John Gay', 'John Michael Hayes']",['Delbert Mann'],"['Rita Hayworth', 'Deborah Kerr', 'David Niven', 'Burt Lancaster', 'Wendy Hiller', 'Gladys Cooper', 'Cathleen Nesbitt', 'Felix Aylmer', 'Rod Taylor', 'Audrey Dalton']",,,,"$7,400,000","February 11, 1959",['United States'],"['Stage 5, The Lot - 1041 N. Formosa Avenue, West Hollywood, California, USA']","['Hecht-Hill-Lancaster Productions', 'Clifton Productions']","Won 2 Oscars, 7 wins & 15 nominations total","['Drama', 'Romance']",['English']
