Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. One Hundred and One Dalmatians,1961,1h 19m,G,7.3,189K,83.0,"When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.",https://www.imdb.com/title/tt0055254/?ref_=sr_i_1,"['Bill Peet', 'Dodie Smith']","['Clyde Geronimi', 'Hamilton Luske', 'Wolfgang Reitherman']","['Rod Taylor', 'Betty Lou Gerson', ""J. Pat O'Malley"", 'Martha Wentworth', 'Ben Wright', 'Cate Bauer', 'David Frankham', 'Frederick Worlock', 'Lisa Davis', 'Tom Conway']","$4,000,000 (estimated)","$2,389,226","$215,880,014","$144,880,014","January 25, 1961",['United States'],"['Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA (Studio)']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Won 1 BAFTA Award, 2 wins & 1 nomination total","['Animal Adventure', 'Hand-Drawn Animation', 'Quest', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']",['English']
2. West Side Story,1961,2h 33m,Approved,7.6,124K,86.0,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",https://www.imdb.com/title/tt0055614/?ref_=sr_i_2,"['Ernest Lehman', 'Arthur Laurents', 'Jerome Robbins']","['Jerome Robbins', 'Robert Wise']","['Natalie Wood', 'George Chakiris', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno', 'Simon Oakland', 'Ned Glass', 'William Bramley', 'Tucker Smith', 'Tony Mordente']","$6,000,000 (estimated)","$207,145","$44,135,556","$44,055,492","December 23, 1961",['United States'],"['110th Street, Manhattan, New York City, New York, USA (playground)']","['The Mirisch Corporation', 'Seven Arts Productions']","Won 10 Oscars, 31 wins & 11 nominations total","['Crime', 'Drama', 'Musical', 'Romance']","['English', 'Spanish']"
3. Seong Chun-hyang,1961,2h,,6.2,78,,"Chun-hyang, the only daughter of an old gisaeng named Wolmae, falls in love with Lee Mong-nyong and promises to marry him. But Lee leaves for Seoul with his father who's an aristocrat, and the new governor, Byeon Hakdo, covets Chun-hyang because she is the most beautiful girl in town. When Chun-hyang rejects his order to serve him at night, Governor Byeon sends her to jail. In the mean time, Lee passes the state exam and becomes a special undercover agent of the king. He comes back to where Chun-hyang lives to save her and punishes Governor Byeon.",https://www.imdb.com/title/tt0390466/?ref_=sr_i_3,['Hee-jae Lim'],['Shin Sang-ok'],"['Choi Eun-hie', 'Kim Jin-kyu', 'Kum-Bong Do', 'Jang-kang Heo', 'Lee Ye-chun']","₩80,000,000 (estimated)","$16,187","$798,977","$798,977","January 28, 1961",['South Korea'],,['Shin Films'],,"['Drama', 'Musical', 'Romance']",['Korean']
4. Last Year at Marienbad,1961,1h 34m,Not Rated,7.6,26K,,"In a strange and isolated chateau, a man becomes acquainted with a woman and insists that they have met before.",https://www.imdb.com/title/tt0054632/?ref_=sr_i_4,['Alain Robbe-Grillet'],['Alain Resnais'],"['Delphine Seyrig', 'Giorgio Albertazzi', 'Sacha Pitoëff', 'Françoise Bertin', 'Luce Garcia-Ville', 'Héléna Kornel', 'Françoise Spira', 'Karin Toeche-Mittler', 'Pierre Barbaud', 'Wilhelm von Deek']",,"$15,485","$223,111","$207,917","March 7, 1962","['France', 'Italy']","['Nymphenburg Palace, Munich, Bavaria, Germany']","['Cocinor', 'Terra Film', 'Cormoran Films']","Nominated for 1 Oscar, 2 wins & 5 nominations total","['Psychological Drama', 'Drama', 'Mystery', 'Romance']",['French']
5. A Woman Is a Woman,1961,1h 24m,Not Rated,7.3,20K,71.0,A stripper who's desperate to become a mother accepts her reluctant boyfriend's suggestion that she be impregnated by his best friend.,https://www.imdb.com/title/tt0055572/?ref_=sr_i_5,"['Geneviève Cluny', 'Jean-Luc Godard']",['Jean-Luc Godard'],"['Anna Karina', 'Jean-Claude Brialy', 'Jean-Paul Belmondo', 'Henri Attal', 'Karyn Balm', 'Dorothée Blanck', 'Catherine Demongeot', 'Marie Dubois', 'Ernest Menzer', 'Jeanne Moreau']","$160,000 (estimated)","$13,213","$188,739","$187,657","September 6, 1961","['France', 'Italy']","['Porte St Denis, Rue du Faubourg St Denis, Paris, France']","['Euro International Films', 'Rome Paris Films']","Awards, 2 wins & 2 nominations total","['Comedy', 'Drama', 'Romance']",['French']
6. Lola,1961,1h 30m,Not Rated,7.4,8.1K,73.0,"A bored young man meets with his former girlfriend, now a cabaret dancer and single mother, and soon finds himself falling back in love with her.",https://www.imdb.com/title/tt0055093/?ref_=sr_i_6,['Jacques Demy'],['Jacques Demy'],"['Anouk Aimée', 'Marc Michel', 'Jacques Harden', 'Alan Scott', 'Elina Labourdette', 'Margo Lion', 'Annie Duperoux', 'Catherine Lutz', 'Corinne Marchand', 'Yvette Anziani']",,,"$103,951","$103,951","October 14, 1962","['France', 'Italy']","['La Baule, Loire-Atlantique, France (Michel drives into town)']",['Rome Paris Films'],"Nominated for 2 BAFTA Awards, 2 wins & 3 nominations total","['Drama', 'Romance']","['French', 'English']"
"7. Léon Morin, Priest",1961,1h 57m,Not Rated,7.5,5.9K,,"Set during occupied France, a faithless woman finds herself falling in love with a young priest.",https://www.imdb.com/title/tt0055082/?ref_=sr_i_7,"['Béatrix Beck', 'Jean-Pierre Melville']",['Jean-Pierre Melville'],"['Jean-Paul Belmondo', 'Emmanuelle Riva', 'Irène Tunc', 'Nicole Mirel', 'Gisèle Grimm', 'Marco Behar', 'Monique Bertho', 'Marc Eyraud', 'Nina Grégoire', 'Monique Hennessy']",,"$9,515","$72,908","$72,078","September 22, 1961","['France', 'Italy']","[""Montfort-l'Amaury, Yvelines, France (street scenes)""]","['Concordia Compagnia Cinematografica', 'Rome Paris Films']","Nominated for 1 BAFTA Award, 1 win & 1 nomination total","['Drama', 'Romance', 'War']","['French', 'English', 'German']"
8. A Difficult Life,1961,1h 58m,Not Rated,8.0,2.4K,,"Silvio refuses to fight for the fascists and joins the resistance with Elena. After the war, his vitriolic newspaper articles cause him to be sentenced to imprisonment.",https://www.imdb.com/title/tt0055602/?ref_=sr_i_8,['Rodolfo Sonego'],['Dino Risi'],"['Alberto Sordi', 'Lea Massari', 'Franco Fabrizi', 'Lina Volonghi', 'Claudio Gora', 'Antonio Centa', 'Mino Doro', 'Daniele Vargas', 'Loredana Nusciak', 'Borante Domizlaff']",,"$9,167","$71,630","$71,630","December 22, 1961",['Italy'],"['Lenno, Lombardy, Italy']",['Dino de Laurentiis Cinematografica'],"Awards, 2 wins & 3 nominations total","['Comedy', 'Drama', 'War']","['Italian', 'German', 'English']"
9. Yojimbo,1961,1h 50m,Not Rated,8.2,137K,93.0,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,https://www.imdb.com/title/tt0055630/?ref_=sr_i_9,"['Akira Kurosawa', 'Ryûzô Kikushima']",['Akira Kurosawa'],"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa', 'Isuzu Yamada', 'Daisuke Katô', 'Seizaburô Kawazu', 'Takashi Shimura', 'Hiroshi Tachikawa', 'Yôsuke Natsuki']",,"$15,942","$68,196","$46,808","September 13, 1961",['Japan'],"['Toho Studios, Tokyo, Japan (Studio)']","['Kurosawa Production Co.', 'Sammy', 'Toho']","Nominated for 1 Oscar, 5 wins & 2 nominations total","['One-Person Army Action', 'Period Drama', 'Samurai', 'Action', 'Drama', 'Thriller']",['Japanese']
10. La Notte,1961,2h 2m,Not Rated,7.9,25K,,A day in the life of an unfaithful married couple and their steadily deteriorating relationship.,https://www.imdb.com/title/tt0054130/?ref_=sr_i_10,"['Michelangelo Antonioni', 'Ennio Flaiano', 'Tonino Guerra']",['Michelangelo Antonioni'],"['Jeanne Moreau', 'Marcello Mastroianni', 'Monica Vitti', 'Bernhard Wicki', 'Rosy Mazzacurati', 'Maria Pia Luzi', 'Guido A. Marsan', 'Vittorio Bertolini', 'Vincenzo Corbella', 'Ugo Fortunati']",,"$10,547","$40,703","$39,236","February 19, 1962","['Italy', 'France']","['Milan, Lombardia, Italy']","['Nepi Film', 'Sofitedip', 'Silver Films']","Awards, 6 wins & 4 nominations total",['Drama'],"['Italian', 'English', 'French']"
