Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Godfather,1972,2h 55m,R,9.2,2.1M,100.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.imdb.com/title/tt0068646/?ref_=sr_i_1,"['Mario Puzo', 'Francis Ford Coppola']",['Francis Ford Coppola'],"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton', 'Richard S. Castellano', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Al Lettieri']","$6,000,000 (estimated)","$302,393","$250,342,198","$136,381,073","March 24, 1972",['United States'],"[""Forza d'Agrò, Messina, Sicily, Italy (as Corleone village)""]","['Paramount Pictures', 'Albert S. Ruddy Productions', 'Alfran Productions']","Won 3 Oscars, 31 wins & 31 nominations total","['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']","['English', 'Italian', 'Latin']"
2. The Poseidon Adventure,1972,1h 57m,PG,7.1,52K,70.0,A group of passengers must embark on a harrowing struggle for survival after a rogue wave capsizes their cruise ship at sea.,https://www.imdb.com/title/tt0069113/?ref_=sr_i_2,"['Stirling Silliphant', 'Wendell Mayes', 'Paul Gallico']",['Ronald Neame'],"['Gene Hackman', 'Ernest Borgnine', 'Shelley Winters', 'Red Buttons', 'Carol Lynley', 'Roddy McDowall', 'Stella Stevens', 'Jack Albertson', 'Pamela Sue Martin', ""Arthur O'Connell""]","$5,000,000 (estimated)","$264,850","$84,563,118","$84,563,118","December 13, 1972",['United States'],"['RMS Queen Mary - 1126 Queens Highway, Long Beach, California, USA (some ship interiors)']","['Twentieth Century Fox', 'Irwin Allen Productions', 'Kent Productions']","Won 1 Oscar, 5 wins & 13 nominations total","['Disaster', 'Survival', 'Action', 'Adventure', 'Drama', 'Thriller']","['English', 'Hebrew']"
"3. What's Up, Doc?",1972,1h 34m,G,7.7,29K,73.0,The accidental mix-up of four identical plaid overnight bags leads to a series of increasingly wild and wacky situations.,https://www.imdb.com/title/tt0069495/?ref_=sr_i_3,"['Buck Henry', 'David Newman', 'Robert Benton']",['Peter Bogdanovich'],"['Barbra Streisand', ""Ryan O'Neal"", 'Madeline Kahn', 'Kenneth Mars', 'Austin Pendleton', 'Michael Murphy', 'Philip Roth', 'Sorrell Booke', 'Stefan Gierasch', 'Mabel Albertson']","$4,000,000 (estimated)",,"$66,006,455","$66,000,000","March 10, 1972",['United States'],"[""Hilton San Francisco Union Square 333 O'Farrell Street San Francisco, California, USA (Bristol Hotel)""]","['Warner Bros.', 'Saticoy Productions']","Awards, 1 win & 1 nomination total","['Screwball Comedy', 'Slapstick', 'Comedy', 'Romance']","['English', 'French', 'German']"
4. Last Tango in Paris,1972,2h 9m,NC-17,6.8,60K,77.0,A young Parisian woman meets a middle-aged American businessman who demands their clandestine relationship be based only on sex.,https://www.imdb.com/title/tt0070849/?ref_=sr_i_4,"['Bernardo Bertolucci', 'Franco Arcalli', 'Agnès Varda']",['Bernardo Bertolucci'],"['Marlon Brando', 'Maria Schneider', 'Maria Michi', 'Giovanna Galletti', 'Gitt Magrini', 'Catherine Allégret', 'Luce Marquand', 'Marie-Hélène Breillat', 'Catherine Breillat', 'Dan Diament']","$1,250,000 (estimated)",,"$36,183,066","$36,144,000","February 7, 1973","['Italy', 'France']","[""1 Rue de l'Alboni, Passy, Paris 16, Paris, France (apartment: tryst)""]","['Produzioni Europee Associate (PEA)', 'Les Productions Artistes Associés']","Nominated for 2 Oscars, 7 wins & 10 nominations total","['Steamy Romance', 'Tragedy', 'Drama', 'Romance']","['English', 'French']"
5. Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,1h 28m,R,6.7,43K,66.0,Seven stories are trying to answer the question: what is sex? Or maybe they are not trying.,https://www.imdb.com/title/tt0068555/?ref_=sr_i_5,"['David Reuben', 'Woody Allen']",['Woody Allen'],"['Woody Allen', 'Gene Wilder', 'Louise Lasser', 'John Carradine', 'Lou Jacobi', 'Anthony Quayle', 'Tony Randall', 'Lynn Redgrave', 'Burt Reynolds', 'Jack Barry']","$2,000,000 (estimated)",,"$18,090,065","$18,016,290","August 6, 1972",['United States'],"['Agoura, California, USA']","['Brodsky-Gould Productions', 'Jack Rollins & Charles H. Joffe Productions', 'Rollins-Joffe Productions']",,"['Dark Comedy', 'Parody', 'Satire', 'Sketch Comedy', 'Comedy']","['English', 'Italian']"
6. Conquest of the Planet of the Apes,1972,1h 28m,PG,6.1,39K,49.0,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",https://www.imdb.com/title/tt0068408/?ref_=sr_i_6,"['Paul Dehn', 'Pierre Boulle']",['J. Lee Thompson'],"['Roddy McDowall', 'Don Murray', 'Ricardo Montalban', 'Natalie Trundy', 'Hari Rhodes', 'Severn Darden', 'Lou Wagner', 'John Randolph', 'Asa Maynor', 'H.M. Wynant']","$1,700,000 (estimated)",,"$9,043,472","$9,043,472","June 30, 1972",['United States'],"['University of California, Irvine, California, USA (city exteriors)']","['Twentieth Century Fox', 'APJAC Productions']","Awards, 1 nomination total","['Dystopian Sci-Fi', 'Action', 'Sci-Fi']",['English']
7. Joe Kidd,1972,1h 28m,PG,6.4,22K,52.0,An ex-bounty hunter reluctantly helps a wealthy landowner and his henchmen track down a Mexican revolutionary leader.,https://www.imdb.com/title/tt0068768/?ref_=sr_i_7,['Elmore Leonard'],['John Sturges'],"['Clint Eastwood', 'Robert Duvall', 'John Saxon', 'Don Stroud', 'Stella Garcia', 'James Wainwright', 'Paul Koslo', 'Gregory Walcott', 'Dick Van Patten', 'Lynne Marta']",,,"$6,330,000","$6,330,000","July 19, 1972",['United States'],"['Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA']",['The Malpaso Company'],,"['Drama', 'Western']","['English', 'Spanish']"
8. Elvis on Tour,1972,1h 33m,G,7.5,2K,,Concert footage and offstage documentary of singer Elvis Presley.,https://www.imdb.com/title/tt0068537/?ref_=sr_i_8,"['Robert Abel', 'Pierre Adidge']","['Robert Abel', 'Pierre Adidge']","['Elvis Presley', 'Bill Baize', 'Estell Brown', 'James Burton', 'Ed Enoch', 'Joe Esposito', 'Lamar Fike', 'Joe Guercio', 'Glen D. Hardin', 'Charlie Hodge']","$600,000 (estimated)",,"$587,818","$587,818","November 1, 1972",['United States'],"['Little Rock, Arkansas, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Cinema Associates (III)']","Awards, 1 win total","['Documentary', 'Music']",['English']
9. The Discreet Charm of the Bourgeoisie,1972,1h 42m,PG,7.8,49K,93.0,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",https://www.imdb.com/title/tt0068361/?ref_=sr_i_9,"['Luis Buñuel', 'Jean-Claude Carrière']",['Luis Buñuel'],"['Fernando Rey', 'Delphine Seyrig', 'Paul Frankeur', 'Bulle Ogier', 'Stéphane Audran', 'Jean-Pierre Cassel', 'Julien Bertheau', 'Milena Vukotic', 'Maria Gabriella Maione', 'Claude Piéplu']","$800,000 (estimated)","$6,075","$103,230","$82,471","October 22, 1972","['France', 'Italy', 'Spain']","['Paris, France']",['Greenwich Film Productions'],"Won 1 Oscar, 7 wins & 9 nominations total","['Satire', 'Comedy', 'Drama', 'Fantasy']","['French', 'Spanish', 'Latin']"
10. A Cop,1972,1h 38m,PG,7.0,12K,72.0,"After a shaky first heist, a group of thieves plan an even more elaborate and risky second heist.",https://www.imdb.com/title/tt0067900/?ref_=sr_i_10,['Jean-Pierre Melville'],['Jean-Pierre Melville'],"['Alain Delon', 'Richard Crenna', 'Catherine Deneuve', 'Riccardo Cucciolla', 'Michael Conrad', 'Paul Crauchet', 'Simone Valère', 'André Pousse', 'Jean Desailly', 'Valérie Wilson']",,"$10,342","$48,437","$48,040","October 25, 1972","['France', 'Italy']","['Saint-Jean-de-Monts, Vendée, France (bank robbery at the beginning)']","['Euro International Films', 'Oceania Produzioni Internazionali Cinematografiche']","Awards, 1 nomination total","['Caper', 'Heist', 'Crime', 'Thriller']",['French']
