Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Avatar,2009,2h 42m,PG-13,7.9,1.4M,83.0,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,https://www.imdb.com/title/tt0499549/?ref_=sr_i_1,['James Cameron'],['James Cameron'],"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Michelle Rodriguez', 'Stephen Lang', 'Giovanni Ribisi', 'Joel David Moore', 'CCH Pounder', 'Wes Studi', 'Laz Alonso']","$237,000,000 (estimated)","$77,025,481","$2,923,710,708","$785,221,649","December 18, 2009","['United States', 'United Kingdom']","[""Kaua'i, Hawaii, USA (rain forest)""]","['Twentieth Century Fox', 'Dune Entertainment', 'Lightstorm Entertainment']","Won 3 Oscars, 91 wins & 131 nominations total","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['English', 'Spanish']"
2. Transformers: Revenge of the Fallen,2009,2h 29m,PG-13,6.0,440K,35.0,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",https://www.imdb.com/title/tt1055369/?ref_=sr_i_2,"['Ehren Kruger', 'Roberto Orci', 'Alex Kurtzman']",['Michael Bay'],"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro', 'Ramón Rodríguez', 'Kevin Dunn', 'Julie White', 'Isabel Lucas', 'John Benjamin Hickey']","$200,000,000 (estimated)","$108,966,307","$836,304,167","$402,111,870","June 24, 2009","['United States', 'Jordan', 'United Kingdom']","['Luxor, Egypt']","['Paramount Pictures', 'Dreamworks Pictures', 'Hasbro']","Nominated for 1 Oscar, 15 wins & 31 nominations total","['Alien Invasion', 'Car Action', 'Desert Adventure', 'Action', 'Adventure', 'Sci-Fi']","['English', 'Spanish']"
3. Harry Potter and the Half-Blood Prince,2009,2h 33m,PG,7.6,624K,78.0,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",https://www.imdb.com/title/tt0417741/?ref_=sr_i_3,"['Steve Kloves', 'J.K. Rowling']",['David Yates'],"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon', 'Dave Legeno', 'Elarica Johnson', 'Jim Broadbent', 'Geraldine Somerville', 'Bonnie Wright', 'Julie Walters']","$250,000,000 (estimated)","$77,835,727","$941,056,063","$302,334,374","July 15, 2009","['United Kingdom', 'United States']","['Raumabanen Railway Line, Bjorli, Norway (Hogwarts express scenes in winter)']","['Warner Bros.', 'Heyday Films']","Nominated for 1 Oscar, 9 wins & 39 nominations total","['Fantasy Epic', 'Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['English', 'Latin']"
4. The Twilight Saga: New Moon,2009,2h 10m,PG-13,4.8,309K,44.0,"After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend. But what Bella doesn't realize is that Jacob also has a secret that will change their lives suddenly.",https://www.imdb.com/title/tt1259571/?ref_=sr_i_4,"['Melissa Rosenberg', 'Stephenie Meyer']",['Chris Weitz'],"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Christina Jastrzembska', 'Billy Burke', 'Anna Kendrick', 'Michael Welch', 'Justin Chon', 'Christian Serratos', 'Ashley Greene']","$50,000,000 (estimated)","$142,839,137","$711,048,123","$297,816,253","November 20, 2009",['United States'],"['Montepulciano, Siena, Tuscany, Italy (as Volterra)']","['Temple Hill Entertainment', 'Maverick Films', 'Imprint Entertainment']","Awards, 23 wins & 24 nominations total","['Supernatural Fantasy', 'Teen Adventure', 'Teen Drama', 'Teen Fantasy', 'Teen Romance', 'Adventure', 'Drama', 'Fantasy', 'Romance']","['English', 'Italian']"
5. Up,2009,1h 36m,PG,8.3,1.2M,88.0,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",https://www.imdb.com/title/tt1049413/?ref_=sr_i_5,"['Pete Docter', 'Bob Peterson', 'Tom McCarthy']","['Pete Docter', 'Bob Peterson']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer', 'Bob Peterson', 'Delroy Lindo', 'Jerome Ranft', 'David Kaye', 'Elie Docter', 'Jeremy Leary']","$175,000,000 (estimated)","$68,108,790","$735,102,136","$293,004,164","July 23, 2009",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","Won 2 Oscars, 81 wins & 88 nominations total","['Coming-of-Age', 'Computer Animation', 'Globetrotting Adventure', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",['English']
6. The Hangover,2009,1h 40m,R,7.7,881K,73.0,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing. They must make their way around the city in order to find their friend in time for his wedding.,https://www.imdb.com/title/tt1119646/?ref_=sr_i_6,"['Jon Lucas', 'Scott Moore']",['Todd Phillips'],"['Zach Galifianakis', 'Bradley Cooper', 'Justin Bartha', 'Ed Helms', 'Heather Graham', 'Sasha Barrese', 'Jeffrey Tambor', 'Ken Jeong', 'Rachael Harris', 'Mike Tyson']","$35,000,000 (estimated)","$44,979,319","$469,328,922","$277,339,746","June 5, 2009","['United States', 'Germany']","['Caesars Palace - 3570 Las Vegas Boulevard South, Las Vegas, Nevada, USA (location)']","['Warner Bros.', 'Legendary Entertainment', 'Green Hat Films']","Nominated for 1 BAFTA Award, 13 wins & 25 nominations total","['Raunchy Comedy', 'Comedy']",['English']
7. Star Trek,2009,2h 7m,PG-13,7.9,629K,82.0,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,https://www.imdb.com/title/tt0796366/?ref_=sr_i_7,"['Roberto Orci', 'Alex Kurtzman', 'Gene Roddenberry']",['J.J. Abrams'],"['Chris Pine', 'Zachary Quinto', 'Simon Pegg', 'Leonard Nimoy', 'Eric Bana', 'Bruce Greenwood', 'Karl Urban', 'Zoe Saldaña', 'John Cho', 'Anton Yelchin']","$150,000,000 (estimated)","$75,204,289","$385,681,768","$257,730,019","May 8, 2009","['United States', 'Germany']","['Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA (Vulcan)']","['Paramount Pictures', 'Spyglass Entertainment', 'Bad Robot']","Won 1 Oscar, 27 wins & 95 nominations total","['Space Sci-Fi', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']",['English']
8. The Blind Side,2009,2h 9m,PG-13,7.6,373K,53.0,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",https://www.imdb.com/title/tt0878804/?ref_=sr_i_8,"['John Lee Hancock', 'Michael Lewis']",['John Lee Hancock'],"['Quinton Aaron', 'Sandra Bullock', 'Tim McGraw', 'Jae Head', 'Lily Collins', 'Ray McKinnon', 'Kim Dickens', 'Adriane Lenox', 'Kathy Bates', 'Catherine Dyer']","$29,000,000 (estimated)","$34,119,372","$309,231,694","$255,982,860","November 20, 2009",['United States'],"['Atlanta International School - 2890 N. Fulton Drive, Buckhead, Georgia, USA']","['Alcon Entertainment', '3 Arts Entertainment', 'Left Tackle Pictures']","Won 1 Oscar, 9 wins & 30 nominations total","['Docudrama', 'Football', 'Biography', 'Drama', 'Sport']",['English']
9. Alvin and the Chipmunks: The Squeakquel,2009,1h 28m,PG,4.6,57K,41.0,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",https://www.imdb.com/title/tt1231580/?ref_=sr_i_9,"['Jon Vitti', 'Jonathan Aibel', 'Glenn Berger']",['Betty Thomas'],"['Jason Lee', 'Zachary Levi', 'David Cross', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Amy Poehler', 'Anna Faris', 'Christina Applegate', 'Wendie Malick']","$75,000,000 (estimated)","$48,875,415","$443,140,005","$219,614,612","December 23, 2009",['United States'],"['Paris, France']","['Fox 2000 Pictures', 'Regency Enterprises', 'Bagdasarian Productions']","Awards, 3 wins total","['Animal Adventure', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']","['English', 'French']"
10. Sherlock Holmes,2009,2h 8m,PG-13,7.6,688K,57.0,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,https://www.imdb.com/title/tt0988045/?ref_=sr_i_10,"['Michael Robert Johnson', 'Anthony Peckham', 'Simon Kinberg']",['Guy Ritchie'],"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong', 'Eddie Marsan', 'Robert Maillet', 'Geraldine James', 'Kelly Reilly', 'William Houston', 'Hans Matheson']","$90,000,000 (estimated)","$62,304,277","$524,028,679","$209,028,679","December 25, 2009","['United States', 'Germany']","['Brompton Cemetery, Fulham Road, West Brompton, London, England, UK (Lord Blackwood Burial Site)']","['Warner Bros.', 'Village Roadshow Pictures', 'Silver Pictures']","Nominated for 2 Oscars, 10 wins & 31 nominations total","['Whodunnit', 'Action', 'Adventure', 'Mystery']","['English', 'French']"
