Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6,1.5M,90.0,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",https://www.imdb.com/title/tt0076759/?ref_=sr_i_1,['George Lucas'],['George Lucas'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness', 'Peter Cushing', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'Phil Brown']","$11,000,000 (estimated)","$1,554,475","$775,398,507","$460,998,507","May 25, 1977",['United States'],"['Tikal National Park, Guatemala (Fourth moon of Yavin)']","['Lucasfilm', 'Twentieth Century Fox']","Won 6 Oscars, 69 wins & 30 nominations total","['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery', 'Action', 'Adventure']",['English']
2. Close Encounters of the Third Kind,1977,2h 18m,PG,7.6,225K,90.0,"Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.",https://www.imdb.com/title/tt0075860/?ref_=sr_i_2,"['Steven Spielberg', 'Hal Barwood', 'Jerry Belson']",['Steven Spielberg'],"['Richard Dreyfuss', 'François Truffaut', 'Teri Garr', 'Melinda Dillon', 'Bob Balaban', 'J. Patrick McNamara', 'Warren J. Kemmerling', 'Roberts Blossom', 'Philip Dodds', 'Cary Guffey']","$20,000,000 (estimated)","$1,767,758","$306,889,114","$135,189,114","December 14, 1977","['United States', 'United Kingdom']","[""Devils Tower National Monument, Wyoming, USA (Devil's Rock)""]","['Julia Phillips and Michael Phillips Productions', 'EMI Films']","Won 1 Oscar, 16 wins & 40 nominations total","['Sci-Fi Epic', 'Drama', 'Sci-Fi']",['English']
3. Smokey and the Bandit,1977,1h 36m,PG,7.0,59K,50.0,"The Bandit is hired on to run a tractor-trailer full of beer over state lines, in hot pursuit by a pesky sheriff.",https://www.imdb.com/title/tt0076729/?ref_=sr_i_3,"['Hal Needham', 'Robert L. Levy', 'James Lee Barrett']",['Hal Needham'],"['Burt Reynolds', 'Sally Field', 'Jerry Reed', 'Mike Henry', 'Paul Williams', 'Pat McCormick', 'Alfie Wise', 'George Reynolds', 'Macon McCalman', 'Linda McClure']","$4,300,000 (estimated)",,"$126,750,426","$126,737,428","May 27, 1977",['United States'],"['Helen, Georgia, USA']","['Universal Pictures', 'Rastar Films']","Nominated for 1 Oscar, 3 nominations total","['Car Action', 'Road Trip', 'Action', 'Adventure', 'Comedy']",['English']
4. Saturday Night Fever,1977,1h 58m,R,6.8,91K,77.0,"Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco.",https://www.imdb.com/title/tt0076666/?ref_=sr_i_4,"['Nik Cohn', 'Norman Wexler']",['John Badham'],"['John Travolta', 'Karen Lynn Gorney', 'Barry Miller', 'Joseph Cali', 'Paul Pape', 'Donna Pescow', 'Bruce Ornstein', 'Julie Bovasso', 'Martin Shakar', 'Sam Coppola']","$3,000,000 (estimated)","$3,878,099","$237,113,184","$94,213,184","December 16, 1977",['United States'],"[""86th Street, Brooklyn, New York City, New York, USA (opening sequence: Tony's Walk)""]","['Paramount Pictures', 'Robert Stigwood Organization (RSO)']","Nominated for 1 Oscar, 6 wins & 14 nominations total","['Drama', 'Music']","['English', 'Italian']"
5. The Rescuers,1977,1h 17m,G,6.9,72K,74.0,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,https://www.imdb.com/title/tt0076618/?ref_=sr_i_5,"['Margery Sharp', 'Larry Clemmons', 'Ken Anderson']","['John Lounsbery', 'Wolfgang Reitherman', 'Art Stevens']","['Bob Newhart', 'Eva Gabor', 'Geraldine Page', 'Joe Flynn', 'Jeanette Nolan', 'Pat Buttram', 'Jim Jordan', 'John McIntire', 'Michelle Stacy', 'Bernard Fox']","$7,500,000 (estimated)","$2,111,582","$71,215,869","$71,215,869","June 22, 1977",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Nominated for 1 Oscar, 2 wins & 1 nomination total","['Animal Adventure', 'Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['English', 'French', 'German', 'Russian']"
6. A Bridge Too Far,1977,2h 55m,PG,7.4,64K,63.0,"Operation Market Garden, September 1944: The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines.",https://www.imdb.com/title/tt0075784/?ref_=sr_i_6,"['Cornelius Ryan', 'William Goldman']",['Richard Attenborough'],"['Sean Connery', ""Ryan O'Neal"", 'Michael Caine', 'Laurence Olivier', 'Siem Vroom', 'Marlies van Alcmaer', ""Erik van 't Wout"", 'Wolfgang Preiss', 'Hans von Borsody', 'Josephine Peeper']","$27,000,000 (estimated)",,"$50,750,000","$50,750,000","June 15, 1977","['United States', 'United Kingdom']","['Nijmegen, Gelderland, Netherlands (Nijmegen Bridge scenes and battle sequence)']",['Joseph E. Levine Productions'],"Won 4 BAFTA Awards, 7 wins & 5 nominations total","['Historical Epic', 'War Epic', 'Drama', 'History', 'War']","['English', 'German', 'Dutch', 'Polish', 'Latin']"
7. The Deep,1977,2h 3m,PG,6.2,14K,41.0,"In Bermuda, two amateur treasure-hunting divers have a run-in with local criminals when they inadvertently discover the secret cargo of a World War II shipwreck.",https://www.imdb.com/title/tt0075925/?ref_=sr_i_7,"['Peter Benchley', 'Tracy Keenan Wynn']",['Peter Yates'],"['Jacqueline Bisset', 'Nick Nolte', 'Dick Anthony Williams', 'Robert Shaw', 'Earl Maynard', 'Bob Minor', 'Louis Gossett Jr.', 'Eli Wallach', 'Teddy Tucker', 'Robert Tessier']","$9,000,000 (estimated)","$6,835,540","$47,346,365","$47,346,365","June 17, 1977","['United Kingdom', 'United States']","['RMS Rhone Wreck, British Virgin Islands']","['Columbia Pictures', 'EMI Films', 'Casablanca Filmworks']","Nominated for 1 Oscar, 4 nominations total","['Adventure', 'Mystery', 'Thriller']","['English', 'French']"
8. The Spy Who Loved Me,1977,2h 5m,PG,7.0,120K,55.0,"James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. agent whose lover he killed.",https://www.imdb.com/title/tt0076752/?ref_=sr_i_8,"['Christopher Wood', 'Richard Maibaum', 'Ian Fleming']",['Lewis Gilbert'],"['Roger Moore', 'Barbara Bach', 'Curd Jürgens', 'Richard Kiel', 'Caroline Munro', 'Walter Gotell', 'Geoffrey Keen', 'Bernard Lee', 'George Baker', 'Michael Billington']","$13,500,000 (estimated)",,"$46,876,386","$46,838,673","August 3, 1977","['United Kingdom', 'United States']","[""Faslane Naval Base, Her Majesty's Naval Base Clyde, Gare Loch, Argyll and Bute, Scotland, UK (Royal Naval Base)""]",['Eon Productions'],"Nominated for 3 Oscars, 4 wins & 12 nominations total","['Spy', 'Action', 'Adventure', 'Thriller']","['English', 'Italian', 'Arabic']"
"9. Oh, God!",1977,1h 38m,PG,6.6,11K,56.0,"When God appears to an assistant grocery manager as a good-natured old man, the Almighty selects him as His messenger to the modern world.",https://www.imdb.com/title/tt0076489/?ref_=sr_i_9,"['Larry Gelbart', 'Avery Corman']",['Carl Reiner'],"['John Denver', 'George Burns', 'Teri Garr', 'Donald Pleasence', 'Ralph Bellamy', 'William Daniels', 'Barnard Hughes', 'Paul Sorvino', 'Barry Sullivan', 'Dinah Shore']",,"$2,040,920","$41,687,243","$41,687,243","October 7, 1977",['United States'],"['Riverside Drive and Main Street, Burbank, California, USA (the phone booth where Jerry meets God at the end)']",['Warner Bros.'],"Nominated for 1 Oscar, 3 wins & 3 nominations total","['Comedy', 'Fantasy']","['English', 'Spanish']"
10. Pete's Dragon,1977,2h 8m,G,6.3,27K,46.0,An orphaned boy and his magical dragon come to the New England town of Passamaquoddy with his abusive adoptive parents in pursuit.,https://www.imdb.com/title/tt0076538/?ref_=sr_i_10,"['Malcolm Marmorstein', 'Seton I. Miller', 'S.S. Field']","['Don Chaffey', 'Don Bluth']","['Sean Marshall', 'Helen Reddy', 'Jim Dale', 'Mickey Rooney', 'Red Buttons', 'Shelley Winters', 'Jane Kean', 'Jim Backus', 'Charles Tyner', 'Gary Morgan']","$10,000,000 (estimated)",,"$39,588,000","$39,588,000","November 3, 1977",['United States'],"['Point Buchon, California, USA (Lighthouse scenes)']",['Walt Disney Productions'],"Nominated for 2 Oscars, 6 nominations total","['Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",['English']
11. Annie Hall,1977,1h 33m,PG,7.9,283K,92.0,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.",https://www.imdb.com/title/tt0075686/?ref_=sr_i_11,"['Woody Allen', 'Marshall Brickman']",['Woody Allen'],"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane', 'Paul Simon', 'Shelley Duvall', 'Janet Margolin', 'Colleen Dewhurst', 'Christopher Walken', 'Donald Symington']","$4,000,000 (estimated)",,"$38,289,445","$38,251,425","April 20, 1977",['United States'],"[""Beekman Cinema - 1254 2nd Avenue, Manhattan, New York City, New York, USA (Cinema showing Ingmar Bergman's Face to Face - Alvy waits for Annie and is recognised from television)""]","['Jack Rollins & Charles H. Joffe Productions', 'Rollins-Joffe Productions']","Won 4 Oscars, 32 wins & 9 nominations total","['Romantic Comedy', 'Comedy', 'Romance']","['English', 'German']"
12. Semi-Tough,1977,1h 48m,R,5.9,3.7K,68.0,A three-way friendship between two free-spirited professional football players and the owner's daughter becomes compromised when two of them become romantically involved.,https://www.imdb.com/title/tt0078227/?ref_=sr_i_12,"['Dan Jenkins', 'Walter Bernstein', 'Ring Lardner Jr.']",['Michael Ritchie'],"['Burt Reynolds', 'Kris Kristofferson', 'Jill Clayburgh', 'Robert Preston', 'Bert Convy', 'Roger E. Mosley', 'Lotte Lenya', 'Richard Masur', 'Carl Weathers', 'Brian Dennehy']","$5,700,000 (estimated)",,"$37,187,139","$37,187,139","May 19, 1978",['United States'],"['Tarrant County, Texas, USA (Team owners Texas Ranch)']",['Charley Associates'],"Awards, 1 nomination total","['Buddy Comedy', 'Dark Comedy', 'Football', 'Raunchy Comedy', 'Satire', 'Comedy', 'Romance', 'Sport']",['English']
13. Heroes,1977,1h 52m,PG,6.1,2.2K,35.0,A Vietnam veteran suffering from post traumatic stress disorder breaks out of a VA hospital and goes on a road trip with a sympathetic traveler to start a worm farm in California with his fellow veterans.,https://www.imdb.com/title/tt0076138/?ref_=sr_i_13,"['James Carabatsos', 'David Freeman']",['Jeremy Kagan'],"['Henry Winkler', 'Sally Field', 'Harrison Ford', 'Val Avery', 'Olivia Cole', 'Hector Elias', 'Dennis Burkley', 'Tony Burton', 'Michael Cavanaugh', 'Helen Craig']","$3,200,000 (estimated)",,"$33,500,000","$33,500,000","November 17, 1977",['United States'],"['Times Square Army Recruiting Station, Manhattan, New York City, New York, USA (Jack tries to persuade a group of young men for not recruiting to Vietnam war)']","['David Foster Productions', 'Universal Pictures']","Awards, 1 nomination total","['Psychological Drama', 'Comedy', 'Drama']","['English', 'Spanish']"
14. High Anxiety,1977,1h 34m,PG,6.6,25K,55.0,"A psychiatrist with intense acrophobia (fear of heights) goes to work for a mental institution run by doctors who appear to be crazier than their patients, and have secrets that they are willing to commit murder to keep.",https://www.imdb.com/title/tt0076141/?ref_=sr_i_14,"['Mel Brooks', 'Ron Clark', 'Rudy De Luca']",['Mel Brooks'],"['Mel Brooks', 'Madeline Kahn', 'Cloris Leachman', 'Harvey Korman', 'Ron Carey', 'Howard Morris', 'Dick Van Patten', 'Jack Riley', 'Charlie Callas', 'Ron Clark']","$4,015,000 (estimated)",,"$31,063,038","$31,063,038","December 25, 1977",['United States'],"[""Mount St. Mary's College - 12001 Chalon Road, Bel Air, Los Angeles, California, USA (Institute for the Very, Very Nervous)""]",['Crossbow Productions'],"Awards, 2 nominations total","['Parody', 'Slapstick', 'Comedy', 'Mystery', 'Thriller']",['English']
15. Exorcist II: The Heretic,1977,1h 57m,R,3.8,30K,39.0,"A teenage girl once possessed by a demon finds that it still lurks within her. Meanwhile, a priest investigates the death of the girl's exorcist.",https://www.imdb.com/title/tt0076009/?ref_=sr_i_15,"['William Goodhart', 'Rospo Pallenberg']","['John Boorman', 'Rospo Pallenberg']","['Richard Burton', 'Linda Blair', 'Louise Fletcher', 'Max von Sydow', 'Kitty Winn', 'Paul Henreid', 'James Earl Jones', 'Ned Beatty', 'Belinda Beatty', 'Rose Portillo']","$14,000,000 (estimated)","$6,735,000","$30,749,142","$30,749,142","June 17, 1977",['United States'],"['Kayenta, Arizona, USA']",['Warner Bros.'],"Awards, 3 nominations total","['Supernatural Horror', 'Horror']","['English', 'French', 'Spanish', 'Latin']"
