Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Sound of Music,1965,2h 52m,G,8.1,274K,63.0,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,https://www.imdb.com/title/tt0059742/?ref_=sr_i_1,"['Georg Hurdalek', 'Howard Lindsay', 'Russel Crouse']",['Robert Wise'],"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn', 'Peggy Wood', 'Charmian Carr', 'Heather Menzies-Urich', 'Nicholas Hammond', 'Duane Chase', 'Angela Cartwright']","$8,200,000 (estimated)","$413,497","$159,484,051","$159,287,539","April 1, 1965",['United States'],"['Felsenreitschule, Salzburg, Austria (music festival scenes)']","['Robert Wise Productions', 'Argyle Enterprises']","Won 5 Oscars, 18 wins & 13 nominations total","['Classic Musical', 'Epic', 'Period Drama', 'Biography', 'Drama', 'Family', 'Musical', 'Romance']","['English', 'German']"
2. Doctor Zhivago,1965,3h 17m,Approved,7.9,84K,69.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",https://www.imdb.com/title/tt0059113/?ref_=sr_i_2,"['Boris Pasternak', 'Robert Bolt']",['David Lean'],"['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger', 'Alec Guinness', 'Tom Courtenay', 'Siobhan McKenna', 'Ralph Richardson', 'Rita Tushingham', 'Jeffrey Rockland']","$11,000,000 (estimated)",,"$111,926,200","$111,721,910","December 31, 1965","['Italy', 'United Kingdom', 'United States']","['Morley Flats, Alberta, Canada (Frozen house longshots)']","['Metro-Goldwyn-Mayer (MGM)', 'Carlo Ponti Production', 'Sostar S.A.']","Won 5 Oscars, 21 wins & 13 nominations total","['Epic', 'Romantic Epic', 'Tragedy', 'Drama', 'Romance', 'War']","['English', 'Russian', 'French']"
3. Thunderball,1965,2h 10m,Approved,6.9,131K,64.0,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,https://www.imdb.com/title/tt0059800/?ref_=sr_i_3,"['Richard Maibaum', 'John Hopkins', 'Jack Whittingham']",['Terence Young'],"['Sean Connery', 'Claudine Auger', 'Adolfo Celi', 'Luciana Paluzzi', 'Rik Van Nutter', 'Guy Doleman', 'Molly Peters', 'Martine Beswick', 'Bernard Lee', 'Desmond Llewelyn']","$9,000,000 (estimated)",,"$63,607,066","$63,595,658","December 22, 1965","['United Kingdom', 'United States']","[""Sullivan Residence, Rock Point, Love Beach, off West Bay Street, North Shore, New Providence Island, Bahamas (Largo's Lair - Palmyra Estate)""]",['Eon Productions'],"Won 1 Oscar, 5 wins & 5 nominations total","['Spy', 'Action', 'Adventure', 'Thriller']","['English', 'French']"
4. For a Few Dollars More,1965,2h 12m,R,8.2,286K,74.0,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,https://www.imdb.com/title/tt0059578/?ref_=sr_i_4,"['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni']",['Sergio Leone'],"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp', 'Luigi Pistilli', 'Klaus Kinski', 'Luis Rodríguez', 'Benito Stefanelli', 'Panos Papadopulos', 'Aldo Sambrell']","$600,000 (estimated)",,"$15,000,000","$15,000,000","May 10, 1967","['Italy', 'Spain', 'West Germany']","['Mini Hollywood, Tabernas, Almería, Andalucía, Spain (City of El Paso, bank scenes)']","['Produzioni Europee Associate (PEA)', 'Arturo González Producciones Cinematográficas', 'Constantin Film']","Awards, 3 nominations total","['One-Person Army Action', 'Spaghetti Western', 'Drama', 'Western']","['English', 'Italian']"
5. War and Peace,1965,6h 33m,GP,8.3,8.9K,,The Russian aristocracy prepares for the French invasion on the eve of 1812.,https://www.imdb.com/title/tt0063794/?ref_=sr_i_5,"['Sergey Bondarchuk', 'Vasiliy Solovyov', 'Lev Tolstoy']",['Sergey Bondarchuk'],"['Lyudmila Saveleva', 'Vyacheslav Tikhonov', 'Sergey Bondarchuk', 'Boris Zakhava', 'Anatoli Ktorov', 'Anastasiya Vertinskaya', 'Antonina Shuranova', 'Oleg Tabakov', 'Viktor Stanitsyn', 'Irina Skobtseva']","RUR8,000,000 (estimated)","$22,976","$149,485","$148,503","April 28, 1968",['Soviet Union'],"['Borodino, Moskovskaya oblast, Russia (scenes before the main battle with Napoleon)']",['Mosfilm'],"Won 1 Oscar, 5 wins & 3 nominations total","['Epic', 'Period Drama', 'War Epic', 'Drama', 'Romance', 'War']","['Russian', 'German', 'French']"
6. Chimes at Midnight,1965,1h 55m,Not Rated,7.6,11K,94.0,"When King Henry IV ascends to the throne, his heir, the Prince of Wales, is befriended by Sir John Falstaff, an old, overweight, fun-loving habitual liar. Through Falstaff's eyes we see the reign of King Henry IV and the rise of Henry V.",https://www.imdb.com/title/tt0059012/?ref_=sr_i_6,"['William Shakespeare', 'Raphael Holinshed', 'Orson Welles']",['Orson Welles'],"['Orson Welles', 'Jeanne Moreau', 'Margaret Rutherford', 'John Gielgud', 'Marina Vlady', 'Walter Chiari', 'Michael Aldridge', 'Julio Peña', 'Tony Beckley', 'Andrés Mejuto']","$800,000 (estimated)","$13,630","$126,724","$126,724","March 17, 1967","['Spain', 'Switzerland', 'France']","['Pedraza, Segovia, Castilla y León, Spain (London streets scenes)']","['Internacional Films', 'Alpine Films']","Nominated for 1 BAFTA Award, 3 wins & 2 nominations total","['Comedy', 'Drama', 'History', 'War']",['English']
7. Pierrot le fou,1965,1h 50m,PG-13,7.4,39K,,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",https://www.imdb.com/title/tt0059592/?ref_=sr_i_7,"['Rémo Forlani', 'Jean-Luc Godard', 'Lionel White']",['Jean-Luc Godard'],"['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani', 'Aicha Abadir', 'Henri Attal', 'Pascal Aubier', 'Maurice Auzel', 'Raymond Devos', 'Roger Dutoit', 'Samuel Fuller']","$300,000 (estimated)","$7,254","$148,564","$87,011","January 8, 1969","['France', 'Italy']","[""L'Aygade, Hyères, Var, France""]","['Films Georges de Beauregard', 'Rome Paris Films', 'Société Nouvelle de Cinématographie (SNC)']","Nominated for 1 BAFTA Award, 2 wins & 2 nominations total","['Crime', 'Drama', 'Romance']","['French', 'English', 'Italian']"
8. Alphaville,1965,1h 39m,Not Rated,7.0,29K,92.0,An agent wrecks the main computer on another planet.,https://www.imdb.com/title/tt0058898/?ref_=sr_i_8,"['Jean-Luc Godard', 'Paul Éluard']",['Jean-Luc Godard'],"['Eddie Constantine', 'Anna Karina', 'Akim Tamiroff', 'Valérie Boisgel', 'Jean-Louis Comolli', 'Michel Delahaye', 'Jean-André Fieschi', 'Christa Lang', 'Jean-Pierre Léaud', 'László Szabó']","$220,000 (estimated)","$7,298","$66,076","$47,696","May 5, 1965","['France', 'Italy']","['Esso tower, La Défense, Hauts-de-Seine, France']","['André Michelin Productions', 'Filmstudio', 'Chaumiane']","Awards, 1 win & 1 nomination total","['Hard-boiled Detective', 'Satire', 'Comedy', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","['French', 'English', 'Spanish']"
9. Red Beard,1965,3h 5m,Not Rated,8.3,22K,90.0,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern.",https://www.imdb.com/title/tt0058888/?ref_=sr_i_9,"['Masato Ide', 'Hideo Oguni', 'Ryûzô Kikushima']",['Akira Kurosawa'],"['Toshirô Mifune', 'Yûzô Kayama', 'Tsutomu Yamazaki', 'Reiko Dan', 'Miyuki Kuwano', 'Kyôko Kagawa', 'Tatsuyoshi Ehara', 'Terumi Niki', 'Akemi Negishi', 'Yoshitaka Zushi']",,"$15,942","$51,513","$46,808","December 19, 1968",['Japan'],"['Toho Studios, Tokyo, Japan (Studio)']","['Kurosawa Production Co.', 'Toho']","Awards, 11 wins & 2 nominations total","['Medical Drama', 'Drama']",['Japanese']
10. Major Dundee,1965,2h 3m,Approved,6.7,9.1K,62.0,"In 1864, due to frequent Apache raids from Mexico into the U.S., a Union officer decides to illegally cross the border and destroy the Apache, using a mixed army of Union troops, Confederate POWs, civilian mercenaries, and scouts.",https://www.imdb.com/title/tt0059418/?ref_=sr_i_10,"['Harry Julian Fink', 'Oscar Saul', 'Sam Peckinpah']",['Sam Peckinpah'],"['Charlton Heston', 'Richard Harris', 'Jim Hutton', 'James Coburn', 'Michael Anderson Jr.', 'Senta Berger', 'Mario Adorf', 'Brock Peters', 'Warren Oates', 'Ben Johnson']","$3,800,000 (estimated)","$3,520","$20,807","$20,807","March 15, 1965",['United States'],"['El Saltito waterfall, Nombre de Dios, Durango, Mexico']",['Jerry Bresler Productions'],,"['Adventure', 'Drama', 'War', 'Western']","['English', 'French', 'Spanish']"
