Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Le Corbeau,1943,1h 32m,Not Rated,7.8,11K,,"A French village doctor becomes the target of poison-pen letters sent to village leaders, accusing him of affairs and practicing abortion.",https://www.imdb.com/title/tt0035753/?ref_=sr_i_1,"['Louis Chavance', 'Henri-Georges Clouzot']",['Henri-Georges Clouzot'],"['Pierre Fresnay', 'Ginette Leclerc', 'Micheline Francey', 'Héléna Manson', 'Jeanne Fusier-Gir', 'Sylvie', 'Liliane Maigné', 'Pierre Larquey', 'Noël Roquevert', 'Bernard Lancret']",,"$6,452","$36,089","$36,089","September 28, 1943",['France'],"[""Montfort-l'Amaury, Yvelines, France""]",['Continental Films'],,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']","['French', 'Latin']"
2. Shadow of a Doubt,1943,1h 48m,PG,7.8,73K,94.0,"A teenage girl, overjoyed when her uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is the ""Merry Widow"" killer sought by the authorities.",https://www.imdb.com/title/tt0036342/?ref_=sr_i_2,"['Thornton Wilder', 'Sally Benson', 'Alma Reville']",['Alfred Hitchcock'],"['Teresa Wright', 'Joseph Cotten', 'Macdonald Carey', 'Henry Travers', 'Patricia Collinge', 'Hume Cronyn', 'Wallace Ford', 'Edna May Wonacott', 'Charles Bates', 'Irving Bacon']",,,$875,,"January 15, 1943",['United States'],"['904 McDonald Ave, Santa Rosa, California, USA (Newton house)']",['Universal Pictures'],"Nominated for 1 Oscar, 5 wins & 3 nominations total","['Film Noir', 'Drama', 'Mystery', 'Thriller']",['English']
3. Lady of Burlesque,1943,1h 31m,Approved,6.3,2.9K,,"After one member of their group is murdered, the performers at a burlesque house must work together to find out who the killer is before he strikes again.",https://www.imdb.com/title/tt0036094/?ref_=sr_i_3,"['Gypsy Rose Lee', 'James Gunn']",['William A. Wellman'],"['Barbara Stanwyck', ""Michael O'Shea"", 'Iris Adrian', 'Charles Dingle', 'J. Edward Bromberg', 'Frank Conroy', 'Victoria Faust', 'Gloria Dickson', 'Marion Martin', 'Frank Fenton']",,,,,"May 1, 1943",['United States'],,['Hunt Stromberg Productions'],"Nominated for 1 Oscar, 1 nomination total","['Cozy Mystery', 'Comedy', 'Horror', 'Music', 'Mystery', 'Romance', 'Thriller']","['English', 'French']"
4. Happy Land,1943,1h 13m,Approved,6.7,422,,"When his son is killed in WWII, druggist Lew Marsh is convinced that his boy died far too soon, never getting to appreciate the good things in life. Bitter and depressed Lew nearly gives up on life himself until a special visitor shows up.",https://www.imdb.com/title/tt0035970/?ref_=sr_i_4,"['Kathryn Scola', 'Julien Josephson', 'MacKinlay Kantor']",['Irving Pichel'],"['Don Ameche', 'Frances Dee', 'Harry Carey', 'Ann Rutherford', 'Cara Williams', 'Richard Crane', 'Harry Morgan', 'Minor Watson', 'Dickie Moore', 'June Preston']",,,,,"November 10, 1943",['United States'],"['Santa Rosa, California, USA']",['Twentieth Century Fox'],"Awards, 1 win total","['Drama', 'Romance', 'War']",['English']
5. The Outlaw,1943,1h 56m,Approved,5.4,5.2K,,"Western legends Pat Garrett, Doc Holliday and Billy the Kid are played against each other over the law and the attentions of vivacious country vixen Rio McDonald.",https://www.imdb.com/title/tt0036241/?ref_=sr_i_5,"['Jules Furthman', 'Howard Hawks', 'Ben Hecht']","['Howard Hughes', 'Howard Hawks']","['Jack Buetel', 'Thomas Mitchell', 'Jane Russell', 'Walter Huston', 'Mimi Aguglia', 'Joe Sawyer', 'Gene Rizzi', 'Bobby Callahan', 'Martin Garralaga', 'Ben Johnson']",,,,,"November 7, 1946",['United States'],"['Red Rock Canyon State Park - Highway 14, Cantil, California, USA']","['Howard Hughes Productions', 'RKO Radio Pictures']",,"['Action', 'Adventure', 'Drama', 'Western']","['English', 'Spanish']"
6. The Song of Bernadette,1943,2h 36m,Approved,7.6,7.9K,,"14-year-old Bernadette Soubirous, living in a small town in the south of 1850s France, claims to have seen a divine vision, prompting extreme skepticism, concern from her family, and religious and political turmoil.",https://www.imdb.com/title/tt0036377/?ref_=sr_i_6,"['George Seaton', 'Franz Werfel', 'Jacques Monteux']",['Henry King'],"['Jennifer Jones', 'Charles Bickford', 'William Eythe', 'Vincent Price', 'Lee J. Cobb', 'Gladys Cooper', 'Anne Revere', 'Roman Bohnen', 'Mary Anderson', 'Patricia Morison']","$2,000,000 (estimated)",,,,April 1945,['United States'],"['20th Century Fox Ranch, Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA']",['Twentieth Century Fox'],"Won 4 Oscars, 10 wins & 8 nominations total","['Biography', 'Drama', 'Mystery']","['English', 'French']"
7. Millions Like Us,1943,1h 43m,Not Rated,6.8,1.2K,,A young woman called into service at a factory during World War II falls in love with a member of the RAF.,https://www.imdb.com/title/tt0036160/?ref_=sr_i_7,"['Frank Launder', 'Sidney Gilliat']","['Sidney Gilliat', 'Frank Launder']","['Patricia Roc', 'Eric Portman', 'Gordon Jackson', 'Anne Crawford', 'Moore Marriott', 'Basil Radford', 'Naunton Wayne', 'Joy Shelton', 'John Boxer', 'Valentine Dunn']",,,,,"April 15, 1944",['United Kingdom'],"['Castle Bromwich, West Midlands, England, UK']",['Gainsborough Pictures'],,"['Drama', 'War']",['English']
8. Appointment in Berlin,1943,1h 17m,,6.3,275,,"A former RAF officer is enlisted in the British secret service. Germany recruits him for propaganda broadcasts to England. He uses codes in his broadcasts. When his cover is blown, he and his German girlfriend must try to escape.",https://www.imdb.com/title/tt0035643/?ref_=sr_i_8,"['B.P. Fineman', 'Michael Hogan', 'Horace McCoy']",['Alfred E. Green'],"['George Sanders', 'Marguerite Chapman', 'Onslow Stevens', 'Gale Sondergaard', 'Richard Abbott', 'Louis V. Arco', 'Niels Bagge', 'Felix Basch', 'Hank Bell', 'Wilson Benge']",,,,,"July 15, 1943",['United States'],"['Hollywood, California, USA']",['Columbia Pictures'],,"['Drama', 'War']","['German', 'English']"
9. Heaven Can Wait,1943,1h 52m,Approved,7.3,13K,,"An old roué arrives in Hades to review his life with Satan, who will rule on his eligibility to enter the Underworld.",https://www.imdb.com/title/tt0035979/?ref_=sr_i_9,"['Samson Raphaelson', 'Leslie Bush-Fekete']",['Ernst Lubitsch'],"['Gene Tierney', 'Don Ameche', 'Charles Coburn', 'Marjorie Main', 'Laird Cregar', 'Spring Byington', 'Allyn Joslyn', 'Eugene Pallette', 'Signe Hasso', 'Louis Calhern']",,,,,"August 13, 1943",['United States'],"['Stage 3, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA']",['Twentieth Century Fox'],"Nominated for 3 Oscars, 4 wins & 3 nominations total","['Comedy', 'Drama', 'Fantasy', 'Romance']","['English', 'French']"
10. For Whom the Bell Tolls,1943,2h 50m,Approved,6.8,11K,68.0,"During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge.",https://www.imdb.com/title/tt0035896/?ref_=sr_i_10,"['Dudley Nichols', 'Ernest Hemingway', 'Louis Bromfield']",['Sam Wood'],"['Gary Cooper', 'Ingrid Bergman', 'Akim Tamiroff', 'Arturo de Córdova', 'Vladimir Sokoloff', 'Mikhail Rasumny', 'Fortunio Bonanova', 'Eric Feldary', 'Victor Varconi', 'Katina Paxinou']","$3,000,000 (estimated)",,,,"July 16, 1943",['United States'],"['Sierra Nevada Mountains, California, USA']",['Paramount Pictures'],"Won 1 Oscar, 10 wins & 9 nominations total","['Adventure', 'Drama', 'History', 'Romance', 'War']","['English', 'Spanish']"
