Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Cinderella,1950,1h 14m,G,7.3,180K,85.0,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.",https://www.imdb.com/title/tt0042332/?ref_=sr_i_1,"['Charles Perrault', 'Bill Peet', 'Erdman Penner']","['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Ilene Woods', 'James MacDonald', 'Eleanor Audley', 'Verna Felton', 'Claire Du Brey', 'Rhoda Williams', 'Helene Stanley', 'Luis Van Rooten', 'Don Barclay', 'Lucille Bliss']","$2,900,000 (estimated)","$1,300,000","$96,383,330","$93,141,149","March 4, 1950",['United States'],"[""Château de Chambord, Chambord, Loir-et-Cher, France (prince's castle)""]","['Walt Disney Animation Studios', 'Walt Disney Productions']","Nominated for 3 Oscars, 6 wins & 9 nominations total","['Fairy Tale', 'Feel-Good Romance', 'Hand-Drawn Animation', 'Teen Romance', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",['English']
2. Sunset Boulevard,1950,1h 50m,Approved,8.4,247K,94.0,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,https://www.imdb.com/title/tt0043014/?ref_=sr_i_2,"['Charles Brackett', 'Billy Wilder', 'D.M. Marshman Jr.']",['Billy Wilder'],"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson', 'Fred Clark', 'Lloyd Gough', 'Jack Webb', 'Franklyn Farnum', 'Larry J. Blake', 'Charles Dayton']","$1,752,000 (estimated)","$169,067","$309,467","$299,645","August 4, 1950",['United States'],"[""10060 Sunset Blvd, Los Angeles, California, USA (Norma Desmond's driveway gate)""]",['Paramount Pictures'],"Won 3 Oscars, 21 wins & 20 nominations total","['Dark Comedy', 'Film Noir', 'Psychological Drama', 'Showbiz Drama', 'Tragedy', 'Drama']",['English']
3. All About Eve,1950,2h 18m,Approved,8.2,144K,98.0,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,https://www.imdb.com/title/tt0042192/?ref_=sr_i_3,"['Joseph L. Mankiewicz', 'Mary Orr']",['Joseph L. Mankiewicz'],"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Gary Merrill', 'Hugh Marlowe', 'Gregory Ratoff', 'Barbara Bates', 'Marilyn Monroe', 'Thelma Ritter']","$1,400,000 (estimated)","$10,177","$154,736","$63,463","October 27, 1950",['United States'],"['Curran Theatre, San Francisco, California, USA (Theatre, interiors)']",['Twentieth Century Fox'],"Won 6 Oscars, 27 wins & 22 nominations total","['Showbiz Drama', 'Drama']","['English', 'French']"
4. Rashomon,1950,1h 28m,Not Rated,8.2,188K,98.0,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",https://www.imdb.com/title/tt0042876/?ref_=sr_i_4,"['Ryûnosuke Akutagawa', 'Akira Kurosawa', 'Shinobu Hashimoto']",['Akira Kurosawa'],"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura', 'Minoru Chiaki', 'Kichijirô Ueda', 'Noriko Honma', 'Daisuke Katô']","$250,000 (estimated)","$15,942","$139,819","$46,808","December 26, 1951",['Japan'],"['Komyoji Temple, Kyoto, Japan']",['Daiei'],"Nominated for 1 Oscar, 9 wins & 5 nominations total","['Period Drama', 'Crime', 'Drama', 'Mystery']",['Japanese']
5. Gun Crazy,1950,1h 27m,Approved,7.6,16K,74.0,Two disturbed young people release their fascination with guns through a crime spree.,https://www.imdb.com/title/tt0042530/?ref_=sr_i_5,"['MacKinlay Kantor', 'Millard Kaufman', 'Dalton Trumbo']",['Joseph H. Lewis'],"['John Dall', 'Peggy Cummins', 'Berry Kroeger', 'Morris Carnovsky', 'Anabel Shaw', 'Harry Lewis', 'Nedrick Young', 'Trevor Bardette', 'Mickey Little', 'Russ Tamblyn']","$400,000 (estimated)",,"$17,322",,"January 20, 1950",['United States'],"['2300 E Olympic Blvd, Los Angeles, California, USA (Armour meatpacking plant)']","['King Brothers Productions', 'Pioneer Pictures Corporation']","Awards, 1 win total","['Film Noir', 'Crime', 'Drama', 'Romance', 'Thriller']",['English']
6. No Man of Her Own,1950,1h 38m,Approved,7.4,3.1K,,"A pregnant woman adopts the identity of a railroad-crash victim and starts a new life with the woman's wealthy in-laws, but is soon blackmailed by her devious ex.",https://www.imdb.com/title/tt0041694/?ref_=sr_i_6,"['Sally Benson', 'Catherine Turney', 'Cornell Woolrich']",['Mitchell Leisen'],"['Barbara Stanwyck', 'John Lund', 'Jane Cowl', 'Phyllis Thaxter', 'Lyle Bettger', ""Henry O'Neill"", 'Richard Denning', 'Carole Mathews', 'Harry Antrim', 'Catherine Craig']",,,,,"June 5, 1950",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Paramount Pictures'],"Awards, 1 win total","['Film Noir', 'Drama', 'Romance']",['English']
7. Stage Fright,1950,1h 51m,Approved,7.0,17K,62.0,A struggling actress tries to help a friend prove his innocence after he's accused of murdering the husband of a high-society entertainer.,https://www.imdb.com/title/tt0042994/?ref_=sr_i_7,"['Whitfield Cook', 'Alma Reville', 'Selwyn Jepson']",['Alfred Hitchcock'],"['Marlene Dietrich', 'Jane Wyman', 'Richard Todd', 'Michael Wilding', 'Alastair Sim', 'Sybil Thorndike', 'Kay Walsh', 'Miles Malleson', 'Hector MacGregor', 'Joyce Grenfell']","$1,437,000 (estimated)",,$511,,"April 15, 1950",['United Kingdom'],"['Royal Academy of Dramatic Arts, Malet Street, Bloomsbury, London, England, UK']","['Warner Bros.', 'Transatlantic Pictures']","Awards, 5 wins & 1 nomination total","['Film Noir', 'Mystery', 'Thriller']",['English']
8. The Daughter of Rosie O'Grady,1950,1h 44m,Approved,6.5,621,,An Irish horsecar driver's daughter meets New York showman Tony Pastor and goes into vaudeville.,https://www.imdb.com/title/tt0042382/?ref_=sr_i_8,"['Jack Rose', 'Melville Shavelson', 'Peter Milne']",['David Butler'],"['June Haver', 'Gordon MacRae', 'James Barton', 'S.Z. Sakall', 'Gene Nelson', 'Sean McClory', 'Debbie Reynolds', 'Marcia Mae Jones', 'Jane Darwell', 'Virginia Lee']",,,,,"April 29, 1950",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Awards, 1 nomination total","['Comedy', 'Musical']",['English']
9. The Asphalt Jungle,1950,1h 52m,Approved,7.8,31K,85.0,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",https://www.imdb.com/title/tt0042208/?ref_=sr_i_9,"['Ben Maddow', 'John Huston', 'W.R. Burnett']",['John Huston'],"['Sterling Hayden', 'Louis Calhern', 'Jean Hagen', 'James Whitmore', 'Sam Jaffe', 'John McIntire', 'Marc Lawrence', 'Barry Kelley', 'Anthony Caruso', 'Teresa Celli']","$1,232,000 (estimated)",,"$29,868",,"May 12, 1950",['United States'],"['120-128 Sycamore Street, Cincinnati, Ohio, USA (opening scenes - The Vulcan Copper & Supply Co.)']","[""Loew's""]","Nominated for 4 Oscars, 5 wins & 14 nominations total","['Film Noir', 'Heist', 'Crime', 'Drama', 'Thriller']","['English', 'German']"
10. Harvey,1950,1h 44m,Approved,7.9,59K,,"A whimsical man is thought to be insane due to his insistence that he is best friends with an invisible, humanoid rabbit, but he may be wiser than anyone knows.",https://www.imdb.com/title/tt0042546/?ref_=sr_i_10,"['Mary Chase', 'Oscar Brodney', 'Myles Connolly']",['Henry Koster'],"['James Stewart', 'Wallace Ford', 'William H. Lynn', 'Victoria Horne', 'Jesse White', 'Cecil Kellaway', 'Charles Drake', 'Peggy Dow', 'Josephine Hull', 'Nana Bryant']",,,,,"December 21, 1950",['United States'],"['Colonial Mansion, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA (demolished in 2005)']",['Universal International Pictures (UI)'],"Won 1 Oscar, 5 wins & 4 nominations total","['Screwball Comedy', 'Comedy', 'Drama', 'Fantasy']","['English', 'Spanish', 'Latin']"
