Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Lawrence of Arabia,1962,3h 47m,PG,8.3,327K,100.0,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",https://www.imdb.com/title/tt0056172/?ref_=sr_i_1,"['Robert Bolt', 'Michael Wilson']",['David Lean'],"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif', 'José Ferrer', 'Anthony Quayle', 'Claude Rains', 'Arthur Kennedy', 'Donald Wolfit']","$15,000,000 (estimated)","$20,846","$45,766,917","$45,306,425","April 2, 2013","['United Kingdom', 'United States']","['Wadi Rum, Jordan (desert - red cliffs)']",['Horizon Pictures (II)'],"Won 7 Oscars, 31 wins & 14 nominations total","['Adventure Epic', 'Desert Adventure', 'Epic', 'Tragedy', 'War Epic', 'Adventure', 'Biography', 'Drama', 'War']","['English', 'Arabic', 'Turkish']"
2. Dr. No,1962,1h 50m,PG,7.2,185K,78.0,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,https://www.imdb.com/title/tt0055928/?ref_=sr_i_2,"['Richard Maibaum', 'Johanna Harwood', 'Berkely Mather']",['Terence Young'],"['Sean Connery', 'Ursula Andress', 'Bernard Lee', 'Joseph Wiseman', 'Jack Lord', 'Anthony Dawson', 'Zena Marshall', 'John Kitzmiller', 'Eunice Gayson', 'Lois Maxwell']","£392,022 (estimated)",,"$16,120,643","$16,067,035","October 10, 1962","['United Kingdom', 'United States']","[""Dunn's River Falls, Ocho Rios, St. Ann, Jamaica (Bond and Rider take a tropical dip - Crab Key shoreline - Bond and Quarrel arrive at the Crab Key falls)""]",['Eon Productions'],"Awards, 4 wins & 4 nominations total","['Spy', 'Action', 'Adventure', 'Thriller']","['English', 'French', 'Italian']"
3. The Manchurian Candidate,1962,2h 6m,PG-13,7.9,82K,94.0,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,https://www.imdb.com/title/tt0056218/?ref_=sr_i_3,"['Richard Condon', 'George Axelrod', 'John Frankenheimer']",['John Frankenheimer'],"['Frank Sinatra', 'Laurence Harvey', 'Janet Leigh', 'Angela Lansbury', 'Henry Silva', 'James Gregory', 'Leslie Parrish', 'John McGiver', 'Khigh Dhiegh', 'James Edwards']","$2,200,000 (estimated)","$87,850","$2,757,256","$2,757,256","October 24, 1962",['United States'],"[""Jilly's, 52nd Street at 8th Avenue, Manhattan, New York City, New York, USA (bar where Shaw hears he ought to go jump in a lake)""]",['M.C. Productions'],"Nominated for 2 Oscars, 6 wins & 9 nominations total","['Conspiracy Thriller', 'Political Thriller', 'Psychological Thriller', 'Spy', 'Tragedy', 'Drama', 'Thriller']","['English', 'Spanish']"
4. To Kill a Mockingbird,1962,2h 9m,Approved,8.3,342K,88.0,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,https://www.imdb.com/title/tt0056592/?ref_=sr_i_4,"['Harper Lee', 'Horton Foote']",['Robert Mulligan'],"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy', 'Ruth White', 'Brock Peters', 'Estelle Evans', 'Paul Fix', 'Collin Wilcox Paxton', 'James Anderson']","$2,000,000 (estimated)","$357,549","$602,810","$592,237","March 16, 1963",['United States'],"['Monroeville, Alabama, USA']","['Pakula-Mulligan', 'Brentwood Productions']","Won 3 Oscars, 14 wins & 16 nominations total","['Legal Drama', 'Period Drama', 'Crime', 'Drama']",['English']
5. Mafioso,1962,1h 45m,Not Rated,7.6,3.1K,88.0,"When a good-natured factory supervisor living in Milan with his Northern wife returns to his native Sicily, a decades'-old oath forces him to fulfill a nightmarish obligation.",https://www.imdb.com/title/tt0056210/?ref_=sr_i_5,"['Rafael Azcona', 'Bruno Caruso', 'Marco Ferreri']",['Alberto Lattuada'],"['Alberto Sordi', 'Norma Bengell', 'Gabriella Conti', 'Ugo Attanasio', 'Cinzia Bruno', 'Katiuscia', 'Armando Tine', 'Lilly Bistrattin', 'Michèle Bailly', 'Francesco Lo Briglio']",,"$29,965","$400,019","$400,019","March 4, 1965",['Italy'],"['Belmonte Mezzagno, Sicily, Italy (sicilian village)']","['Compagnia Cinematografica Antonio Cervi', 'Dino de Laurentiis Cinematografica']","Awards, 1 win & 2 nominations total","['Comedy', 'Crime', 'Drama']","['Italian', 'English', 'French', 'German']"
6. The Trial,1962,1h 59m,Not Rated,7.6,25K,,"An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",https://www.imdb.com/title/tt0057427/?ref_=sr_i_6,"['Pierre Cholot', 'Franz Kafka', 'Orson Welles']",['Orson Welles'],"['Anthony Perkins', 'Arnoldo Foà', 'Jess Hahn', 'Billy Kearns', 'Madeleine Robinson', 'Jeanne Moreau', 'Maurice Teynac', 'Naydra Shore', 'Suzanne Flon', 'Raoul Delfosse']","$1,300,000 (estimated)","$7,280","$94,243","$93,533","December 22, 1962","['France', 'Italy', 'West Germany']","['240 Grada Vukovara Street, Zagreb, Croatia (Joseph K. and old lady lugging a trunk)']","['Paris-Europa Productions', 'Hisa-Film', 'Finanziaria Cinematografica Italiana (FICIT)']","Awards, 2 wins & 2 nominations total","['Legal Drama', 'Legal Thriller', 'Drama', 'Mystery', 'Thriller']",['English']
7. Le Doulos,1962,1h 48m,Not Rated,7.7,13K,,A burglar betraying other criminals prepares for a big heist with a trusted friend who might be as untrustworthy as he.,https://www.imdb.com/title/tt0054821/?ref_=sr_i_7,"['Pierre Lesou', 'Jean-Pierre Melville']",['Jean-Pierre Melville'],"['Jean-Paul Belmondo', 'Serge Reggiani', 'Jean Desailly', 'René Lefèvre', 'Marcel Cuvelier', 'Philippe March', 'Fabienne Dali', 'Monique Hennessy', 'Carl Studer', 'Christian Lude']",,"$9,362","$91,410","$82,772","March 2, 1964","['France', 'Italy']","['Rue Watt, Paris 13, Paris, France (opening scene: Faugel walking under railway)']","['Compagnia Cinematografica Champion', 'Rome Paris Films']","Awards, 1 nomination total","['Crime', 'Thriller']",['French']
8. How the West Was Won,1962,2h 44m,G,7.1,24K,56.0,"A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads.",https://www.imdb.com/title/tt0056085/?ref_=sr_i_8,"['James R. Webb', 'Gerald Devriès', 'Christian Dura']","['John Ford', 'Henry Hathaway', 'George Marshall']","['James Stewart', 'John Wayne', 'Gregory Peck', 'Henry Fonda', 'Carroll Baker', 'Lee J. Cobb', 'Carolyn Jones', 'Karl Malden', 'George Peppard', 'Robert Preston']","$15,000,000 (estimated)","$28,568","$76,729","$76,729","February 20, 1963",['United States'],"['Cave-In-Rock State Park - 1 New State Park Road, Cave-In-Rock, Illinois, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Cinerama Productions Corp.']","Won 3 Oscars, 10 wins & 5 nominations total","['Classical Western', 'Epic', 'Western Epic', 'Adventure', 'War', 'Western']","['English', 'Arapaho']"
9. Le combat dans l'île,1962,1h 44m,PG-13,6.5,954,,"After an unsuccessful assassination, a terrorist and his wife hide on a remote island in the house of a friend who doesn't suspect anything.",https://www.imdb.com/title/tt0054758/?ref_=sr_i_9,"['Alain Cavalier', 'Jean-Paul Rappeneau']",['Alain Cavalier'],"['Romy Schneider', 'Jean-Louis Trintignant', 'Henri Serre', 'Diane Lepvrier', 'Robert Bousquet', 'Jacques Berlioz', 'Armand Meffre', 'Maurice Garrel', 'Marcel Cuvelier', 'Pierre Asso']",,"$10,217","$50,039","$50,039","June 12, 2009",['France'],"[""Le Moulin d'Andé, 65 rue du Moulin, Andé, Eure, France (watermill)""]","['Union Générale Cinématographique (UGC)', 'La Société des Films Sirius', 'Nouvelles Éditions de Films (NEF)']",,"['Drama', 'Romance', 'Thriller']","['French', 'English']"
10. Sanjuro,1962,1h 36m,Not Rated,8.0,43K,83.0,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",https://www.imdb.com/title/tt0056443/?ref_=sr_i_10,"['Ryûzô Kikushima', 'Hideo Oguni', 'Akira Kurosawa']",['Akira Kurosawa'],"['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûnosuke Itô', 'Yûzô Kayama', 'Reiko Dan', 'Takashi Shimura', 'Kamatari Fujiwara', 'Takako Irie', 'Masao Shimizu']",,"$15,942","$65,090","$46,808","May 7, 1963",['Japan'],"['Toho Studios, Tokyo, Japan (Studio)']","['Toho', 'Kurosawa Production Co.']","Awards, 1 win & 1 nomination total","['Samurai', 'Action', 'Drama', 'Thriller']",['Japanese']
11. Vivre sa vie,1962,1h 25m,Not Rated,7.8,36K,,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,https://www.imdb.com/title/tt0056663/?ref_=sr_i_11,"['Marcel Sacotte', 'Jean-Luc Godard']",['Jean-Luc Godard'],"['Anna Karina', 'Sady Rebbot', 'André S. Labarthe', 'Guylaine Schlumberger', 'Gérard Hoffman', 'Monique Messine', 'Paul Pavel', 'Dimitri Dineff', 'Peter Kassovitz', 'Eric Schlumberger']","$64,000 (estimated)","$8,336","$75,224","$24,517","September 20, 1962",['France'],"['Paris, France']","['Les Films de la Pléiade', 'Pathé Consortium Cinéma']","Awards, 3 wins & 1 nomination total","['Psychological Drama', 'Tragedy', 'Drama']",['French']
12. Ivan's Childhood,1962,1h 35m,Not Rated,8.0,41K,,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",https://www.imdb.com/title/tt0056111/?ref_=sr_i_12,"['Vladimir Bogomolov', 'Mikhail Papava', 'Andrei Tarkovsky']","['Andrei Tarkovsky', 'Eduard Abalov']","['Nikolay Burlyaev', 'Valentin Zubkov', 'Evgeniy Zharikov', 'Stepan Krylov', 'Nikolay Grinko', 'Dmitri Milyutenko', 'Valentina Malyavina', 'Irma Tarkovskaya', 'Andrei Konchalovsky', 'Ivan Savkin']",,"$11,537","$87,638","$22,168","June 27, 1963",['Soviet Union'],"['Dnieper River, Kanev, Ukraine']","['Mosfilm', 'Trete Tvorcheskoe Obedinenie']","Awards, 2 wins total","['Coming-of-Age', 'Drama', 'War']","['Russian', 'German']"
