Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Butch Cassidy and the Sundance Kid,1969,1h 50m,PG,8.0,232K,66.0,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels..",https://www.imdb.com/title/tt0064115/?ref_=sr_i_1,['William Goldman'],['George Roy Hill'],"['Paul Newman', 'Robert Redford', 'Katharine Ross', 'Strother Martin', 'Henry Jones', 'Jeff Corey', 'George Furth', 'Cloris Leachman', 'Ted Cassidy', 'Kenneth Mars']","$6,000,000 (estimated)",,"$102,311,848","$102,308,889","September 24, 1969","['United States', 'Mexico']","['Zion National Park, Utah, USA (Landscape)']","['Campanile Productions', 'George Roy Hill-Paul Monash Production', 'Newman-Foreman Company']","Won 4 Oscars, 22 wins & 15 nominations total","['Biography', 'Crime', 'Drama', 'Western']","['English', 'Spanish']"
2. The Love Bug,1969,1h 48m,G,6.5,18K,48.0,"Down-on-his-luck race car driver Jim Douglas teams up with a little VW Bug that has a mind of it's own, not realizing Herbie's worth until a sneaky rival plots to steal him.",https://www.imdb.com/title/tt0064603/?ref_=sr_i_2,"['Bill Walsh', 'Don DaGradi', 'Gordon Buford']",['Robert Stevenson'],"['Dean Jones', 'Michele Lee', 'David Tomlinson', 'Buddy Hackett', 'Joe Flynn', 'Benson Fong', 'Joe E. Ross', 'Barry Kelley', 'Iris Adrian', 'Andy Granatelli']",,,"$51,264,022","$51,264,000","March 13, 1969",['United States'],"['1000 block, Lombard Street, San Francisco, California, USA (winding road)']",['Walt Disney Productions'],"Awards, 1 win & 2 nominations total","['Motorsport', 'Comedy', 'Family', 'Sport']","['English', 'Cantonese', 'Spanish']"
3. Midnight Cowboy,1969,1h 53m,R,7.8,126K,79.0,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",https://www.imdb.com/title/tt0064665/?ref_=sr_i_3,"['Waldo Salt', 'James Leo Herlihy']",['John Schlesinger'],"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles', 'John McGiver', 'Brenda Vaccaro', 'Barnard Hughes', 'Ruth White', 'Jennifer Salt', 'Gilman Rankin', 'Gary Owens']","$3,600,000 (estimated)",,"$44,802,964","$44,785,053","May 25, 1969",['United States'],"['Calvary Cemetery - 4902 Laurel Hill Boulevard, Queens, New York City, New York, USA (Cemetery sequence)']","['Jerome Hellman Productions', 'Florin Productions']","Won 3 Oscars, 28 wins & 16 nominations total",['Drama'],"['English', 'Italian']"
4. On Her Majesty's Secret Service,1969,2h 22m,PG,6.7,103K,61.0,"British agent James Bond goes undercover to pursue the villainous Ernst Stavro Blofeld, who is planning to hold the world to ransom.",https://www.imdb.com/title/tt0064757/?ref_=sr_i_4,"['Simon Raven', 'Richard Maibaum', 'Ian Fleming']",['Peter R. Hunt'],"['George Lazenby', 'Diana Rigg', 'Telly Savalas', 'Gabriele Ferzetti', 'Ilse Steppat', 'Lois Maxwell', 'George Baker', 'Bernard Lee', 'Bernard Horsfall', 'Desmond Llewelyn']","$7,000,000 (estimated)",,"$22,828,813","$22,774,493","December 19, 1969",['United Kingdom'],"['Piz Gloria Revolving Restaurant, Piz Gloria, Kanton Bern, Switzerland (on location)']",['Eon Productions'],"Awards, 1 win & 4 nominations total","['Spy', 'Tragedy', 'Action', 'Adventure', 'Thriller']","['English', 'German', 'French']"
5. Paint Your Wagon,1969,2h 44m,PG-13,6.6,15K,50.0,Two unlikely prospector partners share the same wife in a California gold rush mining town.,https://www.imdb.com/title/tt0064782/?ref_=sr_i_5,"['Alan Jay Lerner', 'Paddy Chayefsky']",['Joshua Logan'],"['Lee Marvin', 'Clint Eastwood', 'Jean Seberg', 'Harve Presnell', 'Ray Walston', 'Tom Ligon', 'Alan Dexter', ""William O'Connell"", 'Benny Baker', 'Alan Baxter']","$20,000,000 (estimated)",,"$14,500,000","$14,500,000","October 15, 1969",['United States'],"['Baker, Oregon, USA']","['Alan Jay Lerner Productions', 'The Malpaso Company']","Nominated for 1 Oscar, 1 win & 3 nominations total","['Classical Western', 'Comedy', 'Musical', 'Western']",['English']
6. Fellini - Satyricon,1969,2h 9m,R,6.8,18K,,A series of disjointed mythical tales set in first-century Rome.,https://www.imdb.com/title/tt0064940/?ref_=sr_i_6,"['Petronius', 'Federico Fellini', 'Bernardino Zapponi']",['Federico Fellini'],"['Martin Potter', 'Hiram Keller', 'Max Born', 'Salvo Randone', 'Mario Romagnoli', 'Magali Noël', 'Capucine', 'Alain Cuny', 'Fanfulla', 'Danika La Loggia']","$3,000,000 (estimated)",,"$1,138,108","$1,135,943","March 11, 1970","['Italy', 'France']","['Cinecittà Studios, Cinecittà, Rome, Lazio, Italy (Studio)']",['Produzioni Europee Associate (PEA)'],"Nominated for 1 Oscar, 5 wins & 8 nominations total","['Dark Comedy', 'Drama', 'Fantasy']","['Italian', 'Latin']"
7. Army of Shadows,1969,2h 25m,Not Rated,8.1,27K,99.0,An account of underground resistance fighters in Nazi-occupied France.,https://www.imdb.com/title/tt0064040/?ref_=sr_i_7,"['Joseph Kessel', 'Jean-Pierre Melville']",['Jean-Pierre Melville'],"['Lino Ventura', 'Paul Meurisse', 'Jean-Pierre Cassel', 'Simone Signoret', 'Claude Mann', 'Paul Crauchet', 'Christian Barbier', 'Serge Reggiani', 'André Dewavrin', 'Alain Dekok']",,"$12,620","$931,732","$861,983","June 19, 1970","['France', 'Italy']","[""Bunker de l'armée, Saint-Cyr-l'Ecole, Yvelines, France (execution by the Gestapo)""]","['Les Films Corona', 'Fono Roma']","Awards, 4 wins & 1 nomination total","['Drama', 'War']","['French', 'German', 'English']"
8. The Wild Bunch,1969,2h 15m,R,7.9,93K,98.0,"An aging group of outlaws in 1913 Texas look for one last big score, selling stolen Army rifles to a rogue Mexican general during that country's revolution, as the traditional American West is disappearing around them.",https://www.imdb.com/title/tt0065214/?ref_=sr_i_8,"['Walon Green', 'Sam Peckinpah', 'Roy N. Sickner']",['Sam Peckinpah'],"['William Holden', 'Ernest Borgnine', 'Robert Ryan', ""Edmond O'Brien"", 'Warren Oates', 'Jaime Sánchez', 'Ben Johnson', 'Emilio Fernández', 'Strother Martin', 'L.Q. Jones']","$6,244,087 (estimated)",,"$640,561","$638,641","June 19, 1969",['United States'],"['La Loma, Durango, Mexico (train robbery: about 25.461°N, 103.657°W, Pancho Villa attack on train station: 25.452°N, 103.659°W)']",['Warner Bros./Seven Arts'],"Nominated for 2 Oscars, 6 wins & 8 nominations total","['Western Epic', 'Action', 'Adventure', 'Drama', 'Western']","['English', 'Spanish', 'German']"
"9. Hello, Dolly!",1969,2h 26m,G,7.0,18K,51.0,"Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to New York City along the way.",https://www.imdb.com/title/tt0064418/?ref_=sr_i_9,"['Michael Stewart', 'Thornton Wilder', 'Ernest Lehman']",['Gene Kelly'],"['Barbra Streisand', 'Walter Matthau', 'Michael Crawford', 'Marianne McAndrew', 'Danny Lockin', 'E.J. Peaker', 'Joyce Ames', 'Tommy Tune', 'Judy Knaiz', 'David Hurst']","$25,000,000 (estimated)","$221,204","$403,127","$400,881","December 16, 1969",['United States'],"['United States Military Academy, West Point, New York, USA']","['Chenault Productions', 'Twentieth Century Fox']","Won 3 Oscars, 4 wins & 13 nominations total","['Pop Musical', 'Romantic Comedy', 'Adventure', 'Comedy', 'Musical', 'Romance']",['English']
10. True Grit,1969,2h 8m,G,7.4,53K,83.0,"A drunken, hard-nosed U.S. Marshal and a Texas Ranger help a stubborn teenager track down her father's murderer in Indian Territory.",https://www.imdb.com/title/tt0065126/?ref_=sr_i_10,"['Charles Portis', 'Marguerite Roberts']",['Henry Hathaway'],"['John Wayne', 'Kim Darby', 'Glen Campbell', 'Jeremy Slate', 'Robert Duvall', 'Dennis Hopper', 'Alfred Ryder', 'Strother Martin', 'Jeff Corey', 'Ron Soble']",,"$157,788","$276,418","$276,418","June 21, 1969",['United States'],"['Buckskin Joe Frontier Town & Railway - 1193 Fremont County Road 3A, Canon City, Colorado, USA']",['Wallis-Hazen'],"Won 1 Oscar, 6 wins & 7 nominations total","['Adventure', 'Drama', 'Western']",['English']
