Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. How the Grinch Stole Christmas,2000,1h 44m,PG,6.4,311K,46.0,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",https://www.imdb.com/title/tt0170016/?ref_=sr_i_1,"['Dr. Seuss', 'Jeffrey Price', 'Peter S. Seaman']",['Ron Howard'],"['Jim Carrey', 'Taylor Momsen', 'Kelley', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon', 'Clint Howard', 'Josh Ryan Evans', 'Mindy Sterling']","$123,000,000 (estimated)","$55,082,330","$347,162,175","$261,901,880","November 17, 2000","['United States', 'Germany']","['Solitude Mountain Resort, Utah, USA (Grinch has a change of heart)']","['Universal Pictures', 'Imagine Entertainment', 'LUNI Productions GmbH and Company KG']","Won 1 Oscar, 18 wins & 37 nominations total","['Holiday Comedy', 'Holiday Family', 'Quirky Comedy', 'Slapstick', 'Comedy', 'Family', 'Fantasy', 'Holiday']",['English']
2. Cast Away,2000,2h 23m,PG-13,7.8,662K,74.0,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,https://www.imdb.com/title/tt0162222/?ref_=sr_i_2,['William Broyles Jr.'],['Robert Zemeckis'],"['Tom Hanks', 'Helen Hunt', 'Paul Sanchez', 'Lari White', 'Leonid Citer', 'David Allen Brooks', 'Yelena Popovic', 'Valentina Ananina', 'Semion Sudarikov', 'Peter Von Berg']","$90,000,000 (estimated)","$28,883,406","$429,632,142","$233,632,142","December 22, 2000",['United States'],"['Monuriki, Fiji']","['Twentieth Century Fox', 'Dreamworks Pictures', 'ImageMovers']","Nominated for 2 Oscars, 15 wins & 36 nominations total","['Survival', 'Adventure', 'Drama', 'Romance']","['English', 'Russian']"
3. Mission: Impossible II,2000,2h 3m,PG-13,6.1,390K,59.0,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",https://www.imdb.com/title/tt0120755/?ref_=sr_i_3,"['Bruce Geller', 'Ronald D. Moore', 'Brannon Braga']",['John Woo'],"['Tom Cruise', 'Dougray Scott', 'Thandiwe Newton', 'Ving Rhames', 'Richard Roxburgh', 'John Polson', 'Brendan Gleeson', 'Rade Serbedzija', 'William Mapother', 'Dominic Purcell']","$125,000,000 (estimated)","$57,845,297","$546,388,108","$215,409,889","May 24, 2000","['United States', 'Germany', 'Australia']","['Dead Horse Point State Park, Utah, USA (Rock-climbing scenes)']","['Paramount Pictures', 'Cruise/Wagner Productions', 'Munich Film Partners & Company (MFP) MI2 Productions']","Awards, 12 wins & 20 nominations total","['Action', 'Adventure', 'Thriller']",['English']
4. Gladiator,2000,2h 35m,R,8.5,1.7M,67.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://www.imdb.com/title/tt0172495/?ref_=sr_i_4,"['David Franzoni', 'John Logan', 'William Nicholson']",['Ridley Scott'],"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel', 'Tomas Arana']","$103,000,000 (estimated)","$34,819,017","$465,516,248","$187,705,427","May 5, 2000","['United States', 'United Kingdom', 'Malta', 'Morocco']","['Ouarzazate, Morocco (on location)']","['Dreamworks Pictures', 'Universal Pictures', 'Scott Free Productions']","Won 5 Oscars, 60 wins & 104 nominations total","['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']",['English']
5. What Women Want,2000,2h 7m,PG-13,6.5,230K,47.0,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",https://www.imdb.com/title/tt0207201/?ref_=sr_i_5,"['Josh Goldsmith', 'Cathy Yuspa', 'Diane Drake']",['Nancy Meyers'],"['Mel Gibson', 'Helen Hunt', 'Marisa Tomei', 'Alan Alda', 'Ashley Johnson', 'Mark Feuerstein', 'Lauren Holly', 'Delta Burke', 'Valerie Perrine', 'Judy Greer']","$70,000,000 (estimated)","$33,614,543","$374,111,707","$182,811,707","December 15, 2000",['United States'],"['Dresden Room Restaurant - 1760 N. Vermont Avenue, Los Feliz, Los Angeles, California, USA (Back Door Piano Lounge)']","['Paramount Pictures', 'Icon Entertainment International', 'Wind Dancer Productions']","Awards, 5 wins & 9 nominations total","['High-Concept Comedy', 'Romantic Comedy', 'Comedy', 'Fantasy', 'Romance']",['English']
6. The Perfect Storm,2000,2h 10m,PG-13,6.5,183K,59.0,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,https://www.imdb.com/title/tt0177971/?ref_=sr_i_6,"['Sebastian Junger', 'William D. Wittliff']",['Wolfgang Petersen'],"['George Clooney', 'Mark Wahlberg', 'John C. Reilly', 'Diane Lane', 'William Fichtner', 'John Hawkes', 'Allen Payne', 'Mary Elizabeth Mastrantonio', 'Karen Allen', 'Cherry Jones']","$140,000,000 (estimated)","$41,325,042","$328,718,434","$182,618,434","June 30, 2000",['United States'],"['Gloucester, Massachusetts, USA']","['Warner Bros.', 'Baltimore Spring Creek Productions', 'Radiant Productions']","Nominated for 2 Oscars, 4 wins & 28 nominations total","['Disaster', 'Docudrama', 'Sea Adventure', 'Survival', 'Action', 'Adventure', 'Drama', 'Thriller']",['English']
7. Meet the Parents,2000,1h 48m,PG-13,7.0,367K,73.0,"Chicago male nurse and chronic under-achiever Greg Focker meets his charming teacher girlfriend Pam Byrnes' parents Jack and Dina before proposing, but suspicious Jack is an overprotective former CIA agent - every date's worst nightmare.",https://www.imdb.com/title/tt0212338/?ref_=sr_i_7,"['Greg Glienna', 'Mary Ruth Clarke', 'Jim Herzfeld']",['Jay Roach'],"['Ben Stiller', 'Robert De Niro', 'Teri Polo', 'Blythe Danner', 'Nicole DeHuff', 'Jon Abrahams', 'Owen Wilson', 'James Rebhorn', 'Tom McCarthy', 'Phyllis George']","$55,000,000 (estimated)","$28,623,300","$330,444,045","$166,244,045","October 6, 2000",['United States'],"['Chicago, Illinois, USA']","['Universal Pictures', 'Dreamworks Pictures', 'Nancy Tenenbaum Films']","Nominated for 1 Oscar, 7 wins & 15 nominations total","['Romantic Comedy', 'Slapstick', 'Comedy', 'Romance']","['English', 'Thai', 'Spanish', 'Hebrew', 'French']"
8. X-Men,2000,1h 44m,PG-13,7.3,670K,64.0,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",https://www.imdb.com/title/tt0120903/?ref_=sr_i_8,"['Tom DeSanto', 'Bryan Singer', 'David Hayter']",['Bryan Singer'],"['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Famke Janssen', 'James Marsden', 'Halle Berry', 'Anna Paquin', 'Tyler Mane', 'Ray Park', 'Rebecca Romijn']","$75,000,000 (estimated)","$54,471,475","$296,339,528","$157,299,718","July 14, 2000","['United States', 'Canada']","[""Casa Loma - 1 Austin Terrace, Casa Loma, Toronto, Ontario, Canada (interiors of Xavier's mansion)""]","['Twentieth Century Fox', 'Marvel Enterprises', 'Marvel Entertainment Group']","Awards, 14 wins & 26 nominations total","['Superhero', 'Action', 'Adventure', 'Sci-Fi']",['English']
9. Scary Movie,2000,1h 28m,R,6.3,301K,48.0,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",https://www.imdb.com/title/tt0175142/?ref_=sr_i_9,"['Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson']",['Keenen Ivory Wayans'],"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans', 'Carmen Electra', 'Dave Sheridan', 'Frank B. Moore', 'Giacomo Baessato', 'Kyle Graham', 'Leanne Santos', 'Mark McConchie']","$19,000,000 (estimated)","$42,346,669","$278,019,771","$157,019,771","July 7, 2000",['United States'],"['Steveston, Richmond, British Columbia, Canada']","['Dimension Films', 'Wayans Bros. Entertainment', 'Gold/Miller Productions']","Awards, 7 wins & 6 nominations total","['Parody', 'Raunchy Comedy', 'Slapstick', 'Stoner Comedy', 'Teen Comedy', 'Comedy']",['English']
10. What Lies Beneath,2000,2h 10m,PG-13,6.6,140K,51.0,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,https://www.imdb.com/title/tt0161081/?ref_=sr_i_10,"['Clark Gregg', 'Sarah Kernochan']",['Robert Zemeckis'],"['Harrison Ford', 'Michelle Pfeiffer', 'Katharine Towne', 'Miranda Otto', 'James Remar', 'Victoria Bidewell', 'Diana Scarwid', 'Dennison Samaroo', 'Jennifer Tung', 'Eliott Goretsky']","$100,000,000 (estimated)","$29,702,959","$291,420,351","$155,464,351","July 21, 2000",['United States'],"['Lake Champlain, New York, USA']","['Dreamworks Pictures', 'Twentieth Century Fox', 'ImageMovers']","Awards, 7 wins & 7 nominations total","['Psychological Drama', 'Psychological Thriller', 'Drama', 'Horror', 'Mystery', 'Thriller']",['English']
